Latitude  (graus) : -21.2
Longitude (graus) : -41.9
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83695;31/01/2016;0000;0;0.580645;4;173;6.258065;;168.5;32.235484;22.903226;75.903226;
83695;29/02/2016;0000;0;0.103448;3;260.1;4.206897;;100.9;35.286207;23.234483;68.25;
83695;31/03/2016;0000;0;0.473118;4;217.7;4.956989;;143.1;33.158065;23.016129;74.16129;
83695;30/04/2016;0000;0;0.280488;3;247.5;2.711111;;29.3;34.19;21.653333;66.025;
83695;31/05/2016;0000;;;;185.8;4.376344;;23.7;29.522581;18.448387;73.467742;
83695;30/06/2016;0000;;;;121.3;5.7;;66;25.576667;16.39;81.308333;
83695;31/07/2016;0000;;;;199.4;3.806452;;0.3;28.341935;16.654839;70.375;
83695;31/08/2016;0000;;;;248.3;2.795699;;6.3;30.887097;16.854839;64.080645;
83695;30/09/2016;0000;;;;209.6;4.235632;;77.9;32.1;19.368966;64.740741;
83695;31/10/2016;0000;;;;172.3;6.206395;;31.5;30.62;20.403448;70.689655;
83695;30/11/2016;0000;;;;170.4;6.123596;;174.6;31.02069;20.946667;73.25;
83695;31/12/2016;0000;;;;174.2;5.9375;;176;32.15;22.370968;75.691667;
83695;31/01/2017;0000;;;;265.8;2.809524;;107.2;35.006452;23.235484;;
83695;28/02/2017;0000;;;;215.5;4.818182;;140.6;33.578571;22.671429;;
83695;31/03/2017;0000;;;;244.4;3.791209;;59.1;33.254839;21.9;69.75;
83695;30/04/2017;0000;;;;189.9;4.855556;;64.6;31.36;20.703333;71.283333;
83695;31/05/2017;0000;;;;187.7;4.903226;;64;28.441935;18.196774;75.064516;
83695;30/06/2017;0000;;;;194.1;4.077778;;52.7;28.476667;17.436667;76.441667;
83695;31/07/2017;0000;;;;169.6;5.688172;;25.5;25.693548;15.416129;77.879032;
83695;31/08/2017;0000;;;;203.5;4.397849;;6.6;28.390323;15.825806;65.467742;
83695;30/09/2017;0000;;;;257.2;1.722222;;0;31.51;17.053333;61.333333;
83695;31/10/2017;0000;;;;209;4.44086;;15;33.754839;21.219355;61.927419;
83695;30/11/2017;0000;;;;138.4;6.744444;;214.2;30.71;21.133333;70.716667;
83695;31/12/2017;0000;;;;171;6.473118;;120.3;31.845161;22.609677;72.185484;
83695;31/01/2018;0000;;;;241.2;3.238095;;217.3;34.216129;23.241935;;
83695;28/02/2018;0000;;;;180.2;5.357143;;119.3;32.003571;22.596429;;
83695;31/03/2018;0000;;;;221.2;4.395604;;236.7;32.470968;23.119355;77;
83695;30/04/2018;0000;;;;191.4;4.244444;;64.6;29.946667;20.663333;76.866667;
83695;31/05/2018;0000;;;;204.5;3.602151;;14.3;28.36129;18.093548;76.306452;
83695;30/06/2018;0000;;;;169.6;5.077778;;16;29.01;17.986667;74.225;
83695;31/07/2018;0000;;;;231.7;2.451613;;43;29.154839;16.109677;71.645161;
83695;31/08/2018;0000;;;;164.9;5.215054;;52;27.122581;17.677419;75.774194;
83695;30/09/2018;0000;;;;184.2;4.7;;60.8;29.87;19.013333;69.758333;
83695;31/10/2018;0000;;;;136.5;7.064516;;87.7;30.416129;20.848387;73.395161;
83695;30/11/2018;0000;;;;154.4;6.188889;;144.5;30.516667;21.213333;77.483333;
83695;31/12/2018;0000;;;;234;4.526882;;173.9;32.464516;21.854839;71.814516;
83695;31/01/2019;0000;;;;328;1.555556;;32.7;36.774194;23.480645;;
83695;28/02/2019;0000;;;;175.8;6.696429;;154;34.464286;23.657143;;
83695;31/03/2019;0000;;;;218.7;5.052198;;167.4;33.1;22.983871;73.896552;
83695;30/04/2019;0000;;;;219.3;3.677778;;76.9;32.563333;22.293333;75.075;
83695;31/05/2019;0000;;;;184.4;3.763441;;49.5;30.354839;21.176471;78.217742;
83695;30/06/2019;0000;;;;183.6;3.75;;3.1;29.426667;;;
83695;31/07/2019;0000;;;;228.5;2.467742;;1.1;29.2;15.666667;;
83695;31/08/2019;0000;;;;166.2;4.451613;;30.5;28.23871;16.829032;;
83695;30/09/2019;0000;;;;168.1;3.95;;39;30.96;19.36;;
