Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
82493,31/01/2016,0,5.0,2.974194,5.6,171.8,8.107527000000001,,202.3,32.332258,24.312903,78.016667,-4.78,-37.76,Caatinga
82493,29/02/2016,0,5.0,2.595402,5.1,218.5,8.034483,,26.5,34.413793,24.051724,76.1875,-4.78,-37.76,Caatinga
82493,31/03/2016,0,14.0,2.899767,5.6588400000000005,218.2,6.384615,,53.5,35.61,25.122581,71.31666700000002,-4.78,-37.76,Caatinga
82493,30/04/2016,0,9.0,2.641563,6.17328,177.4,6.36236,,77.4,34.343333,24.755172,75.458333,-4.78,-37.76,Caatinga
82493,31/05/2016,0,9.0,2.8379,6.17328,230.4,3.983516,,2.1,35.43,24.254839,70.81666700000002,-4.78,-37.76,Caatinga
82493,30/06/2016,0,14.0,3.3152800000000004,6.17328,255.4,3.986111,,22.8,35.196667,23.656667,68.575,-4.78,-37.76,Caatinga
82493,31/07/2016,0,9.0,3.671231,5.6588400000000005,261.0,3.286517,,0.0,35.106667,23.077419,67.56666700000001,-4.78,-37.76,Caatinga
82493,31/08/2016,0,9.0,4.204988,6.17328,280.9,1.603261,,0.0,35.52,22.735484,65.866667,-4.78,-37.76,Caatinga
82493,30/09/2016,0,5.0,4.012632,6.17328,312.4,1.6944439999999998,,0.0,36.2,23.283333,66.925,-4.78,-37.76,Caatinga
82493,31/10/2016,0,5.0,4.159773,6.17328,325.1,2.916667,,0.0,36.158065,23.619355,65.91129000000001,-4.78,-37.76,Caatinga
82493,30/11/2016,0,5.0,4.317828,6.68772,318.1,3.430556,,0.0,35.95,23.956667000000003,66.266667,-4.78,-37.76,Caatinga
82493,31/12/2016,0,5.0,3.711712,6.17328,251.5,6.41129,,7.9,35.448387,24.33871,69.08064499999999,-4.78,-37.76,Caatinga
82493,31/01/2017,0,5.0,4.013978,5.5,275.1,6.806452,,22.1,35.75483900000001,24.829032,70.69354799999998,-4.78,-37.76,Caatinga
82493,28/02/2017,0,5.0,3.307143,5.3,201.0,7.75,,199.9,34.257143,24.217857,75.69642900000002,-4.78,-37.76,Caatinga
82493,31/03/2017,0,9.0,2.436559,5.0,198.7,8.322581,,233.3,32.932258000000004,24.193548,81.612903,-4.78,-37.76,Caatinga
82493,30/04/2017,0,9.0,2.107778,4.3,216.2,6.511111,,168.7,32.36,23.806667,83.068966,-4.78,-37.76,Caatinga
82493,31/05/2017,0,5.0,2.526882,5.1,226.9,6.559139999999998,,34.7,33.803226,23.629032,76.822581,-4.78,-37.76,Caatinga
82493,30/06/2017,0,9.0,2.844444,5.3,244.1,5.511111,,37.2,33.96,23.08,76.31666700000002,-4.78,-37.76,Caatinga
82493,31/07/2017,0,9.0,2.819355,5.3,184.1,6.763441,,126.1,32.135484000000005,22.393548000000006,75.30645200000002,-4.78,-37.76,Caatinga
82493,31/08/2017,0,9.0,3.296774,5.1,276.8,2.3978490000000003,,0.0,34.841935,21.909677,71.19354799999998,-4.78,-37.76,Caatinga
82493,30/09/2017,0,9.0,3.891111,6.6,288.1,3.022222,,0.0,35.756667,22.516667,62.666667,-4.78,-37.76,Caatinga
82493,31/10/2017,0,9.0,4.571429,8.5,313.2,2.805195,,0.0,36.045161,23.635484,67.241935,-4.78,-37.76,Caatinga
82493,30/11/2017,0,9.0,4.256667,7.1,303.0,3.483333,,0.1,34.95,23.806667,72.533333,-4.78,-37.76,Caatinga
82493,31/12/2017,0,5.0,4.153226,6.5,279.9,5.403226,,1.1,35.051613,24.793548,73.7,-4.78,-37.76,Caatinga
82493,31/01/2018,0,,,,,,,0.0,,,,-4.78,-37.76,Caatinga
82493,31/05/2018,0,9.0,2.20678,5.0,219.7,6.254237,,74.0,31.076667,23.413333,86.64285699999998,-4.78,-37.76,Caatinga
82493,30/06/2018,0,9.0,3.168333,5.5,232.3,4.433333,,13.6,31.993333000000003,21.876667,82.75862099999998,-4.78,-37.76,Caatinga
82493,31/07/2018,0,9.0,3.175,5.5,206.9,3.85,,4.6,33.736667,22.1,76.44444399999998,-4.78,-37.76,Caatinga
82493,31/08/2018,0,9.0,3.062295,5.1,275.9,1.819672,,0.6,35.13871,21.989655,76.85185200000002,-4.78,-37.76,Caatinga
82493,30/09/2018,0,14.0,3.726415,5.6,261.9,2.622642,,0.6,35.757692,22.2,74.791667,-4.78,-37.76,Caatinga
82493,31/10/2018,0,14.0,3.337705,6.0,304.4,2.967213,,0.0,35.483871,23.351613,78.41935500000002,-4.78,-37.76,Caatinga
82493,30/11/2018,0,9.0,3.421667,5.5,297.3,4.3,,4.0,36.062069,24.116667,78.633333,-4.78,-37.76,Caatinga
82493,31/12/2018,0,14.0,2.714516,5.1,260.8,6.064516,,15.6,35.086667,24.135484,84.677419,-4.78,-37.76,Caatinga
82493,31/01/2019,0,,,,,,,0.0,,,,-4.78,-37.76,Caatinga
82493,28/02/2019,0,9.0,1.822907,6.17328,136.4,8.070652,,118.5,33.785714,22.673913,87.5,-4.78,-37.76,Caatinga
82493,31/03/2019,0,0.0,1.193889,5.1444,142.1,8.985849,,166.4,30.903846,23.811538,93.807692,-4.78,-37.76,Caatinga
82493,30/04/2019,0,0.0,0.718073,3.6010800000000005,136.4,8.177083,,62.8,31.433333,24.1,92.375,-4.78,-37.76,Caatinga
