Latitude  (graus) : -15.45
Longitude (graus) : -44
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83386;31/01/2016;0000;5;1.651613;6.5;120.6;7.591398;;456.5;30.503226;22.041935;81.725806;
83386;29/02/2016;0000;5;1.535632;4.6;302.7;2.873563;;8.9;33.52069;19.751724;68.146552;
83386;31/03/2016;0000;9;1.701386;5;261;3.822581;;74.8;33.183871;20.519355;69.516129;
83386;30/04/2016;0000;9;1.933333;5;277.3;3.377778;;3;34.563333;18.603333;57.4;
83386;31/05/2016;0000;9;1.85914;5.3;288.3;3.107527;;0;33.651613;16.9;55.298387;
83386;30/06/2016;0000;9;1.2;4.3;265.6;3.011111;;0;32.176667;15.426667;54.206897;
83386;31/07/2016;0000;;1.002564;4.1;302.4;1.849462;;0;32.058065;14.993548;50.701613;
83386;31/08/2016;0000;;2.807143;6.6;305.5;2.193548;;2.4;33.464516;16.929032;46.379032;
83386;30/09/2016;0000;9;2.404444;7;268.2;3.611111;;0;35.066667;19.53;41.275;
83386;31/10/2016;0000;9;2.783871;6;264.4;3.913978;;83.7;35.983871;22.206452;47.870968;
83386;30/11/2016;0000;5;2.181111;5.6;210.5;5.522222;;232.8;32.73;21.533333;66.758333;
83386;31/12/2016;0000;9;2.122581;6.3;252;5.215054;;128.6;31.925806;20.632258;71.225806;
83386;31/01/2017;0000;9;1.894624;6.1;300.1;3.462366;;20.1;35.025806;20.670968;56.822581;
83386;28/02/2017;0000;9;2.041667;6.6;183;6.27381;;94.7;32.046429;20.8;72.0625;
83386;31/03/2017;0000;9;1.782796;4.5;262.8;4.107527;;96.3;33.558065;20.26129;67.298387;
83386;30/04/2017;0000;9;1.892222;5;274.2;3.055556;;1.8;34.28;19.606667;62.133333;
83386;31/05/2017;0000;9;1.891398;4.8;261.7;3.172043;;20.6;32.66129;18.719355;59.596774;
83386;30/06/2017;0000;9;2.337778;6.8;283.7;2.111111;;0;31.953333;16.196667;50.866667;
83386;31/07/2017;0000;9;2.876344;6.6;280.8;2.763441;;0.3;28.948387;15.33871;48.282258;
83386;31/08/2017;0000;9;2.352688;5.6;315.1;1.494624;;0;32.858065;15.129032;40.314516;
83386;30/09/2017;0000;9;3.261111;7.6;290;2.3;;0;32.543333;18.293333;39.925;
83386;31/10/2017;0000;9;3.037634;7.3;285.4;3.086022;;29.5;36.258065;21.593548;37.483871;
83386;30/11/2017;0000;9;1.966667;5.5;166.7;6.466667;;173.9;31.91;21.496667;65.958333;
83386;31/12/2017;0000;9;1.499235;5;177;6.55914;;248.8;30.974194;20.751613;76.806452;
83386;31/01/2018;0000;9;1.608602;5;268.6;4.806452;;60.4;33.435484;20.303226;65.709677;
83386;28/02/2018;0000;9;1.592182;5.8;198.2;5.577381;;362.5;30.592857;20.235714;78.767857;
83386;31/03/2018;0000;9;1.496774;4.6;263;4.430108;;128.7;31.448387;20.983871;78.225806;
83386;30/04/2018;0000;9;1.638889;4.8;248.1;3.788889;;10.9;30.913333;18.523333;70.683333;
83386;31/05/2018;0000;9;1.704301;5.5;289;2.16129;;0;31.219355;16.16129;62.443548;
83386;30/06/2018;0000;9;2.023333;5.1;289;2.133333;;0;31.31;14.45;56.6;
83386;31/07/2018;0000;9;1.898925;4.5;313.3;0.967742;;0;31.196774;12.893548;51.991935;
83386;31/08/2018;0000;9;2.268817;6.6;284.2;2.741935;;0.3;33.574194;16.512903;48.475806;
83386;30/09/2018;0000;9;2.267938;6.3;281.3;2.675;;10.5;34.856667;18.213333;44.675;
83386;31/10/2018;0000;9;2.330108;7.8;230.8;4.752688;;32;35.522581;22.241935;52.830645;
83386;30/11/2018;0000;5;1.908889;4.8;171.3;6.622222;;136.3;31.15;20.953333;75.1;
83386;31/12/2018;0000;9;1.556989;7;180.4;5.55914;;134.3;30.86129;19.887097;79.056452;
83386;31/01/2019;0000;9;2.058065;6;306.1;2.817204;;56.3;35.335484;19.474194;58.733871;
83386;28/02/2019;0000;9;1.833862;5.5;193.2;5.684524;;106.5;33.932143;21.15;71;
83386;31/03/2019;0000;27;1.770968;5.1;233.5;4.946237;;173.8;32.980645;21.219355;72.637097;
83386;30/04/2019;0000;9;1.473333;4;271.1;3.044444;;48.6;32.913333;20.466667;72.241667;
83386;31/05/2019;0000;9;1.544086;4.8;261.8;2.645161;;0.7;33.812903;18.516129;60.879032;
83386;30/06/2019;0000;9;1.998889;5.5;278.5;1.677778;;0.1;32.046667;16.11;54.116667;
83386;31/07/2019;0000;9;2.063441;5.6;302.4;1.451613;;1.8;31.564516;14.029032;48.330645;
83386;31/08/2019;0000;9;2.766667;6.3;293.2;2.473118;;0;32.83871;16.76129;46;
83386;30/09/2019;0000;9;2.783908;7.8;283.7;2.137931;;0;35.672414;18.676667;42.241071;
