Latitude  (graus) : -7.1
Longitude (graus) : -34.86
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82798;31/01/2016;0000;9;1.984946;4.6;184;6.419355;;100.5;31.080645;25.141935;78.137097;
82798;29/02/2016;0000;14;2.485057;4;203.4;5.965517;;104.2;31.548276;24.341379;75.169643;
82798;31/03/2016;0000;14;2.316969;4.11552;222;5.771505;;145.1;31.683871;24.590323;76.798387;
82798;30/04/2016;0000;14;2.398793;4.11552;177;6.13764;;374.3;31.326667;24.77931;78.433333;
82798;31/05/2016;0000;14;2.218177;4.11552;193.3;5.981183;;359.7;30.232258;23;81.943548;
82798;30/06/2016;0000;14;2.225387;5.1444;196.5;5.308989;;254.7;29.951724;22.47;78.825;
82798;31/07/2016;0000;14;2.577732;4.11552;200.6;5.739247;;45.8;29.580645;21.519355;77.008065;
82798;31/08/2016;0000;14;2.660706;5.1444;239.3;5.268817;;47.3;29.816129;21.619355;73.072581;
82798;30/09/2016;0000;14;2.449436;4.62996;252.5;5.168539;;52.8;30.17;23.563333;71.475;
82798;31/10/2016;0000;14;2.644893;5.1444;257.4;5.421196;;11.4;31.131034;24.325806;72.458333;
82798;30/11/2016;0000;14;2.675088;5.1444;244.3;5.638889;;8.6;31.668966;25.17;75.916667;
82798;31/12/2016;0000;14;2.594326;5.1444;231;5.698925;;64.8;31.935484;24.858065;75.016129;
82798;31/01/2017;0000;14;2.639785;3.8;234.2;5.860215;;57.1;31.977419;24.077419;73.524194;
82798;28/02/2017;0000;14;2.729762;4.6;209.8;5.940476;;41.7;32.303571;23.814286;74.553571;
82798;31/03/2017;0000;14;2.488172;4.6;201.9;5.860215;;145.5;32.26129;23.135484;76.645161;
82798;30/04/2017;0000;14;2.267416;4.6;201.8;5.853933;;276.9;32.126667;22.373333;77.301724;
82798;31/05/2017;0000;14;1.905376;4.1;180.2;6.150538;;493.8;31.154839;22.895833;82.741935;
82798;30/06/2017;0000;18;2.42;4.6;164.9;6.477778;;328.1;30.313333;22.993333;83.891667;
82798;31/07/2017;0000;18;2.824731;5;93.3;7.268817;;442.8;28.509677;22.116129;86.201613;
82798;31/08/2017;0000;14;2.75914;5;214.8;5.354839;;75.3;29.777419;22.035484;76.741935;
82798;30/09/2017;0000;14;3.33;5;225;5.988889;;120.6;30;22.806667;74.183333;
82798;31/10/2017;0000;14;3.033333;5;230.1;6.064516;;51.6;30.663333;24.483871;74.225806;
82798;30/11/2017;0000;9;2.637778;3.6;262.3;5.166667;;11;31.553333;25.446667;70.775;
82798;31/12/2017;0000;9;2.86129;5;238.2;5.354839;;26.6;32.235484;26.229032;72.25;
82798;31/01/2018;0000;14;2.490323;5;215.6;6.354839;;100.7;31.844444;25.258065;74.741935;
82798;28/02/2018;0000;14;2.461905;4;172.6;6.571429;;142.3;31.678571;24.757143;76.669643;
82798;31/03/2018;0000;14;2.078495;3.3;217.4;5.763441;;204.4;32.080645;24.96129;76.967742;
82798;30/04/2018;0000;14;2.091111;5;142.9;6.688889;;357.7;30.993333;24.1;83.741667;
82798;31/05/2018;0000;14;2.412903;5;164.9;6.677419;;245.8;30.925806;23.193548;81.564516;
82798;30/06/2018;0000;14;2.456667;4;163;5.966667;;108.9;30.3;22.213333;78.55;
82798;31/07/2018;0000;14;2.689011;5.8;181.8;5.344444;;198.8;29.658065;22.166667;77.183333;
82798;31/08/2018;0000;14;2.731183;5;216.5;5.419355;;82.8;29.993548;22.590323;75.370968;
82798;30/09/2018;0000;14;2.831111;5;215.1;5.588889;;36;30.365517;23.576667;73.283333;
82798;31/10/2018;0000;14;2.183871;3.6;271.5;4.634409;;1.9;31.47619;25.535484;69.846774;
82798;30/11/2018;0000;14;2.514444;4.1;233;5.433333;;17.8;31.875862;25.853333;72.391667;
82798;31/12/2018;0000;14;2.155914;3.6;234.7;5.23913;;57.4;32.081481;25.345161;72.330645;
82798;31/01/2019;0000;14;2.423656;4.3;231;5.397849;;72.6;32.112;24.980645;72.919355;
82798;28/02/2019;0000;14;2.16492;5.65884;;6.233333;;200.8;31.626087;24.807692;78.608696;
82798;31/03/2019;0000;14;1.752488;3.60108;155.5;5.879121;;239.8;32.136667;24.38;79.475;
82798;30/04/2019;0000;14;2.040419;4.11552;143.9;5.547753;;182.7;31.924138;23.576667;80.016667;
82798;31/05/2019;0000;14;1.969254;4.11552;165.1;5.389785;;204.5;31.845161;23.370968;77.435484;
82798;30/06/2019;0000;14;1.768828;4.11552;135.8;5.787671;;659.6;29.918519;21.533333;81.638889;
82798;31/07/2019;0000;14;1.684791;3.08664;129.2;5.53125;;354.5;29.536;20.827586;82.64;
82798;31/08/2019;0000;14;2.052228;4.11552;177.8;5.430108;;84.6;29.748387;20.86129;79.362903;
82798;30/09/2019;0000;14;2.132903;4.11552;174.8;5.042135;;62.6;30.234483;22.02;76.706897;
