Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude
83452,31/01/2016,0,9,1.4516129999999998,4,115.3,7.354839,,614.5,29.525806,20.035484,81.362903,"-16.77
","-43.66
"
83452,29/02/2016,0,14,1.402299,5,251.2,2.701149,,12.3,32.451724,18.165517,69.422414,"-16.77
","-43.66
"
83452,31/03/2016,0,9,1.301075,3,246.1,3.0967740000000004,,53.6,32.158065,18.751613,69.233871,"-16.77
","-43.66
"
83452,30/04/2016,0,14,1.477778,5,243.1,2.822222,,17.7,31.976667,17.63,66.525,"-16.77
","-43.66
"
83452,31/05/2016,0,9,1.247312,3,253.9,2.3655909999999998,,1.6,30.580645,15.929032000000001,69.58870999999999,"-16.77
","-43.66
"
83452,30/06/2016,0,14,1.4222219999999999,5,242.2,1.9,,0.0,29.536666999999998,13.473332999999998,64.825,"-16.77
","-43.66
"
83452,31/07/2016,0,14,1.354839,5,268.5,1.817204,,0.0,29.877419,12.203225999999999,60.32258100000001,"-16.77
","-43.66
"
83452,31/08/2016,0,14,1.9247310000000002,5,268.1,2.2150540000000003,,2.7,31.058065000000003,14.690323000000001,56.056452,"-16.77
","-43.66
"
83452,30/09/2016,0,14,1.9133330000000002,5,235.9,2.9666669999999997,,42.4,32.74,17.786667,,"-16.77
","-43.66
"
83452,31/10/2016,0,14,1.5494620000000001,6,219.1,3.8924730000000003,,67.9,32.767742,19.264516,,"-16.77
","-43.66
"
83452,30/11/2016,0,9,1.655556,6,169.5,5.6,,114.4,30.67,19.76,71.025,"-16.77
","-43.66
"
83452,31/12/2016,0,9,1.6559139999999999,6,207.6,4.655914,,90.6,31.354839000000002,19.3,70.435484,"-16.77
","-43.66
"
83452,31/01/2017,0,9,1.645161,5,257.6,2.6344090000000002,,27.4,33.441935,19.083871,57.056452,"-16.77
","-43.66
"
83452,28/02/2017,0,9,1.357143,5,168.6,5.690476,,168.1,30.607143,18.9,74.589286,"-16.77
","-43.66
"
83452,31/03/2017,0,14,1.182796,4,225.0,3.83871,,221.6,31.496774,18.425806,72.125,"-16.77
","-43.66
"
83452,30/04/2017,0,14,1.1888889999999999,4,225.4,3.144444,,7.0,31.336667,16.986667,70.391667,"-16.77
","-43.66
"
83452,31/05/2017,0,14,1.516129,5,203.9,4.408601999999999,,11.6,29.451613000000002,16.167742,69.951613,"-16.77
","-43.66
"
83452,30/06/2017,0,9,1.666667,5,232.6,3.5555559999999997,,0.0,29.476667,14.42,63.766667000000005,"-16.77
","-43.66
"
83452,31/07/2017,0,14,1.936559,5,220.6,4.365591,,0.7,26.232258,12.206452,61.314516000000005,"-16.77
","-43.66
"
83452,31/08/2017,0,9,1.688172,6,279.6,1.236559,,0.0,30.367742,12.380645,51.927419,"-16.77
","-43.66
"
83452,30/09/2017,0,14,2.644444,8,253.3,2.677778,,0.0,29.826666999999997,15.706667000000001,49.266667,"-16.77
","-43.66
"
83452,31/10/2017,0,14,2.150538,7,265.9,3.0860220000000003,,23.6,33.874194,19.022581,45.814516,"-16.77
","-43.66
"
83452,30/11/2017,0,14,1.588889,6,124.6,6.277778,,85.0,30.21,20.033333,67.06666700000001,"-16.77
","-43.66
"
