Latitude  (graus) : -27.81
Longitude (graus) : -50.33
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83891;31/01/2016;0000;5;2.609677;5;179.9;6.494624;;107.4;27.090323;16.067742;83.112903;
83891;29/02/2016;0000;5;2.114943;5;161.1;7.37931;;236.4;26.772414;17.172414;86.293103;
83891;31/03/2016;0000;5;2.526882;14;180.2;6.150538;;186.7;24.116129;13.745161;85.403226;
83891;30/04/2016;0000;5;2.131747;7.20216;146;6.722222;;136.8;24.753333;14.683333;86.391667;
83891;31/05/2016;0000;5;2.146266;7.20216;97.6;7.404891;;132;17.676923;8.26129;88.895161;
83891;30/06/2016;0000;5;2.509324;11.31768;158.8;4.88764;;24.8;15.506667;4.076667;84.741667;
83891;31/07/2016;0000;5;2.417315;8.23104;195.4;5.380435;;132;18.290323;6.151613;85.491935;
83891;31/08/2016;0000;5;2.234772;7.20216;152.7;6.102151;;139.2;19.8;6.803226;85.370968;
83891;30/09/2016;0000;5;2.663656;10.2888;188.4;5.5;;118.4;21.046667;8.3;81.241667;
83891;31/10/2016;0000;5;3.058982;10.2888;136.8;7.311828;;224.8;21.677419;10.796774;85.66129;
83891;30/11/2016;0000;5;2.40072;6.17328;210.4;6.416667;;73.8;24.623333;12.173333;80.25;
83891;31/12/2016;0000;5;2.36753;7.20216;98.7;7.096774;;158.1;25.729032;14.483871;81.83871;
83891;31/01/2017;0000;5;2.315054;7;199.4;6.430108;;115.1;27.696774;16.129032;82.072581;
83891;28/02/2017;0000;5;2.571429;6;176.7;6.321429;;107.4;28.192857;16.85;82.669643;
83891;31/03/2017;0000;5;2.462366;7;169.8;6.473118;;89.2;25.612903;14.587097;83.935484;
83891;30/04/2017;0000;5;2.177778;5;128.3;6.622222;;158.6;22.106667;10.743333;83.991667;
83891;31/05/2017;0000;;;;;;;0;;;;
