Latitude  (graus) : -21.68
Longitude (graus) : -45.94
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83683;31/01/2016;0000;5;0.680645;2.1;115.7;8.107527;;364.4;28.664516;19.122581;83.766129;
83683;29/02/2016;0000;9;0.829885;2.1;158.3;6.827586;;147.7;31.293103;19.134483;79.603448;
83683;31/03/2016;0000;9;0.775269;2.1;129.7;7.666667;;241.6;29.587097;18.467742;82.822581;
83683;30/04/2016;0000;5;0.596491;1;195.2;3.368421;;9.8;30.044828;16.022222;80.925926;
83683;31/05/2016;0000;;0.673171;2.1;;;;52.4;24.866667;11.96;;
83683;30/06/2016;0000;5;0.595556;3.1;153.4;4.233333;;74.3;24.043333;10.083333;79.691667;
83683;31/07/2016;0000;5;0.669892;3.1;205.4;2.11828;;0;26.377419;9.190323;69.854839;
83683;31/08/2016;0000;5;0.788172;2.1;211.9;3.537634;;30.2;27.506452;10.670968;66.975806;
83683;30/09/2016;0000;5;0.83;2.1;203.1;4.633333;;20;30.436667;14.356667;60.594828;
83683;31/10/2016;0000;9;0.84086;2.6;179.1;6.376344;;214.2;29.874194;16.419355;71.330645;
83683;30/11/2016;0000;5;0.861111;2.1;173.1;6.922222;;239.3;29.25;16.81;76.233333;
83683;31/12/2016;0000;5;1.106452;14;199.8;6.376344;;71.8;31.351613;17.783871;73.516129;
83683;31/01/2017;0000;9;0.912138;2.1;136.4;7.801075;;194.9;30.793548;18.793548;80.991935;
83683;28/02/2017;0000;9;0.940476;2.6;195.1;6.5;;52.5;30.871429;18.353571;73.330357;
83683;31/03/2017;0000;9;0.878495;2.1;167.6;5.72043;;98.1;29.8;16.870968;75.870968;
83683;30/04/2017;0000;5;0.747273;2.1;159.7;5.927273;;43.5;27.913333;15.961538;81.769231;
83683;31/05/2017;0000;9;0.886667;2.1;134.7;5.477778;;89;25.706452;13.196774;81.080645;
83683;30/06/2017;0000;5;0.878889;2.1;166.5;3.866667;;15.6;25.186667;10.436667;76.616667;
83683;31/07/2017;0000;5;1.087097;3.1;186.1;3.150538;;0;23.396774;8.893548;69.233871;
83683;31/08/2017;0000;5;1.008602;2.6;201.3;4.032258;;16;26.858065;10.532258;66.056452;
83683;30/09/2017;0000;5;1.155405;6;199.2;2.081081;;58.2;29.768966;11.471429;54.892857;
83683;31/10/2017;0000;5;1.095699;2.6;166.6;6.236559;;141.3;29.53871;16.206452;65.814516;
83683;30/11/2017;0000;5;1.055952;2.1;122.4;7.059524;;163.2;27.62;16.89;75.966667;
83683;31/12/2017;0000;5;1.055149;2.1;145.8;7.653226;;216.9;29.316129;18.296774;78.975806;
83683;31/01/2018;0000;5;1.05;2.1;157.3;7.48913;;161.4;29.829032;18.674194;78.491935;
83683;28/02/2018;0000;5;1.130106;3.1;142.5;7.196429;;113.8;29.132143;18.35;79.080357;
83683;31/03/2018;0000;5;1.045161;2.1;192.4;5.806452;;134.4;30.522581;18.609677;78.774194;
83683;30/04/2018;0000;5;1.041509;2.1;136.2;5.566038;;27.2;27.557692;15.003846;82.75;
83683;31/05/2018;0000;14;0.959783;2.1;193.6;3.815217;;86.4;26.387097;11.470968;73.629032;
83683;30/06/2018;0000;5;1;1.5;133.7;5.269663;;31.2;25.303333;12.14;76.875;
83683;31/07/2018;0000;5;1.054348;1.5;196.4;2.913043;;10.2;25.951613;9.13871;70.104839;
83683;31/08/2018;0000;14;1.106452;2.1;157;5.150538;;67;25.064516;11.674194;71.814516;
83683;30/09/2018;0000;5;1.123333;3.1;167.6;4.744444;;87.1;28.14;14.06;66.216667;
83683;31/10/2018;0000;5;1.110753;2.1;121.9;7.139785;;177.7;27.974194;17.383871;80.612903;
83683;30/11/2018;0000;5;1.151163;2.6;100.2;7.77907;;249.3;27.17931;17.851724;82.767241;
83683;31/12/2018;0000;5;1.078495;3.1;192.9;6.580645;;262.2;30.416129;18.06129;74.362903;
83683;31/01/2019;0000;5;1.024176;2.1;221.7;6.032967;;139.8;31.664516;18.787097;73.024194;
83683;28/02/2019;0000;5;1.032143;2.1;138;7.047619;;174.4;29.678571;18.653571;79.821429;
83683;31/03/2019;0000;5;1.016129;2;155.2;7.247312;;150.9;29.529032;18.296774;80.419355;
83683;30/04/2019;0000;5;0.913462;1.5;189;4.692308;;132;29.053333;16.492308;84.346154;
83683;31/05/2019;0000;5;0.904167;2.1;157.3;4.541667;;95.1;27.174194;13.996774;85.193548;
83683;30/06/2019;0000;5;0.977778;1.5;157.5;3.055556;;0.8;25.413333;10.293333;76.958333;
83683;31/07/2019;0000;5;0.889403;2.1;190.9;2.744624;;22.6;24.674194;8.135484;72.701613;
83683;31/08/2019;0000;5;0.984946;2.1;168.7;4.182796;;21.8;26.029032;10.796774;71.314516;
83683;30/09/2019;0000;5;0.998889;2.6;195.6;4.155556;;95;30.42;14.863333;65.825;
