Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude
83767,31/01/2016,0,9,1.193548,3.0,226.1,6.526882,,419.8,30.919355,21.345160999999997,73.153226,"-23.4
","-51.91
"
83767,29/02/2016,0,5,1.218391,5.0,162.3,7.977011,,384.1,30.903447999999997,21.913793,81.896552,"-23.4
","-51.91
"
83767,31/03/2016,0,9,1.376344,4.0,261.3,4.860215,,101.7,30.509677000000003,19.916129,69.290323,"-23.4
","-51.91
"
83767,30/04/2016,0,9,1.5537889999999999,8.23104,273.2,3.458333,,120.7,31.65,20.623333,58.608332999999995,"-23.4
","-51.91
"
83767,31/05/2016,0,9,1.2390809999999999,4.11552,151.3,6.277174,,252.4,23.251613,15.306451999999998,80.008065,"-23.4
","-51.91
"
83767,30/06/2016,0,9,1.3146799999999998,5.1444,197.9,4.885057,,78.0,22.226667000000003,13.036667,69.825,"-23.4
","-51.91
"
83767,31/07/2016,0,9,1.471409,4.11552,267.0,3.844086,,64.8,26.187097,14.709677,58.193548,"-23.4
","-51.91
"
83767,31/08/2016,0,5,1.845274,16.97652,241.2,3.75,,144.4,26.854839000000002,16.070968,63.193548,"-23.4
","-51.91
"
83767,30/09/2016,0,9,1.709084,16.97652,253.7,3.375,,39.4,28.126666999999998,15.716667000000001,57.275,"-23.4
","-51.91
"
83767,31/10/2016,0,5,1.759053,8.23104,247.8,5.30914,,138.6,29.587096999999996,18.267742000000002,64.540323,"-23.4
","-51.91
"
83767,30/11/2016,0,5,1.960588,20.06316,259.5,5.2083330000000005,,36.9,31.363333,19.83,59.533333,"-23.4
","-51.91
"
83767,31/12/2016,0,9,1.570978,7.202160000000001,188.1,6.693548,,215.3,30.322581,20.667742,74.387097,"-23.4
","-51.91
"
83767,31/01/2017,0,5,1.086022,4.0,213.4,7.139785000000001,,338.6,30.716129,20.854839000000002,77.959677,"-23.4
","-51.91
"
83767,28/02/2017,0,5,1.452381,8.0,215.5,5.642857,,149.3,32.525,21.85,70.214286,"-23.4
","-51.91
"
83767,31/03/2017,0,9,1.27957,5.0,228.7,5.322581,,161.2,30.796774,20.690323,70.44354799999999,"-23.4
","-51.91
"
83767,30/04/2017,0,9,1.433333,3.0,201.4,5.3333330000000005,,159.2,27.56,17.98,73.008333,"-23.4
","-51.91
"
83767,31/05/2017,0,9,1.27957,3.0,186.9,6.032258000000001,,306.1,25.503226,17.741935,79.540323,"-23.4
","-51.91
"
83767,30/06/2017,0,9,1.411111,4.0,206.1,4.344444,,103.0,23.696667,14.773333,75.0,"-23.4
","-51.91
"
83767,31/07/2017,0,9,1.8387099999999998,9.0,278.6,1.946237,,0.0,24.954839,14.264516,57.0,"-23.4
","-51.91
"
83767,31/08/2017,0,5,1.645161,6.0,235.7,4.053763,,142.9,27.403226,16.235484,59.806452,"-23.4
","-51.91
"
83767,30/09/2017,0,9,1.488889,6.0,274.3,2.911111,,33.2,32.513333,20.87,43.608333,"-23.4
","-51.91
"
83767,31/10/2017,0,9,1.4086020000000001,6.0,207.4,5.870968,,311.9,29.387096999999997,18.541935000000002,67.540323,"-23.4
","-51.91
"
83767,30/11/2017,0,9,1.211111,4.0,236.7,5.266667,,132.9,29.653333,18.81,66.158333,"-23.4
","-51.91
"
83767,31/12/2017,0,9,1.032258,3.0,190.1,6.892473,,210.1,29.703226,21.470968,73.701613,"-23.4
","-51.91
"
83767,31/01/2018,0,5,1.11828,3.0,175.3,7.795699000000001,,357.7,29.541935,20.819354999999998,79.233871,"-23.4
","-51.91
"
83767,28/02/2018,0,9,1.02381,3.0,189.1,6.02381,,88.7,29.507143,20.110714,69.848214,"-23.4
","-51.91
"
83767,31/03/2018,0,0,0.935484,6.0,216.4,6.27957,,228.8,31.119355,21.567742000000003,76.427419,"-23.4
","-51.91
"
83767,30/04/2018,0,9,1.211111,4.0,268.9,2.766667,,26.7,29.776667,19.716667,63.283333,"-23.4
","-51.91
"
83767,31/05/2018,0,9,1.322581,8.0,247.5,3.698925,,49.8,26.932258,16.506452,64.645161,"-23.4
","-51.91
"
83767,30/06/2018,0,0,1.0444440000000002,4.0,141.9,6.58427,,66.7,24.53,15.7,73.258333,"-23.4
","-51.91
"
83767,31/07/2018,0,0,1.172043,6.0,269.9,3.247312,,6.1,27.590322999999998,15.854839000000002,53.32258100000001,"-23.4
","-51.91
"
83767,31/08/2018,0,9,1.268817,8.0,211.0,4.108696,,257.1,24.474194,13.932258,66.362903,"-23.4
","-51.91
"
83767,30/09/2018,0,5,1.2,4.0,203.7,4.866667,,143.5,28.183333,17.073332999999998,65.408333,"-23.4
","-51.91
"
83767,31/10/2018,0,5,1.215054,4.0,186.0,6.505376,,319.3,28.419355,19.048386999999998,75.33870999999999,"-23.4
","-51.91
"
83767,30/11/2018,0,9,1.677778,8.0,218.6,5.355556,,197.9,29.836667,19.48,68.258333,"-23.4
","-51.91
"
83767,31/12/2018,0,5,1.258065,4.0,265.8,4.698925,,142.4,31.893548,21.554839,63.935483999999995,"-23.4
","-51.91
"
