Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
83090,31/01/2016,0,9,,,165.1,7.472527,,214.9,,20.883871,69.435484,-10.43,-39.29,Caatinga
83090,29/02/2016,0,14,,,223.3,5.770349,,36.9,,21.475862,71.87931,-10.43,-39.29,Caatinga
83090,31/03/2016,0,14,,,238.2,5.2688169999999985,,1.0,,20.209677,63.12096800000001,-10.43,-39.29,Caatinga
83090,30/04/2016,0,14,,,241.2,5.527778,,8.9,,20.483333,65.69166700000001,-10.43,-39.29,Caatinga
83090,31/05/2016,0,14,,,182.2,7.0,,75.4,,20.416129,74.612903,-10.43,-39.29,Caatinga
83090,30/06/2016,0,14,,,163.8,5.791667,,40.1,,19.186667,80.69166700000002,-10.43,-39.29,Caatinga
83090,31/07/2016,0,14,,,227.1,5.76087,,22.1,,18.329032,78.427419,-10.43,-39.29,Caatinga
83090,31/08/2016,0,14,,,229.4,4.959677,,23.5,,18.190323,72.83064499999998,-10.43,-39.29,Caatinga
83090,30/09/2016,0,14,,,249.9,5.828652,,6.4,,19.313333,69.0,-10.43,-39.29,Caatinga
83090,31/10/2016,0,9,,,277.3,4.973118,,1.4,,20.574194,63.798387,-10.43,-39.29,Caatinga
83090,30/11/2016,0,9,,,239.0,5.337079,,5.6,,20.93,63.666667,-10.43,-39.29,Caatinga
83090,31/12/2016,0,9,,,247.3,5.529891,,17.7,,21.348387,63.435484,-10.43,-39.29,Caatinga
83090,31/01/2017,0,9,,,290.0,5.602151,,0.0,,20.851613,61.717742,-10.43,-39.29,Caatinga
83090,28/02/2017,0,14,,,220.0,5.855422,,1.5,,22.003571,62.01785699999999,-10.43,-39.29,Caatinga
83090,31/03/2017,0,9,,,199.0,6.010753,,42.1,,21.206452,65.782258,-10.43,-39.29,Caatinga
83090,30/04/2017,0,9,,,166.4,6.155556,,40.4,,20.365517,72.766667,-10.43,-39.29,Caatinga
83090,31/05/2017,0,14,,,126.4,6.612903,,35.4,,20.051724,77.629032,-10.43,-39.29,Caatinga
83090,30/06/2017,0,14,,,95.2,6.577778,,45.5,,19.236667,82.725,-10.43,-39.29,Caatinga
83090,31/07/2017,0,14,,,114.9,7.9239130000000015,,69.6,,17.283870999999998,85.185484,-10.43,-39.29,Caatinga
83090,31/08/2017,0,9,,,161.4,6.608696000000001,,17.7,,17.932257999999994,79.16935500000002,-10.43,-39.29,Caatinga
83090,30/09/2017,0,9,,,119.3,7.233146,,98.4,,17.876667,84.775,-10.43,-39.29,Caatinga
83090,31/10/2017,0,9,,,210.6,5.201613,,6.8,,19.345161,71.241935,-10.43,-39.29,Caatinga
83090,30/11/2017,0,9,,,219.7,5.430556,,7.4,,20.776667,64.858333,-10.43,-39.29,Caatinga
83090,31/12/2017,0,9,,,196.1,6.304945,,16.9,,20.035484,65.927419,-10.43,-39.29,Caatinga
83090,31/01/2018,0,14,,,217.6,5.551075,,8.3,,21.551613,64.104839,-10.43,-39.29,Caatinga
83090,28/02/2018,0,9,,,138.0,6.661392,,10.6,,20.467857,70.535714,-10.43,-39.29,Caatinga
83090,31/03/2018,0,14,,,187.5,6.573034,,37.3,,20.280645,71.233871,-10.43,-39.29,Caatinga
83090,30/04/2018,0,14,,,150.9,7.008427,,33.1,,19.343333,76.533333,-10.43,-39.29,Caatinga
83090,31/05/2018,0,14,,,177.3,6.7338710000000015,,47.6,,18.964516,81.145161,-10.43,-39.29,Caatinga
83090,30/06/2018,0,9,,,179.7,6.819444,,36.7,,16.983333,84.408333,-10.43,-39.29,Caatinga
83090,31/07/2018,0,14,,,211.6,6.317204,,14.8,,18.554839,78.75,-10.43,-39.29,Caatinga
83090,31/08/2018,0,9,,,235.8,4.83871,,22.2,,18.91,74.08064499999998,-10.43,-39.29,Caatinga
83090,30/09/2018,0,9,,,261.0,4.3333330000000005,,8.1,,19.3,69.81666700000001,-10.43,-39.29,Caatinga
83090,31/10/2018,0,9,,,239.5,5.149457,,20.4,,19.56129,67.096774,-10.43,-39.29,Caatinga
83090,30/11/2018,0,9,,,238.6,5.280899,,13.4,,19.966667,67.008333,-10.43,-39.29,Caatinga
83090,31/12/2018,0,9,,,224.9,6.5521980000000015,,92.8,,19.864516,74.233871,-10.43,-39.29,Caatinga
83090,31/01/2019,0,9,,,244.9,5.529891,,28.5,,20.658065,66.459677,-10.43,-39.29,Caatinga
83090,28/02/2019,0,14,,,205.5,6.130952,,45.8,,21.203571,67.25892900000001,-10.43,-39.29,Caatinga
83090,31/03/2019,0,9,,,246.6,5.7724720000000005,,77.7,,20.993548,71.887097,-10.43,-39.29,Caatinga
83090,30/04/2019,0,9,,,205.4,6.36236,,27.2,,20.775862,72.633333,-10.43,-39.29,Caatinga
83090,31/05/2019,0,14,,,222.2,5.7065220000000005,,6.7,,20.045161,73.354839,-10.43,-39.29,Caatinga
83090,30/06/2019,0,14,,,119.5,7.738764,,91.8,,18.776667,85.55833299999998,-10.43,-39.29,Caatinga
83090,31/07/2019,0,14,,,146.3,7.405914,,72.1,,17.948387,86.08870999999998,-10.43,-39.29,Caatinga
83090,31/08/2019,0,9,,,197.8,6.317204,,29.3,,18.167742,81.451613,-10.43,-39.29,Caatinga
83090,30/09/2019,0,14,,,248.6,5.555556,,12.3,,18.963333,72.8,-10.43,-39.29,Caatinga
