Latitude  (graus) : -7.88
Longitude (graus) : -37.06
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82792;31/01/2016;0000;;;;;9.16129;;140.8;30.645161;20.151613;74.580645;
82792;29/02/2016;0000;;;;;7.103448;;56.6;32.296552;18.975862;63.75;
82792;31/03/2016;0000;;;;;7.25;;147;33.496774;20.412903;63.709677;
82792;30/04/2016;0000;;;;;6.819444;;13.2;32.62;19.69;63.008333;
82792;31/05/2016;0000;;;;;6.236559;;56.8;31.209677;18.851613;65.806452;
82792;30/06/2016;0000;;;;;5.308989;;0.6;30.741379;17.816667;60.422414;
82792;31/07/2016;0000;;;;;;;0;;;;
82792;31/08/2016;0000;;;;;5.246479;;0;31.620833;16.741667;55.791667;
82792;30/09/2016;0000;;;;;5.257353;;7;32.908696;17.686957;50.956522;
82792;31/10/2016;0000;;;;;5.072674;;0.8;33.785714;19.044828;48.857143;
82792;30/11/2016;0000;;;;;5.388889;;0;34.146667;19.653333;49.966667;
82792;31/12/2016;0000;;;;;6.358696;;7.8;34.109677;20.42;50.362903;
82792;31/01/2017;0000;;;;;7.612903;;29;34;20.080645;57.83871;
82792;28/02/2017;0000;;;;;7.940476;;47.4;33.953571;20.767857;55.267857;
82792;31/03/2017;0000;;;;;8.021505;;86.6;33.235484;21.293548;61.927419;
82792;30/04/2017;0000;;;;;7.166667;;182.9;32.006667;20.363333;64.75;
82792;31/05/2017;0000;;;;;7.129032;;80.4;;20.164516;68.790323;
82792;30/06/2017;0000;;;;;7.511111;;46.2;;18.43;73.875;
82792;31/07/2017;0000;;;;;8.424658;;82.3;;17.196774;77.725;
82792;31/08/2017;0000;;;;;6.053763;;15.2;;16.86129;65.233871;
82792;30/09/2017;0000;;;;;6.044444;;3.6;;17.37;59.091667;
82792;31/10/2017;0000;;;;;5.516129;;0;;18.954839;54.096774;
82792;30/11/2017;0000;;;;;5.455556;;11.8;;20.07;51.225;
82792;31/12/2017;0000;;;;;6.408602;;22.4;;20.658065;51.693548;
82792;31/01/2018;0000;;;;;7.9;;80;;20.232;65.44;
82792;28/02/2018;0000;;;;;8.047619;;85.4;;20.867857;62.892857;
82792;31/03/2018;0000;;;;;8.290323;;174.6;;20.63871;68.032258;
82792;30/04/2018;0000;;;;;8.4;;107.8;29.466667;19.89;77.141667;
82792;31/05/2018;0000;;;;;7.236559;;132.8;29.077419;18.43871;72.483871;
82792;30/06/2018;0000;;;;;5.377778;;2.2;29.6;16.93;64.516667;
82792;31/07/2018;0000;;;;;4.222222;;2;29.709677;17.190323;66.1;
82792;31/08/2018;0000;;;;;4.548387;;1;31.296774;17.274194;55.274194;
82792;30/09/2018;0000;;;;;4.4;;0;32.293333;18.083333;52.825;
82792;31/10/2018;0000;;;;;5.215054;;2;33.764516;19.864516;52.846774;
82792;30/11/2018;0000;;;;;5.488889;;57.9;33.373333;20.35;53.333333;
82792;31/12/2018;0000;;;;;6.139785;;41.3;33.051613;20.46129;54.290323;
82792;31/01/2019;0000;;;;;7.5;;128;32.888;20.28;62.25;
82792;28/02/2019;0000;;;;;8.048193;;75.8;32.659259;21.542857;64.388889;
82792;31/03/2019;0000;;;;;7.472826;;184.1;32.475862;21.087097;65.5;
82792;30/04/2019;0000;;;;;7.696629;;105.1;31.296552;21.01;73.060345;
82792;31/05/2019;0000;;;;;6.463068;;45;30.65;19.706667;65.116071;
82792;30/06/2019;0000;;;;;6.775568;;28.4;29.546429;17.983333;63.9375;
82792;31/07/2019;0000;;;;;7.076613;;54.7;28.816667;18.196154;70.85;
82792;31/08/2019;0000;;;;;6.552198;;9.1;29.026667;16.474194;61.658333;
82792;30/09/2019;0000;;;;;5.383523;;1;31.892857;18.593333;52.696429;
