Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude
83184,31/01/2016,0,14,3.130893,6.17328,141.5,7.688172,,362.8,26.653333,19.309677,80.41935500000001,"-11.21
","-41.21
"
83184,29/02/2016,0,14,3.473983,6.17328,240.3,5.161765,,18.6,28.037931,18.372414000000003,69.025862,"-11.21
","-41.21
"
83184,31/03/2016,0,14,3.175146,5.1444,251.7,4.879032,,1.3,28.658065,18.903226,67.725806,"-11.21
","-41.21
"
83184,30/04/2016,0,14,3.589116,6.17328,215.5,5.0,,7.5,27.668965999999998,18.243333,68.060345,"-11.21
","-41.21
"
83184,31/05/2016,0,14,3.7017309999999997,6.17328,192.8,6.046196,,11.8,26.251613,17.464516,75.225806,"-11.21
","-41.21
"
83184,30/06/2016,0,14,3.532488,7.202160000000001,210.8,5.0416669999999995,,16.3,26.176667000000002,16.153333,72.8,"-11.21
","-41.21
"
83184,31/07/2016,0,14,3.5615080000000003,5.1444,212.4,5.302198000000001,,21.0,24.266667,15.245160999999998,75.44166700000001,"-11.21
","-41.21
"
83184,31/08/2016,0,14,3.522796,6.17328,234.5,5.013587,,30.0,25.706667000000003,15.66129,70.35,"-11.21
","-41.21
"
83184,30/09/2016,0,14,3.761128,5.1444,199.8,6.097222,,35.0,26.23,16.25,72.583333,"-11.21
","-41.21
"
83184,31/10/2016,0,14,3.6346300000000005,7.202160000000001,261.0,5.040761,,33.2,28.190323,17.606451999999997,65.879032,"-11.21
","-41.21
"
83184,30/11/2016,0,14,3.703968,6.17328,204.8,5.5833330000000005,,57.9,27.886667,17.946667,68.783333,"-11.21
","-41.21
"
83184,31/12/2016,0,14,3.5116120000000004,6.17328,242.0,5.570652,,37.0,29.174194,18.554839,62.935483999999995,"-11.21
","-41.21
"
83184,31/01/2017,0,14,3.193548,5.0,283.0,4.591398000000001,,6.6,30.309677,18.167742,57.870968000000005,"-11.21
","-41.21
"
83184,28/02/2017,0,14,3.214286,6.0,184.8,6.119048,,13.7,29.496429,18.514286,61.116071,"-11.21
","-41.21
"
83184,31/03/2017,0,14,3.107527,5.0,229.6,5.462366,,73.8,29.432258,18.63871,64.379032,"-11.21
","-41.21
"
83184,30/04/2017,0,14,3.1222220000000003,5.0,212.3,5.411111,,21.9,27.196666999999998,18.426667000000002,74.616667,"-11.21
","-41.21
"
83184,31/05/2017,0,14,3.3021510000000003,5.0,211.6,5.731183000000001,,21.2,25.506452,17.190323,78.75,"-11.21
","-41.21
"
83184,30/06/2017,0,14,3.685227,5.0,189.7,6.613636,,24.4,24.093332999999998,16.117241,80.0,"-11.21
","-41.21
"
83184,31/07/2017,0,14,4.483871,7.0,174.1,7.0,,29.6,21.832258,14.177419,81.241935,"-11.21
","-41.21
"
83184,31/08/2017,0,14,3.390967,6.0,234.0,4.860215,,19.2,24.425806,14.819354999999998,73.717742,"-11.21
","-41.21
"
83184,30/09/2017,0,14,4.265157,7.202160000000001,201.1,6.811798,,33.7,24.02,14.963332999999999,75.625,"-11.21
","-41.21
"
