Latitude  (graus) : -5.91
Longitude (graus) : -35.2
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMinimaMedia;UmidadeRelativaMedia;
82598;31/01/2016;0000;;;;175.2;6.978495;;153.9;25.087097;81.790323;
82598;29/02/2016;0000;14;2.893243;5;220.7;6.229885;;73.8;24.958621;79.741071;
82598;31/03/2016;0000;14;2.640874;5.1444;260.5;5.303763;;152.5;23.46129;80.75;
82598;30/04/2016;0000;14;2.589348;6.68772;217.2;6.152778;;166.4;25.986667;81.433333;
82598;31/05/2016;0000;14;2.187783;8.23104;246.7;5.833333;;207.9;25.91;81.524194;
82598;30/06/2016;0000;14;2.167584;5.1444;243;5.847222;;156.3;25.303333;81.05;
82598;31/07/2016;0000;14;2.837717;8.23104;267.7;5.658602;;38.6;24.083871;78.983871;
82598;31/08/2016;0000;14;2.684035;6.17328;263.9;5.353261;;68.6;24.346429;78.316667;
82598;30/09/2016;0000;14;3.1438;6.68772;298.8;5.013889;;42.2;25.306667;77.516667;
82598;31/10/2016;0000;14;4.165305;7.20216;285.4;5.510753;;22.7;26.245161;75.91129;
82598;30/11/2016;0000;14;2.930574;8.74548;281.9;4.929775;;19;26.58;74.827586;
82598;31/12/2016;0000;14;2.745544;5.1444;260.7;5.910326;;63.5;26.577419;74.816667;
82598;31/01/2017;0000;9;2.119355;5;271.3;5.688172;;80.6;26.109677;75.870968;
82598;28/02/2017;0000;14;1.317857;3.7;215.4;6;;65;26.289286;76.857143;
82598;31/03/2017;0000;14;0.630108;2;240.9;6.182796;;187.2;26.158065;78.5;
82598;30/04/2017;0000;0;0.384444;3.3;214.6;5.8;;254.1;25.673333;80.45;
82598;31/05/2017;0000;0;0.87957;4;225.2;6.075269;;229.4;24.435484;80.862903;
82598;30/06/2017;0000;9;1.555556;5.5;205;5.888889;;197.7;23.18;80.141667;
82598;31/07/2017;0000;14;2.63587;8.7;150.4;6.967742;;414.3;21.909677;80.241935;
82598;31/08/2017;0000;14;3.667742;8.2;284.9;4.817204;;24.3;21.706452;75.33871;
82598;30/09/2017;0000;14;4.673333;8.7;265.8;5.422222;;74.4;22.066667;74.333333;
82598;31/10/2017;0000;14;4.426882;9.7;284.5;5.763441;;71.8;23.46129;77.951613;
82598;30/11/2017;0000;14;4.242222;6.5;289.2;5.344444;;8.9;24.93;81.983333;
82598;31/12/2017;0000;14;3.369892;6;268.7;6.311828;;46.9;25.554839;83.19;
82598;31/01/2018;0000;14;3.407527;6.5;250.9;6.290323;;76.6;25.429032;;
82598;28/02/2018;0000;14;2.938095;5.7;207.3;6.654762;;217.2;25.407143;;
82598;31/03/2018;0000;14;2.678495;5.1;258.6;6.612903;;274.4;26.225806;;
82598;30/04/2018;0000;14;2.286667;4.5;188;6.955556;;290.2;25.376667;;
82598;31/05/2018;0000;14;2.577419;5.1;213.3;7.215054;;223.3;25.364516;;
82598;30/06/2018;0000;14;3.224444;5.7;216.7;6.744444;;252.8;23.662069;;
82598;31/07/2018;0000;14;4.413978;8.7;209.6;6.774194;;289.1;22.870968;;
82598;31/08/2018;0000;14;5.706452;9.4;284.6;5.935484;;45;23.145161;;
82598;30/09/2018;0000;14;6.115556;10.8;276.1;6.3;;61.2;23.3;;
82598;31/10/2018;0000;14;5.160215;10.8;308.5;6.096774;;0;24.603226;;
82598;30/11/2018;0000;14;5.178889;9.2;285.3;6.233333;;7.5;25.03;;
82598;31/12/2018;0000;14;4.034409;8;286.6;6.096774;;66.3;25.106452;74.766129;
82598;31/01/2019;0000;14;4.704301;11.2;275.8;6.354839;;25.4;25.070968;74.475806;
82598;28/02/2019;0000;14;3.203148;9.25992;198.2;7.064815;;141.5;25.278571;78.080357;
82598;31/03/2019;0000;14;2.826654;6.68772;173.6;7.115385;;239.7;24.725806;80.596774;
82598;30/04/2019;0000;14;3.160948;7.20216;193.1;7.176966;;470.7;24.343333;81.833333;
82598;31/05/2019;0000;14;3.418537;8.74548;238.2;6.68956;;206.7;24.522581;79.024194;
82598;30/06/2019;0000;14;3.242706;6.68772;199;6.264535;;275.6;23.146667;80.181034;
82598;31/07/2019;0000;14;3.887604;8.74548;196;6.772152;;190.5;22.711111;80.423077;
82598;31/08/2019;0000;14;5.929889;9.77436;266.7;5.733696;;64.7;22.554839;77.983871;
82598;30/09/2019;0000;14;5.624544;10.2888;261.8;6.138889;;60.4;23.726667;78;
