Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMinimaMedia,UmidadeRelativaMedia,Unnamed: 13,Latitude,Longitude,Bioma,area(m²)
83513,31/01/2016,0,36,1.709.677,6,159.2,5.870.968,,261.2,20.609.677,,,-18.98,-56.62,Pantanal,64721719000.0
83513,29/02/2016,0,36,191.954,6,180.1,72.413.789.999.999.900,,149.5,21.251.724,,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/03/2016,0,0,1.354.839,4,235.6,444.086,,81.2,1.976.129,,,-18.98,-56.62,Pantanal,64721719000.0
83513,30/04/2016,0,36,1.833.333,8,225.8,3.677.778,,38.8,18.66,,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/05/2016,0,18,2.505.376,6,153.9,4.612.903,,29.0,14.880.645,,,-18.98,-56.62,Pantanal,64721719000.0
83513,30/06/2016,0,18,2.24,8,150.9,4.911.111,,36.8,14.126.667,,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/07/2016,0,0,3.006.452,17,254.1,3.580.645,,0.0,,,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/08/2016,0,0,3.182.796,10,229.4,3.483.871,,91.3,,,,-18.98,-56.62,Pantanal,64721719000.0
83513,30/09/2016,0,0,22.111.110.000.000.000,6,228.3,3.411.111,,27.0,,,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/10/2016,0,36,3.860.215,9,247.4,3.505.376,,56.8,,,,-18.98,-56.62,Pantanal,64721719000.0
83513,30/11/2016,0,0,2.144.444,7,188.1,5.322.222,,147.2,,,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/01/2017,0,36,1.946.237,7,234.8,4.978.495,,302.4,22.406.452,79.774.194,,-18.98,-56.62,Pantanal,64721719000.0
83513,28/02/2017,0,5,2.202.381,5,140.7,3.571.429,,120.6,21.217.857,8.282.142.900.000.000,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/03/2017,0,36,2.316.129,9,202.3,427.957,,109.9,21.954.839,82.459.677,,-18.98,-56.62,Pantanal,64721719000.0
83513,30/04/2017,0,18,2.333.333,9,204.1,4.677.778,,109.8,20.026.667,82.158.333,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/05/2017,0,23,283.871,9,173.4,5.215.054,,96.0,19.822.581,86.612.903,,-18.98,-56.62,Pantanal,64721719000.0
83513,30/06/2017,0,0,2.011.111,9,247.9,3.377.778,,37.0,13.61,81.616.667,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/07/2017,0,5,2.666.667,9,283.0,2.903.226,,0.0,1.106.129,67.185.484,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/08/2017,0,0,216.129,9,256.4,4.258.065,,84.0,15.703.226,70.354.839,,-18.98,-56.62,Pantanal,64721719000.0
83513,30/09/2017,0,0,1.966.667,7,249.4,3.411.111,,6.2,16.073.332.999.999.900,62.65,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/10/2017,0,36,2.182.796,10,231.8,488.172,,239.2,18.925.806,7.605.645.200.000.000,,-18.98,-56.62,Pantanal,64721719000.0
83513,30/11/2017,0,36,2.277.778,10,221.5,3.755.556,,102.3,20.673.333,79.516.667,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/12/2017,0,36,1.924.731,8,169.8,3.763.441,,345.5,2.126.129,84.435.484,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/01/2018,0,36,1.602.151,4,184.3,511.828,,242.6,20.980.645.000.000.000,82.475.806,,-18.98,-56.62,Pantanal,64721719000.0
83513,28/02/2018,0,0,1.559.524,8,139.6,6.297.619,,278.8,22.192.857,8.467.857.099.999.990,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/03/2018,0,36,17.741.939.999.999.900,6,201.5,3.870.968,,27.1,21.548.387,8.166.129.000.000.000,,-18.98,-56.62,Pantanal,64721719000.0
83513,30/04/2018,0,0,1.233.333,4,217.3,3.0625,,111.1,20.49,81.783.333,,-18.98,-56.62,Pantanal,64721719000.0
83513,31/05/2018,0,36,1.903.226,4,230.2,2.698.925,,86.0,1.953.871,79.233.871,,-18.98,-56.62,Pantanal,64721719000.0
83513,30/06/2018,0,23,2.0,4,158.0,13.777.780.000.000.000,,16.6,16.01,8.108.035.699.999.990,,-18.98,-56.62,Pantanal,64721719000.0
