Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMinimaMedia,UmidadeRelativaMedia,Unnamed: 13,Latitude,Longitude,Bioma,area(m²)
83319,31/01/2016,0,0,797.099,411.552,99.1,8.188.202,,125.6,23.126.923,90.693.548,,-14.7,-52.35,Cerrado,5526733000.0
83319,29/02/2016,0,0,674.094,411.552,211.3,5.732.759,,41.5,22.231.034,83.982.759,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/03/2016,0,0,497.845,308.664,192.8,6.599.462,,247.6,22.912.903,84.185.484,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/04/2016,0,0,695.663,462.996,274.4,3.252.841,,7.0,20.665.517,77.525,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/05/2016,0,0,1.174.265,617.328,271.3,3.575.269,,7.8,18.996.774,74.177.419,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/06/2016,0,0,10.411.290.000.000.000,617.328,262.2,2.892.442,,0.0,15.871.429,6.780.357.099.999.990,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/07/2016,0,0,80.024,36.010.800.000.000.000,300.4,1.086.957,,0.0,13.87,61.508.065,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/08/2016,0,0,11.832.120.000.000.000,5.1444,258.2,3.027.778,,3.4,17.112.903,5.946.551.700.000.000,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/09/2016,0,0,1.170.794,5.1444,221.6,4.655.172,,14.9,20.8,56.733.333,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/10/2016,0,0,831.018,10.2888,197.1,6.181.319,,129.2,21.477.419,69.008.333,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/11/2016,0,0,745.649,462.996,165.0,7.763.889,,229.1,22.49,78.6,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/12/2016,0,0,464.655,411.552,164.6,77.688.169.999.999.900,,367.3,22.012.903,85.008.065,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/01/2017,0,0,652.688,3.3,184.3,6.951.613,,305.5,21.693.548,83.395.161,,-14.7,-52.35,Cerrado,5526733000.0
83319,28/02/2017,0,0,6.012.350.000.000.000,6.2,122.5,8.172.839.999.999.990,,131.9,22.460.714.000.000.000,8.699.107.099.999.990,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/03/2017,0,0,292.391,4.9,188.8,6.402.174,,304.1,22.048.387,8.566.129.000.000.000,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/04/2017,0,0,601.124,6.4,231.4,5.055.556,,87.0,21.36,83.208.333,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/05/2017,0,0,4.760.680.000.000.000,3.3,253.2,3.795.699,,9.2,1.963.871,81.072.581,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/06/2017,0,0,802.222,6.4,276.6,3.066.667,,1.3,16.92,73.25,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/07/2017,0,0,11.870.969.999.999.900,5.4,317.4,946.237,,0.0,13.183.871,64.112.903,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/08/2017,0,0,785.489,462.996,310.2,1.948.925,,0.0,15.396.774,59.403.226,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/09/2017,0,0,217.208,823.104,261.3,2.277.778,,2.5,16.69,57.9,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/10/2017,0,0,80.521,617.328,229.3,5.577.957,,31.9,20.829.032,65.548.387,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/11/2017,0,0,668.772,462.996,156.7,74.859.550.000.000.000,,155.5,22.39,8.119.166.700.000.000,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/12/2017,0,0,349.462,4.9,141.8,8.215.053.999.999.990,,189.0,22.423.333,84.209.677,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/01/2018,0,0,602.151,4.2,180.0,7.108.696.000.000.000,,185.0,21.590.323,81.935.484,,-14.7,-52.35,Cerrado,5526733000.0
83319,28/02/2018,0,0,577.381,4.2,144.3,7.506.024.000.000.000,,283.0,22.074.074,86.339.286,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/03/2018,0,0,807.527,4.2,213.3,6.645.161,,165.0,22.203.226,84.072.581,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/04/2018,0,0,1.182.222,4.3,197.5,6.0,,44.3,20.7,82.275,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/05/2018,0,0,972.043,5.0,284.1,2.934.066,,17.8,17.551.613,75.104.839,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/06/2018,0,0,1.2003,5.1444,286.6,2.805.556,,0.0,15.693.333,73.383.333,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/07/2018,0,0,11.136.780.000.000.000,7.7166,313.5,1.25,,0.0,13.77,65.104.839,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/08/2018,0,0,1.377.372,617.328,295.1,3.494.624,,6.9,17.077.419,5.816.129,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/09/2018,0,0,786.111,668.772,243.6,4.430.556,,62.8,18.54,57.275,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/10/2018,0,0,553.161,5.1444,183.8,702.957,,211.8,22.683.871,7.705.645.200.000.000,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/11/2018,0,0,405.836,411.552,133.5,7.555.556,,328.5,22.7,86.908.333,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/12/2018,0,0,923.779,5.1444,175.7,72.311.830.000.000.000,,206.2,21.945.161,82.564.516,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/01/2019,0,0,619.541,411.552,213.1,59.677.419.999.999.900,,126.4,21.654.839.000.000.000,80.612.903,,-14.7,-52.35,Cerrado,5526733000.0
83319,28/02/2019,0,0,589.724,411.552,165.6,721.875,,231.1,22.317.857,83.703.704,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/03/2019,0,0,477.276,3.9,197.5,7.440.860.000.000.000,,174.0,22.383.333,8.530.645.200.000.000,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/04/2019,0,0,412.222,4.2,195.7,6.133.333,,102.6,21.823.333,8.619.166.700.000.000,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/05/2019,0,0,6.548.390.000.000.000,4.2,274.5,3.505.376,,1.8,19.470.968,81.008.333,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/06/2019,0,0,102.888,56.588.400.000.000.000,266.1,26.583.330.000.000.000,,0.0,15.416.667.000.000.000,71.333.333,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/07/2019,0,0,656.522,3.8,309.7,2.340.659,,0.0,13.732.257.999.999.900,6.583.870.999.999.990,,-14.7,-52.35,Cerrado,5526733000.0
83319,31/08/2019,0,0,967.742,4.9,272.2,321.978,,0.0,16.358.065,56.066.667,,-14.7,-52.35,Cerrado,5526733000.0
83319,30/09/2019,0,0,725.932,462.996,244.9,2.583.333,,14.6,18.993.333,51.45,,-14.7,-52.35,Cerrado,5526733000.0
