Latitude  (graus) : -14.7
Longitude (graus) : -52.35
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMinimaMedia;UmidadeRelativaMedia;
83319;31/01/2016;0000;0;0.797099;4.11552;99.1;8.188202;;125.6;23.126923;90.693548;
83319;29/02/2016;0000;0;0.674094;4.11552;211.3;5.732759;;41.5;22.231034;83.982759;
83319;31/03/2016;0000;0;0.497845;3.08664;192.8;6.599462;;247.6;22.912903;84.185484;
83319;30/04/2016;0000;0;0.695663;4.62996;274.4;3.252841;;7;20.665517;77.525;
83319;31/05/2016;0000;0;1.174265;6.17328;271.3;3.575269;;7.8;18.996774;74.177419;
83319;30/06/2016;0000;0;1.041129;6.17328;262.2;2.892442;;0;15.871429;67.803571;
83319;31/07/2016;0000;0;0.80024;3.60108;300.4;1.086957;;0;13.87;61.508065;
83319;31/08/2016;0000;0;1.183212;5.1444;258.2;3.027778;;3.4;17.112903;59.465517;
83319;30/09/2016;0000;0;1.170794;5.1444;221.6;4.655172;;14.9;20.8;56.733333;
83319;31/10/2016;0000;0;0.831018;10.2888;197.1;6.181319;;129.2;21.477419;69.008333;
83319;30/11/2016;0000;0;0.745649;4.62996;165;7.763889;;229.1;22.49;78.6;
83319;31/12/2016;0000;0;0.464655;4.11552;164.6;7.768817;;367.3;22.012903;85.008065;
83319;31/01/2017;0000;0;0.652688;3.3;184.3;6.951613;;305.5;21.693548;83.395161;
83319;28/02/2017;0000;0;0.601235;6.2;122.5;8.17284;;131.9;22.460714;86.991071;
83319;31/03/2017;0000;0;0.292391;4.9;188.8;6.402174;;304.1;22.048387;85.66129;
83319;30/04/2017;0000;0;0.601124;6.4;231.4;5.055556;;87;21.36;83.208333;
83319;31/05/2017;0000;0;0.476068;3.3;253.2;3.795699;;9.2;19.63871;81.072581;
83319;30/06/2017;0000;0;0.802222;6.4;276.6;3.066667;;1.3;16.92;73.25;
83319;31/07/2017;0000;0;1.187097;5.4;317.4;0.946237;;0;13.183871;64.112903;
83319;31/08/2017;0000;0;0.785489;4.62996;310.2;1.948925;;0;15.396774;59.403226;
83319;30/09/2017;0000;0;2.17208;8.23104;261.3;2.277778;;2.5;16.69;57.9;
83319;31/10/2017;0000;0;0.80521;6.17328;229.3;5.577957;;31.9;20.829032;65.548387;
83319;30/11/2017;0000;0;0.668772;4.62996;156.7;7.485955;;155.5;22.39;81.191667;
83319;31/12/2017;0000;0;0.349462;4.9;141.8;8.215054;;189;22.423333;84.209677;
83319;31/01/2018;0000;0;0.602151;4.2;180;7.108696;;185;21.590323;81.935484;
83319;28/02/2018;0000;0;0.577381;4.2;144.3;7.506024;;283;22.074074;86.339286;
83319;31/03/2018;0000;0;0.807527;4.2;213.3;6.645161;;165;22.203226;84.072581;
83319;30/04/2018;0000;0;1.182222;4.3;197.5;6;;44.3;20.7;82.275;
83319;31/05/2018;0000;0;0.972043;5;284.1;2.934066;;17.8;17.551613;75.104839;
83319;30/06/2018;0000;0;1.0003;5.1444;286.6;2.805556;;0;15.693333;73.383333;
83319;31/07/2018;0000;0;1.113678;7.7166;313.5;1.25;;0;13.77;65.104839;
83319;31/08/2018;0000;0;1.377372;6.17328;295.1;3.494624;;6.9;17.077419;58.16129;
83319;30/09/2018;0000;0;0.786111;6.68772;243.6;4.430556;;62.8;18.54;57.275;
83319;31/10/2018;0000;0;0.553161;5.1444;183.8;7.02957;;211.8;22.683871;77.056452;
83319;30/11/2018;0000;0;0.405836;4.11552;133.5;7.555556;;328.5;22.7;86.908333;
83319;31/12/2018;0000;0;0.923779;5.1444;175.7;7.231183;;206.2;21.945161;82.564516;
83319;31/01/2019;0000;0;0.619541;4.11552;213.1;5.967742;;126.4;21.654839;80.612903;
83319;28/02/2019;0000;0;0.589724;4.11552;165.6;7.21875;;231.1;22.317857;83.703704;
83319;31/03/2019;0000;0;0.477276;3.9;197.5;7.44086;;174;22.383333;85.306452;
83319;30/04/2019;0000;0;0.412222;4.2;195.7;6.133333;;102.6;21.823333;86.191667;
83319;31/05/2019;0000;0;0.654839;4.2;274.5;3.505376;;1.8;19.470968;81.008333;
83319;30/06/2019;0000;0;1.02888;5.65884;266.1;2.658333;;0;15.416667;71.333333;
83319;31/07/2019;0000;0;0.656522;3.8;309.7;2.340659;;0;13.732258;65.83871;
83319;31/08/2019;0000;0;0.967742;4.9;272.2;3.21978;;0;16.358065;56.066667;
83319;30/09/2019;0000;0;0.725932;4.62996;244.9;2.583333;;14.6;18.993333;51.45;
