Latitude  (graus) : -15.78
Longitude (graus) : -56.06
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMinimaMedia;UmidadeRelativaMedia;
83364;31/01/2016;0000;32;0.785489;1.54332;145.5;8.413978;;336.4;24.445161;85.370968;
83364;29/02/2016;0000;32;0.60905;1.54332;206.3;7.5;;206;24.37931;80.922414;
83364;31/03/2016;0000;14;0.558693;1.54332;164.5;7.782258;;214.8;24.019355;84.16129;
83364;30/04/2016;0000;5;0.461827;1.02888;230.1;6.053371;;108.5;22.716667;79.991379;
83364;31/05/2016;0000;14;0.459124;1.02888;193.6;5.967742;;7.9;20.235484;84.798387;
83364;30/06/2016;0000;14;0.497099;1.54332;193.2;5.617978;;18.5;17.006897;83.525;
83364;31/07/2016;0000;14;0.645908;1.54332;296.4;2.255435;;0;14.680645;68.766129;
83364;31/08/2016;0000;14;0.631867;1.54332;229.4;3.994565;;98;17.625806;66.766667;
83364;30/09/2016;0000;14;0.651624;1.54332;197;5.013889;;30.1;19.27;69.208333;
83364;31/10/2016;0000;32;0.748796;2.05776;214.7;6.513889;;156.6;22.16;71.966667;
83364;30/11/2016;0000;14;0.65734;2.5722;178.5;7.916667;;200;23.016667;80.366667;
83364;31/12/2016;0000;32;0.779957;1.54332;160.8;7.997312;;220.6;23.687097;81.058333;
83364;31/01/2017;0000;32;0.419565;1.5;162.7;8.413043;;153.6;23.406452;81.766129;
83364;28/02/2017;0000;32;0.480952;1.6;135.8;8.571429;;322.1;23.192857;84.919643;
83364;31/03/2017;0000;32;0.463441;1.5;170.1;7.989247;;191.3;23.741935;80.959677;
83364;30/04/2017;0000;32;0.507778;1.6;209.7;7.366667;;47;22.726667;83.891667;
83364;31/05/2017;0000;32;0.448387;1.5;203;6.795699;;28.6;22.273333;82.5;
83364;30/06/2017;0000;0;0.363333;2.3;234;4.9;;0;17.35;77.9;
83364;31/07/2017;0000;0;0.466667;1.5;297.4;2.322581;;0;13.448387;66.41129;
83364;31/08/2017;0000;0;0.386022;1.5;251.6;4.483516;;1.6;19.025806;64.879032;
83364;30/09/2017;0000;14;0.36;1.5;232;4.188889;;9.6;20.22;64.5;
83364;31/10/2017;0000;32;0.51978;1.8;177.2;6.923077;;94;22.236667;73.7;
83364;30/11/2017;0000;32;0.589888;1.8;193.1;7.808989;;146;23.727586;76.439655;
83364;31/12/2017;0000;32;0.558065;1.5;160;8.741935;;322.1;23.777419;80.927419;
83364;31/01/2018;0000;32;0.517204;3.4;179.7;8.27957;;223.6;23.693333;82.653226;
83364;28/02/2018;0000;32;0.415476;1.5;148.8;8.488095;;159.5;23.803571;82.901786;
83364;31/03/2018;0000;5;0.42043;2.3;162.1;8.376344;;161.1;24.058065;84.491935;
83364;30/04/2018;0000;0;0.28764;1.5;199;6.280899;;156.2;22.31;84.456897;
83364;31/05/2018;0000;0;0.370652;1.5;176;4.358696;;26.2;18.996774;78.725806;
83364;30/06/2018;0000;0;0.483477;1.54332;198.4;5.247222;;5.1;16.436667;81.1;
83364;31/07/2018;0000;0;0.619018;1.54332;247.1;2.815934;;1.3;15.006667;70.133333;
83364;31/08/2018;0000;14;0.654233;1.54332;222.5;5.026882;;4.6;16.816129;65.879032;
83364;30/09/2018;0000;32;0.668772;2.05776;221.2;5.138889;;42.5;20.271429;65.741667;
83364;31/10/2018;0000;32;0.654233;1.54332;151.1;7.296196;;155.7;23.383871;76.966667;
83364;30/11/2018;0000;32;0.678125;1.54332;155.6;7.727273;;276;23.724138;81.560345;
83364;31/12/2018;0000;32;0.627504;2.05776;201.4;7.197802;;157.4;23.143333;80.15;
83364;31/01/2019;0000;32;0.4808;2.1;175.9;7.48913;;193.4;22.912903;81.346774;
83364;28/02/2019;0000;32;0.543373;3.7;197.6;7.855422;;298.8;23.248148;82.410714;
83364;31/03/2019;0000;32;0.451613;1.5;223.2;7.096774;;195.8;23.225806;82.612903;
83364;30/04/2019;0000;0;0.5346;3.60108;160.9;7.458333;;239;23.132;86.466667;
83364;31/05/2019;0000;0;0.447339;1.54332;213.2;5.217391;;55.9;20.057143;84.608333;
83364;30/06/2019;0000;0;0.295556;3.3;235.1;4.211111;;0.7;17.163333;77.458333;
83364;31/07/2019;0000;0;0.553161;3.08664;251.1;3.916667;;7.7;15.306452;73.395161;
83364;31/08/2019;0000;0;0.412903;1.6;228.8;4.344086;;3.9;17.432258;63.241935;
83364;30/09/2019;0000;32;0.536667;1.3;216.3;3.235955;;51.4;21.976667;56.533333;
