Latitude  (graus) : -19.75
Longitude (graus) : -51.18
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMinimaMedia;UmidadeRelativaMedia;
83565;31/01/2016;0000;5;1.077419;4;184.4;7.989247;;318.8;;77.16129;
83565;29/02/2016;0000;5;0.91954;3;204.5;7.206897;;112.4;;72.439655;
83565;31/03/2016;0000;0;0.666667;2;242.4;6.222222;;87.8;;;
83565;30/04/2016;0000;0;0.822222;3;267.6;3.733333;;76;;56.85;
83565;31/05/2016;0000;0;0.731183;3;204.5;5.053763;;139.2;;72.040323;
83565;30/06/2016;0000;0;0.622222;3;158.1;4.766667;;56.6;;70.216667;
83565;31/07/2016;0000;0;0.594595;3;237.7;1.945946;;1.2;;;
83565;31/08/2016;0000;0;0.935484;3;240.1;3.387097;;47.4;;52.258333;
83565;30/09/2016;0000;23;1.022222;3;253.5;4.288889;;69.8;;53.383929;
83565;31/10/2016;0000;5;1.11828;3;253.4;5.505376;;50.6;;60.717742;
83565;30/11/2016;0000;5;1.021111;3;223.7;7.288889;;94.8;;66.441667;
83565;31/12/2016;0000;5;1;3;224.6;7.784946;;226;;73.185484;
83565;31/01/2017;0000;0;0.795699;4;150.5;8.569892;;419.6;;79.75;
83565;28/02/2017;0000;5;1;4;235.5;6.761905;;76.6;;71.705357;
83565;31/03/2017;0000;0;0.795699;3;246.6;6.55914;;135.2;;74.967742;
83565;30/04/2017;0000;0;1.014286;3;208.6;5.7;;60.4;;;
83565;31/05/2017;0000;0;0.623656;3;189.9;5.451613;;67;;75.419355;
83565;30/06/2017;0000;0;0.8;3;154.4;3.755556;;0.4;;67.266667;
83565;31/07/2017;0000;0;0.625;2;219.1;2.484375;;0;;;
83565;31/08/2017;0000;0;0.935484;3;234.1;3.473118;;22.8;;56.596774;
83565;30/09/2017;0000;5;1.1;4;281.7;2.833333;;5.5;;41.475;
83565;31/10/2017;0000;5;1.182796;4;230.4;6.064516;;96.3;;60.072581;
83565;30/11/2017;0000;5;1;4;205.6;7.1;;162.8;;72.741667;
83565;31/12/2017;0000;0;0.903226;4;194.7;7.548387;;280.2;;78.209677;
83565;31/01/2018;0000;0;0.849462;3;199.3;7.580645;;277.4;;76.516129;
83565;28/02/2018;0000;0;0.702381;2;201.8;7.083333;;118.4;;74.758929;
83565;31/03/2018;0000;0;0.752688;4;250.5;6.301075;;104.2;;71.774194;
83565;30/04/2018;0000;0;0.711111;3;248.2;4.866667;;68.2;;68.741667;
83565;31/05/2018;0000;0;0.741935;4;201.1;4.096774;;10.4;;62.943548;
83565;30/06/2018;0000;0;0.788889;3;146.9;5.377778;;0.2;;62.158333;
83565;31/07/2018;0000;0;0.611111;2;207.9;3.222222;;0.4;;;
83565;31/08/2018;0000;0;0.91491;3;234.8;5.239247;;17;;58.556452;
83565;30/09/2018;0000;0;0.777778;3;231.2;5.216667;;110.2;;59.908333;
83565;31/10/2018;0000;0;0.714286;2;211.7;7.698413;;169.2;;;
83565;30/11/2018;0000;5;0.911111;3;172.3;7.811111;;241;;79.925;
83565;31/12/2018;0000;0;0.827957;3;262.9;6.215054;;82.1;;65.782258;
83565;31/01/2019;0000;5;1;4;237.1;6.172043;;88.6;;66.854839;
83565;28/02/2019;0000;0;0.833333;4;173.5;7.5;;290.4;;78.928571;
83565;31/03/2019;0000;0;0.817204;3;239.8;6.752688;;140.8;;75.201613;
83565;30/04/2019;0000;0;0.655556;2;218.8;6.711111;;89;;71.525;
83565;31/05/2019;0000;0;0.623656;2;190.6;4.935484;;17;;70.096774;
83565;30/06/2019;0000;0;0.79;3;179.4;2.355556;;5.8;;58.541667;
83565;31/07/2019;0000;0;0.743011;3;187.3;3.752688;;5.6;;52.709677;
83565;31/08/2019;0000;5;1.053763;3;237.3;4.096774;;66.4;;53.290323;
83565;30/09/2019;0000;0;1.101449;3;274.8;4.391304;;62;;;
