Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMinimaMedia,UmidadeRelativaMedia,Unnamed: 13,Latitude,Longitude,Bioma
82287,31/01/2016,0,5,3.46129,6.6,161.6,7.508772,,226.0,24.167742,,,-3.08,-41.76,Caatinga
82287,29/02/2016,0,5,3.404706,6.5,186.8,6.481481,,59.4,23.848276,,,-3.08,-41.76,Caatinga
82287,31/03/2016,0,5,3.634734,5.1444,,6.810345,,86.7,24.474194,,,-3.08,-41.76,Caatinga
82287,30/04/2016,0,9,2.4293,4.62996,,6.273148,,122.9,23.886207,,,-3.08,-41.76,Caatinga
82287,31/05/2016,0,9,2.259861,4.62996,,4.802632,,151.6,23.754839,,,-3.08,-41.76,Caatinga
82287,30/06/2016,0,9,1.8005400000000005,4.62996,,4.084821,,121.2,22.64,,,-3.08,-41.76,Caatinga
82287,31/07/2016,0,9,1.92915,4.11552,,3.147321,,37.8,22.232258,,,-3.08,-41.76,Caatinga
82287,31/08/2016,0,5,3.574471,9.25992,,1.616379,,0.0,22.925806,,,-3.08,-41.76,Caatinga
82287,30/09/2016,0,9,3.950164,8.23104,,2.075893,,0.0,23.84,,,-3.08,-41.76,Caatinga
82287,31/10/2016,0,5,4.519723,7.202160000000001,,2.54386,,0.0,24.3,,,-3.08,-41.76,Caatinga
82287,30/11/2016,0,9,4.106334,9.25992,,2.633929,,0.0,24.643333,,,-3.08,-41.76,Caatinga
82287,31/12/2016,0,9,3.805082,6.17328,,5.991379,,74.8,24.587097,,,-3.08,-41.76,Caatinga
82287,31/01/2017,0,5,3.742105000000001,6.6,206.9,6.421053,,98.6,24.093548,,,-3.08,-41.76,Caatinga
82287,28/02/2017,0,9,2.5692310000000003,5.5,145.2,6.923077,,161.8,23.482143,,,-3.08,-41.76,Caatinga
82287,31/03/2017,0,9,2.17069,4.8,155.5,7.913792999999999,,295.9,23.277419,,,-3.08,-41.76,Caatinga
82287,30/04/2017,0,9,2.736364,6.8,203.1,6.036364,,178.7,23.293333,,,-3.08,-41.76,Caatinga
82287,31/05/2017,0,9,2.403448,5.0,237.7,5.051724,,79.1,23.303226,,,-3.08,-41.76,Caatinga
82287,30/06/2017,0,9,2.473214,5.2,241.3,2.946429,,21.4,22.34,,,-3.08,-41.76,Caatinga
82287,31/07/2017,0,9,2.338596,3.4,248.2,2.77193,,33.0,21.719355,,,-3.08,-41.76,Caatinga
82287,31/08/2017,0,9,3.032759,5.8,296.5,1.62069,,12.7,22.290323,,,-3.08,-41.76,Caatinga
82287,30/09/2017,0,5,3.473214,6.8,290.0,1.875,,0.0,23.396667,,,-3.08,-41.76,Caatinga
82287,31/10/2017,0,9,4.364912,9.8,295.0,2.403509,,4.4,24.058065,,,-3.08,-41.76,Caatinga
82287,30/11/2017,0,9,4.807143,7.2,276.1,3.178571,,0.0,23.613333,,,-3.08,-41.76,Caatinga
82287,31/12/2017,0,9,4.6192980000000015,9.8,228.9,5.245614,,2.6,23.983871,,,-3.08,-41.76,Caatinga
82287,31/01/2018,0,5,3.77069,6.2,192.6,6.810345,,53.9,23.648387,,,-3.08,-41.76,Caatinga
82287,28/02/2018,0,5,1.919231,4.7,103.2,8.192308,,385.6,23.157143,,,-3.08,-41.76,Caatinga
82287,31/03/2018,0,5,2.1551720000000003,4.2,194.9,6.5689660000000005,,170.1,23.474194,,,-3.08,-41.76,Caatinga
82287,30/04/2018,0,9,1.7963639999999998,3.8,153.6,8.272727,,216.8,23.27,,,-3.08,-41.76,Caatinga
82287,31/05/2018,0,9,1.957895,3.6,186.7,5.684211,,177.7,22.783871,,,-3.08,-41.76,Caatinga
82287,30/06/2018,0,9,2.1089290000000003,4.6,225.7,4.017857,,22.3,21.657143,,,-3.08,-41.76,Caatinga
82287,31/07/2018,0,9,2.224561,5.0,248.5,2.807018,,15.1,21.551613,,,-3.08,-41.76,Caatinga
82287,31/08/2018,0,9,3.175862,6.2,285.1,2.413793,,1.3,22.216129,,,-3.08,-41.76,Caatinga
82287,30/09/2018,0,9,3.792727,8.8,292.0,1.309091,,0.0,22.92,,,-3.08,-41.76,Caatinga
