Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMinimaMedia,UmidadeRelativaMedia,Unnamed: 13,Latitude,Longitude
83914,31/01/2016,0,5,3.447312,6.6,235.1,5.494624,,190.3,18.622581,71.177419,,"-28.21
","-52.4
"
83914,29/02/2016,0,5,2.977011,7.6,169.2,7.3333330000000005,,225.7,19.068966,81.24137900000001,,"-28.21
","-52.4
"
83914,31/03/2016,0,14,3.2150540000000003,9.1,164.3,5.967741999999999,,205.0,15.867742000000002,77.040323,,"-28.21
","-52.4
"
83914,30/04/2016,0,5,3.153628,6.68772,113.6,6.902778,,188.5,16.666667,77.125,,"-28.21
","-52.4
"
83914,31/05/2016,0,14,2.937286,8.23104,116.7,7.228261,,72.7,10.151613000000001,81.185484,,"-28.21
","-52.4
"
83914,30/06/2016,0,5,2.863716,7.202160000000001,169.4,5.338235,,19.5,5.436667,74.841667,,"-28.21
","-52.4
"
83914,31/07/2016,0,5,3.850003,8.23104,186.7,5.326087,,201.1,8.541935,76.596774,,"-28.21
","-52.4
"
83914,31/08/2016,0,5,3.5568269999999997,8.23104,149.1,4.959677,,187.7,10.167742,76.185484,,"-28.21
","-52.4
"
83914,30/09/2016,0,14,3.5096239999999996,7.7166,160.7,4.736111,,69.3,9.386667,68.633333,,"-28.21
","-52.4
"
83914,31/10/2016,0,5,4.2206209999999995,9.25992,163.5,6.303763,,370.2,12.645161,72.08064499999999,,"-28.21
","-52.4
"
83914,30/11/2016,0,14,3.4924760000000004,6.68772,240.5,5.055556,,78.5,14.003333,59.875,,"-28.21
","-52.4
"
83914,31/12/2016,0,5,3.562359,8.74548,208.9,6.330645,,150.9,17.145160999999998,70.935484,,"-28.21
","-52.4
"
83914,31/01/2017,0,5,3.336559,6.6,213.3,6.483871,,213.2,17.870967999999998,78.16935500000001,,"-28.21
","-52.4
"
83914,28/02/2017,0,5,3.396429,6.6,178.9,6.690475999999999,,167.2,18.342857000000002,78.910714,,"-28.21
","-52.4
"
83914,31/03/2017,0,5,3.9462370000000004,8.3,183.9,5.784946,,195.4,15.932258,75.758065,,"-28.21
","-52.4
"
83914,30/04/2017,0,5,3.882222,7.3,143.4,5.888889,,296.4,13.183333,74.283333,,"-28.21
","-52.4
"
83914,31/05/2017,0,5,3.768817,10.0,92.5,7.634409,,371.5,12.732258,84.80645200000001,,"-28.21
","-52.4
"
83914,30/06/2017,0,5,3.781111,7.0,166.5,5.4222220000000005,,214.0,9.316667,80.175,,"-28.21
","-52.4
"
83914,31/07/2017,0,5,3.629032,10.0,245.5,2.6129029999999998,,21.3,8.590323,65.879032,,"-28.21
","-52.4
"
83914,31/08/2017,0,5,3.9956989999999997,10.0,218.2,4.55914,,167.1,10.087097,71.814516,,"-28.21
","-52.4
"
83914,30/09/2017,0,5,3.732222,8.3,186.8,5.7,,85.5,14.15,70.358333,,"-28.21
","-52.4
"
83914,31/10/2017,0,5,3.7903230000000003,9.0,178.6,6.741935000000001,,276.2,12.906452,72.475806,,"-28.21
","-52.4
"
83914,30/11/2017,0,14,3.757778,8.0,260.8,4.3,,182.0,13.046667,62.61666700000001,,"-28.21
","-52.4
"
83914,31/12/2017,0,14,3.7204300000000003,9.0,252.3,5.709677,,81.6,16.780645,67.040323,,"-28.21
","-52.4
"
83914,31/01/2018,0,5,3.4784949999999997,7.0,212.1,6.215054,,204.8,17.129032000000002,77.475806,,"-28.21
","-52.4
"
83914,28/02/2018,0,5,3.482143,8.6,240.5,5.047619,,66.2,15.592857,73.32142900000001,,"-28.21
","-52.4
"
83914,31/03/2018,0,5,2.8774189999999997,6.3,185.8,6.612903,,156.8,16.2,75.379032,,"-28.21
","-52.4
"
83914,30/04/2018,0,5,3.121111,6.6,218.0,5.1,,77.8,15.41,70.56666700000001,,"-28.21
","-52.4
"
83914,31/05/2018,0,5,3.3580650000000003,6.3,173.3,5.3763440000000005,,88.6,11.2,77.540323,,"-28.21
","-52.4
"
83914,30/06/2018,0,5,3.226667,8.3,139.0,6.877778,,200.5,7.603333,83.166667,,"-28.21
","-52.4
"
83914,31/07/2018,0,5,3.584946,8.3,155.5,6.612903,,107.5,9.254839,80.967742,,"-28.21
","-52.4
"
83914,31/08/2018,0,5,3.7215050000000005,6.6,175.8,4.892473000000001,,120.9,6.8612899999999994,77.096774,,"-28.21
","-52.4
"
83914,30/09/2018,0,5,3.84,8.6,171.8,5.844444,,305.5,12.283333,78.4,,"-28.21
","-52.4
"
83914,31/10/2018,0,14,4.023656,8.6,169.6,7.021505,,319.3,13.170967999999998,75.33870999999999,,"-28.21
","-52.4
"
83914,30/11/2018,0,5,4.004444,10.0,211.6,5.277778,,211.6,15.153332999999998,65.2,,"-28.21
","-52.4
"
83914,31/12/2018,0,5,3.513978,7.6,266.7,5.236559,,123.3,15.987097,67.096774,,"-28.21
","-52.4
"
83914,31/01/2019,0,32,3.468817,9.1,202.0,7.2258059999999995,,153.2,18.767742000000002,79.209677,,"-28.21
","-52.4
"
83914,28/02/2019,0,14,3.4719510000000002,9.6,202.7,5.753846,,204.5,,76.535714,,"-28.21
","-52.4
"
83914,31/03/2019,0,5,3.921795,10.3,192.5,6.16129,,124.3,,73.0,,"-28.21
","-52.4
"
83914,30/04/2019,0,5,2.858333,6.6,152.7,6.6,,107.2,,,,"-28.21
","-52.4
"
83914,31/05/2019,0,5,2.882192,6.6,95.9,7.684932000000001,,245.0,,86.315789,,"-28.21
","-52.4
"
83914,30/06/2019,0,5,3.3344440000000004,10.0,176.3,6.1,,28.8,11.793333,76.666667,,"-28.21
","-52.4
"
83914,31/07/2019,0,5,2.867742,10.0,169.1,5.247312,,113.4,8.158064999999999,75.629032,,"-28.21
","-52.4
"
83914,31/08/2019,0,5,3.3612900000000003,10.0,190.0,4.193548000000001,,64.3,8.267742,70.685484,,"-28.21
","-52.4
"
83914,30/09/2019,0,14,3.5555559999999997,10.0,166.0,4.911111,,55.8,11.086667,69.175,,"-28.21
","-52.4
"
