Latitude  (graus) : -28.21
Longitude (graus) : -52.4
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMinimaMedia;UmidadeRelativaMedia;
83914;31/01/2016;0000;5;3.447312;6.6;235.1;5.494624;;190.3;18.622581;71.177419;
83914;29/02/2016;0000;5;2.977011;7.6;169.2;7.333333;;225.7;19.068966;81.241379;
83914;31/03/2016;0000;14;3.215054;9.1;164.3;5.967742;;205;15.867742;77.040323;
83914;30/04/2016;0000;5;3.153628;6.68772;113.6;6.902778;;188.5;16.666667;77.125;
83914;31/05/2016;0000;14;2.937286;8.23104;116.7;7.228261;;72.7;10.151613;81.185484;
83914;30/06/2016;0000;5;2.863716;7.20216;169.4;5.338235;;19.5;5.436667;74.841667;
83914;31/07/2016;0000;5;3.850003;8.23104;186.7;5.326087;;201.1;8.541935;76.596774;
83914;31/08/2016;0000;5;3.556827;8.23104;149.1;4.959677;;187.7;10.167742;76.185484;
83914;30/09/2016;0000;14;3.509624;7.7166;160.7;4.736111;;69.3;9.386667;68.633333;
83914;31/10/2016;0000;5;4.220621;9.25992;163.5;6.303763;;370.2;12.645161;72.080645;
83914;30/11/2016;0000;14;3.492476;6.68772;240.5;5.055556;;78.5;14.003333;59.875;
83914;31/12/2016;0000;5;3.562359;8.74548;208.9;6.330645;;150.9;17.145161;70.935484;
83914;31/01/2017;0000;5;3.336559;6.6;213.3;6.483871;;213.2;17.870968;78.169355;
83914;28/02/2017;0000;5;3.396429;6.6;178.9;6.690476;;167.2;18.342857;78.910714;
83914;31/03/2017;0000;5;3.946237;8.3;183.9;5.784946;;195.4;15.932258;75.758065;
83914;30/04/2017;0000;5;3.882222;7.3;143.4;5.888889;;296.4;13.183333;74.283333;
83914;31/05/2017;0000;5;3.768817;10;92.5;7.634409;;371.5;12.732258;84.806452;
83914;30/06/2017;0000;5;3.781111;7;166.5;5.422222;;214;9.316667;80.175;
83914;31/07/2017;0000;5;3.629032;10;245.5;2.612903;;21.3;8.590323;65.879032;
83914;31/08/2017;0000;5;3.995699;10;218.2;4.55914;;167.1;10.087097;71.814516;
83914;30/09/2017;0000;5;3.732222;8.3;186.8;5.7;;85.5;14.15;70.358333;
83914;31/10/2017;0000;5;3.790323;9;178.6;6.741935;;276.2;12.906452;72.475806;
83914;30/11/2017;0000;14;3.757778;8;260.8;4.3;;182;13.046667;62.616667;
83914;31/12/2017;0000;14;3.72043;9;252.3;5.709677;;81.6;16.780645;67.040323;
83914;31/01/2018;0000;5;3.478495;7;212.1;6.215054;;204.8;17.129032;77.475806;
83914;28/02/2018;0000;5;3.482143;8.6;240.5;5.047619;;66.2;15.592857;73.321429;
83914;31/03/2018;0000;5;2.877419;6.3;185.8;6.612903;;156.8;16.2;75.379032;
83914;30/04/2018;0000;5;3.121111;6.6;218;5.1;;77.8;15.41;70.566667;
83914;31/05/2018;0000;5;3.358065;6.3;173.3;5.376344;;88.6;11.2;77.540323;
83914;30/06/2018;0000;5;3.226667;8.3;139;6.877778;;200.5;7.603333;83.166667;
83914;31/07/2018;0000;5;3.584946;8.3;155.5;6.612903;;107.5;9.254839;80.967742;
83914;31/08/2018;0000;5;3.721505;6.6;175.8;4.892473;;120.9;6.86129;77.096774;
83914;30/09/2018;0000;5;3.84;8.6;171.8;5.844444;;305.5;12.283333;78.4;
83914;31/10/2018;0000;14;4.023656;8.6;169.6;7.021505;;319.3;13.170968;75.33871;
83914;30/11/2018;0000;5;4.004444;10;211.6;5.277778;;211.6;15.153333;65.2;
83914;31/12/2018;0000;5;3.513978;7.6;266.7;5.236559;;123.3;15.987097;67.096774;
83914;31/01/2019;0000;32;3.468817;9.1;202;7.225806;;153.2;18.767742;79.209677;
83914;28/02/2019;0000;14;3.471951;9.6;202.7;5.753846;;204.5;;76.535714;
83914;31/03/2019;0000;5;3.921795;10.3;192.5;6.16129;;124.3;;73;
83914;30/04/2019;0000;5;2.858333;6.6;152.7;6.6;;107.2;;;
83914;31/05/2019;0000;5;2.882192;6.6;95.9;7.684932;;245;;86.315789;
83914;30/06/2019;0000;5;3.334444;10;176.3;6.1;;28.8;11.793333;76.666667;
83914;31/07/2019;0000;5;2.867742;10;169.1;5.247312;;113.4;8.158065;75.629032;
83914;31/08/2019;0000;5;3.36129;10;190;4.193548;;64.3;8.267742;70.685484;
83914;30/09/2019;0000;14;3.555556;10;166;4.911111;;55.8;11.086667;69.175;
