Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMinimaMedia,UmidadeRelativaMedia,Unnamed: 13,Latitude,Longitude
82791,31/01/2016,0,9,5.145161,5.4,196.8,7.408602,,142.5,22.206452,64.94354799999999,,"-7.01
","-37.26
"
82791,29/02/2016,0,9,4.936782,5.4,258.5,5.689655,,82.9,21.858621,61.23214300000001,,"-7.01
","-37.26
"
82791,31/03/2016,0,9,5.033333,7.9,267.7,6.16129,,214.7,22.493548,61.08871,,"-7.01
","-37.26
"
82791,30/04/2016,0,9,4.346531,5.1444,264.3,5.5416669999999995,,45.5,22.686667,66.916667,,"-7.01
","-37.26
"
82791,31/05/2016,0,9,4.364443,5.1444,261.5,4.771505,,22.1,22.409677,61.225806000000006,,"-7.01
","-37.26
"
82791,30/06/2016,0,9,4.458480000000001,5.1444,270.4,3.166667,,13.7,22.01,61.766667000000005,,"-7.01
","-37.26
"
82791,31/07/2016,0,14,4.403164,5.1444,292.5,3.75,,0.0,21.322581,49.467742,,"-7.01
","-37.26
"
82791,31/08/2016,0,9,4.364443,5.1444,316.1,2.9032259999999996,,0.0,21.370967999999998,48.379032,,"-7.01
","-37.26
"
82791,30/09/2016,0,9,4.453581,5.1444,315.5,2.732143,,0.0,22.263333,49.591667,,"-7.01
","-37.26
"
82791,31/10/2016,0,9,4.398179,5.1444,306.8,3.2417580000000004,,0.0,22.948387,45.15,,"-7.01
","-37.26
"
82791,30/11/2016,0,9,4.349876,5.1444,305.7,3.847222,,0.0,23.363332999999997,43.758333,,"-7.01
","-37.26
"
82791,31/12/2016,0,9,4.347848,5.1444,255.6,4.83871,,0.7,23.4,46.927419,,"-7.01
","-37.26
"
82791,31/01/2017,0,9,5.4,5.4,271.2,5.741935,,46.4,23.012903,48.282258,,"-7.01
","-37.26
"
82791,28/02/2017,0,9,5.4,5.4,243.6,6.3333330000000005,,129.4,22.814286,59.79464300000001,,"-7.01
","-37.26
"
82791,31/03/2017,0,9,5.341934999999999,5.4,257.1,7.247312,,149.1,22.825806,67.362903,,"-7.01
","-37.26
"
82791,30/04/2017,0,9,5.4,5.4,262.5,6.2,,138.6,22.933332999999998,66.208333,,"-7.01
","-37.26
"
82791,31/05/2017,0,9,5.4,5.4,249.2,6.129032,,23.7,23.048386999999998,59.903226000000004,,"-7.01
","-37.26
"
