Latitude  (graus) : -7.01
Longitude (graus) : -37.26
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMinimaMedia;UmidadeRelativaMedia;
82791;31/01/2016;0000;9;5.145161;5.4;196.8;7.408602;;142.5;22.206452;64.943548;
82791;29/02/2016;0000;9;4.936782;5.4;258.5;5.689655;;82.9;21.858621;61.232143;
82791;31/03/2016;0000;9;5.033333;7.9;267.7;6.16129;;214.7;22.493548;61.08871;
82791;30/04/2016;0000;9;4.346531;5.1444;264.3;5.541667;;45.5;22.686667;66.916667;
82791;31/05/2016;0000;9;4.364443;5.1444;261.5;4.771505;;22.1;22.409677;61.225806;
82791;30/06/2016;0000;9;4.45848;5.1444;270.4;3.166667;;13.7;22.01;61.766667;
82791;31/07/2016;0000;14;4.403164;5.1444;292.5;3.75;;0;21.322581;49.467742;
82791;31/08/2016;0000;9;4.364443;5.1444;316.1;2.903226;;0;21.370968;48.379032;
82791;30/09/2016;0000;9;4.453581;5.1444;315.5;2.732143;;0;22.263333;49.591667;
82791;31/10/2016;0000;9;4.398179;5.1444;306.8;3.241758;;0;22.948387;45.15;
82791;30/11/2016;0000;9;4.349876;5.1444;305.7;3.847222;;0;23.363333;43.758333;
82791;31/12/2016;0000;9;4.347848;5.1444;255.6;4.83871;;0.7;23.4;46.927419;
82791;31/01/2017;0000;9;5.4;5.4;271.2;5.741935;;46.4;23.012903;48.282258;
82791;28/02/2017;0000;9;5.4;5.4;243.6;6.333333;;129.4;22.814286;59.794643;
82791;31/03/2017;0000;9;5.341935;5.4;257.1;7.247312;;149.1;22.825806;67.362903;
82791;30/04/2017;0000;9;5.4;5.4;262.5;6.2;;138.6;22.933333;66.208333;
82791;31/05/2017;0000;9;5.4;5.4;249.2;6.129032;;23.7;23.048387;59.903226;
82791;30/06/2017;0000;14;5.4;5.4;208;5.266667;;31.3;22.603333;62.2;
82791;31/07/2017;0000;18;5.4;5.4;179;6.483871;;23;21.648387;58.443548;
82791;31/08/2017;0000;9;5.4;5.4;300.3;3.597826;;0;21.33871;46.895161;
82791;30/09/2017;0000;14;5.394286;5.4;290.6;3.414286;;0;22;47.625;
82791;31/10/2017;0000;9;5.4;5.4;313.7;3.688172;;0;23.277419;44.451613;
82791;30/11/2017;0000;9;5.4;5.4;283.6;3.877778;;2.6;23.47;43.191667;
82791;31/12/2017;0000;9;5.4;5.4;274.3;4.924731;;2.1;23.851613;44.282258;
82791;31/01/2018;0000;9;5.4;5.4;237.5;6.451613;;93.8;23.429032;52.08871;
82791;28/02/2018;0000;9;5.4;5.4;215.1;7.440476;;209.4;23.05;62.482143;
82791;31/03/2018;0000;9;5.4;5.4;250.3;5.763441;;76.5;22.980645;65.056452;
82791;30/04/2018;0000;9;5.4;5.4;194.5;6.277778;;176.4;22.123333;73.758333;
82791;31/05/2018;0000;14;3.546237;5.5;234.2;5.129032;;25.2;21.754839;62.096774;
82791;30/06/2018;0000;14;3.581667;6.5;259.9;2.633333;;1;21.166667;57.793103;
82791;31/07/2018;0000;14;3.574194;6.6;263.3;3.709677;;0;21.264516;48.669355;
82791;31/08/2018;0000;14;3.901075;7.1;312.9;3.236559;;0;21.396774;44.032258;
82791;30/09/2018;0000;14;4.732857;7.6;312.2;2.814286;;0;22.186667;46.025;
82791;31/10/2018;0000;14;3.764516;8.3;301.1;3.913978;;7.9;23.248387;44.475806;
82791;30/11/2018;0000;14;4.177778;7.3;288.3;4.455556;;33.2;23.866667;45.275;
82791;31/12/2018;0000;14;3.252222;6.1;263.1;5.526882;;31.8;23.254839;48.475806;
82791;31/01/2019;0000;14;3.037634;7.8;256.2;6.537634;;87.1;23.190323;54.056452;
82791;28/02/2019;0000;14;2.284015;6.17328;231.3;7.157738;;176.8;23.125;66.955357;
82791;31/03/2019;0000;14;2.190519;5.65884;220.3;6.680108;;189.9;22.958065;68.41129;
82791;30/04/2019;0000;14;1.977736;4.11552;280.5;6.666667;;96.8;22.68;72.816667;
82791;31/05/2019;0000;14;2.207114;5.1444;248.5;5.766129;;75.5;21.890323;65.096774;
82791;30/06/2019;0000;14;3.379339;7.20216;208.9;4.418103;;1.9;21.383333;58.714286;
82791;31/07/2019;0000;14;3.058832;6.17328;188.5;4.966216;;24.3;20.579167;59.3;
82791;31/08/2019;0000;5;4.054011;6.68772;276.9;3.953804;;1.4;20.054839;52.991935;
82791;30/09/2019;0000;5;4.240455;6.17328;301.9;3.303571;;0;21.293333;51.025;
