Latitude  (graus) : -18.51
Longitude (graus) : -46.43
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMinimaMedia;UmidadeRelativaMedia;
83531;31/01/2016;0000;5;1.806452;3.6;110.2;8.129032;;414.6;19.441935;84.975806;
83531;29/02/2016;0000;5;1.425287;3.6;203.9;5.471264;;86.8;18.582759;74.413793;
83531;31/03/2016;0000;5;1.331183;3.1;162.3;5.462366;;91.9;18.667742;74.862903;
83531;30/04/2016;0000;5;1.405556;3.1;250.9;2.3;;10.1;16.58;62.625;
83531;31/05/2016;0000;36;1.812903;3.6;238.1;2.645161;;21.2;14.841935;67.491935;
83531;30/06/2016;0000;27;2.113095;3.6;181.4;2.77381;;3.3;13.271429;63.919643;
83531;31/07/2016;0000;27;2.156962;3.6;;1.050633;;0;13.176923;50.346154;
83531;31/08/2016;0000;;;;;;;0;;;
83531;30/09/2016;0000;5;1.95;4.6;;3.230769;;43.8;17.296154;49;
83531;31/10/2016;0000;27;1.867949;3.6;;4.871795;;89.9;18.380769;59.663462;
83531;30/11/2016;0000;27;1.875641;3.6;;7.448718;;171.5;18.269231;78.625;
83531;31/12/2016;0000;5;2.037037;4.1;;5.777778;;240.5;17.877778;75.287037;
83531;31/01/2017;0000;5;1.614658;3.1;;5.753205;;118.6;18.538462;72.211538;
83531;28/02/2017;0000;5;1.9875;5.1;;5.541667;;291.8;18.133333;75.416667;
83531;31/03/2017;0000;9;1.549383;3.1;;4.074074;;100.4;17.959259;70.888889;
83531;30/04/2017;0000;5;1.819737;3.6;;4.223684;;4.1;17.864;68.69;
83531;31/05/2017;0000;9;1.86375;3.1;;3.6;;40.4;15.314815;70.537037;
83531;30/06/2017;0000;5;2.097436;4.1;;1.897436;;0;13.815385;63.740385;
83531;31/07/2017;0000;5;2.835897;5.7;;2.512821;;0;11.892308;52.384615;
83531;31/08/2017;0000;9;1.976543;4.6;;1.283951;;0;13.996296;44.712963;
83531;30/09/2017;0000;5;2.196154;4.1;;1.846154;;28.8;15.115385;43.432692;
83531;31/10/2017;0000;9;1.75;3.6;;4.153846;;63.3;18.142308;52.153846;
83531;30/11/2017;0000;5;1.957692;3.6;;7.294872;;142.7;18.138462;77.663462;
83531;31/12/2017;0000;;;;;;;188.4;;;
83531;31/01/2018;0000;5;1.65375;3.6;;6.025;;194;18.240741;72.435185;
83531;28/02/2018;0000;27;1.729768;3.1;;6.277778;;104.5;18.266667;77.083333;
83531;31/03/2018;0000;27;1.38642;3.6;150;4.740741;;179.2;18.67037;73.814815;
83531;30/04/2018;0000;9;1.864;3.6;;4.866667;;43.6;16.388;73.9;
83531;31/05/2018;0000;9;1.888889;3.6;184.4;2.691358;;20.5;13.67037;64.444444;
