Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMinimaMedia,UmidadeRelativaMedia,Unnamed: 13,Latitude,Longitude,Bioma
82882,29/02/2016,0,9,3.116264,7.3,274.3,2.293103,,4.6,21.331034,70.214286,,-8.13,-41.13,Caatinga
82882,31/03/2016,0,9,2.874194,7.6,273.9,2.274194,,40.8,23.270968,69.0,,-8.13,-41.13,Caatinga
82882,30/04/2016,0,9,3.790611,7.202160000000001,279.8,1.447368,,0.0,23.317241,54.655172,,-8.13,-41.13,Caatinga
82882,31/05/2016,0,9,3.700649,7.202160000000001,285.2,1.612903,,2.2,22.432258,52.87096800000001,,-8.13,-41.13,Caatinga
82882,30/06/2016,0,9,3.967292,7.7166,291.1,1.5,,0.7,20.606667,55.2,,-8.13,-41.13,Caatinga
82882,31/07/2016,0,9,4.306361,9.25992,323.0,1.270161,,0.0,19.709677,50.322581,,-8.13,-41.13,Caatinga
82882,31/08/2016,0,9,4.402257,8.23104,312.2,0.8401639999999999,,0.0,20.470968,46.133333,,-8.13,-41.13,Caatinga
82882,30/09/2016,0,14,4.0297800000000015,8.23104,300.4,1.770833,,3.4,25.193333,43.3,,-8.13,-41.13,Caatinga
82882,31/10/2016,0,9,3.908085,9.25992,317.8,1.370968,,1.9,24.993548,41.967742,,-8.13,-41.13,Caatinga
82882,30/11/2016,0,9,3.566784,8.23104,270.1,2.979167,,27.1,25.54,45.366667,,-8.13,-41.13,Caatinga
82882,31/12/2016,0,9,3.103507,6.68772,238.7,3.729508,,110.3,25.070968,53.1,,-8.13,-41.13,Caatinga
82882,28/02/2017,0,9,2.259702,6.0,181.8,4.964286,,83.3,23.55,66.703704,,-8.13,-41.13,Caatinga
82882,31/03/2017,0,9,2.38871,6.6,221.3,5.451613,,58.5,23.574194,66.166667,,-8.13,-41.13,Caatinga
82882,30/04/2017,0,9,3.031667,6.1,268.7,3.416667,,39.2,23.856667,62.033333,,-8.13,-41.13,Caatinga
82882,31/05/2017,0,9,3.798387,7.0,246.9,2.532258,,0.7,23.683871,62.966667,,-8.13,-41.13,Caatinga
82882,30/06/2017,0,9,4.291667,7.5,253.2,2.85,,0.0,21.7,74.466667,,-8.13,-41.13,Caatinga
82882,31/07/2017,0,9,5.28871,8.8,256.3,2.467742,,0.8,19.912903,64.93333299999999,,-8.13,-41.13,Caatinga
82882,31/08/2017,0,9,4.430644999999998,8.0,326.2,0.951613,,1.1,21.158065,62.129032,,-8.13,-41.13,Caatinga
82882,30/09/2017,0,9,5.693333,9.0,312.9,2.1333330000000004,,0.0,20.906667,64.25,,-8.13,-41.13,Caatinga
82882,31/10/2017,0,9,4.629032,8.3,330.1,1.306452,,0.0,23.148387,55.6,,-8.13,-41.13,Caatinga
82882,30/11/2017,0,5,3.06,6.5,251.6,2.966667,,54.6,24.423333,64.75862099999999,,-8.13,-41.13,Caatinga
82882,31/12/2017,0,9,2.646774,5.8,249.3,3.903226,,32.3,24.348387,67.0,,-8.13,-41.13,Caatinga
82882,31/01/2018,0,9,2.562295,6.3,203.0,4.9677419999999985,,61.2,23.341935,69.58064499999999,,-8.13,-41.13,Caatinga
82882,28/02/2018,0,9,2.060714,5.5,166.6,5.589286,,138.9,22.703571,84.25,,-8.13,-41.13,Caatinga
82882,31/03/2018,0,5,2.0,5.8,202.9,5.2741940000000005,,114.8,22.541935,83.214286,,-8.13,-41.13,Caatinga
82882,31/05/2018,0,9,3.703925,7.5,262.8,2.080645,,0.9,21.722581,64.774194,,-8.13,-41.13,Caatinga
82882,30/06/2018,0,9,4.08,6.8,291.5,1.45,,0.0,20.913333,60.233333,,-8.13,-41.13,Caatinga
82882,31/07/2018,0,9,4.301613,8.0,310.5,0.935484,,0.0,20.512903,58.62069,,-8.13,-41.13,Caatinga
82882,31/08/2018,0,9,4.196774,7.5,325.3,0.532258,,0.0,21.23871,57.48387099999999,,-8.13,-41.13,Caatinga
82882,30/09/2018,0,9,4.2083330000000005,7.5,311.3,0.9,,0.0,22.776667,54.8,,-8.13,-41.13,Caatinga
82882,31/10/2018,0,9,3.166129,6.6,298.3,2.306452,,54.4,23.493548,60.535714,,-8.13,-41.13,Caatinga
82882,30/11/2018,0,9,3.248333,10.0,250.0,3.566667,,25.2,24.4,63.5,,-8.13,-41.13,Caatinga
82882,31/12/2018,0,9,2.3725810000000003,6.6,213.9,4.354839,,169.2,21.506452,78.464286,,-8.13,-41.13,Caatinga
82882,31/01/2019,0,9,2.914815,5.8,220.6,3.148148,,15.9,23.214815,67.269231,,-8.13,-41.13,Caatinga
82882,28/02/2019,0,9,1.811781,6.17328,,4.414894,,105.3,22.8,82.0,,-8.13,-41.13,Caatinga
82882,31/03/2019,0,9,1.960696,7.202160000000001,211.1,4.056604,,120.0,21.592308,84.423077,,-8.13,-41.13,Caatinga
82882,31/05/2019,0,9,3.08664,6.17328,208.7,2.548077,,32.8,21.640741,74.04,,-8.13,-41.13,Caatinga
82882,30/06/2019,0,9,4.413895,8.23104,208.3,2.55,,9.3,20.492,67.0,,-8.13,-41.13,Caatinga
82882,31/07/2019,0,9,4.41561,8.23104,,3.098958,,0.0,19.807692000000007,67.086957,,-8.13,-41.13,Caatinga
82882,31/08/2019,0,9,4.782387,9.77436,271.7,1.018519,,0.0,19.551852,64.44444399999999,,-8.13,-41.13,Caatinga
82882,30/09/2019,0,9,3.997628,8.23104,,1.015625,,0.0,21.448,66.13043499999999,,-8.13,-41.13,Caatinga
