Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMinimaMedia,UmidadeRelativaMedia,Unnamed: 13,Latitude,Longitude,Bioma,area(m²)
83393,31/01/2016,0,14,1.5913979999999999,4.6,145.2,7.763441,,433.6,21.354839000000002,77.991935,,-16,-41.28,Mata Atlântica,1594651000.0
83393,29/02/2016,0,9,1.244828,3.6,300.0,3.816092,,10.4,20.086207,62.758621,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/03/2016,0,14,1.237079,4.6,288.5,4.550562,,20.4,20.690323,62.01785699999999,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/04/2016,0,14,1.330263,4.1,249.2,4.381579,,0.3,19.610714,59.675,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/05/2016,0,14,1.069892,3.6,219.2,5.053763,,1.5,17.109676999999998,63.145161,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/06/2016,0,9,1.138889,4.1,221.8,4.8,,31.0,15.933333,65.408333,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/07/2016,0,9,1.3120690000000002,3.6,208.1,5.413793,,18.2,15.777778,,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/08/2016,0,9,1.557609,4.1,241.0,5.586957,,5.1,16.606451999999994,64.959677,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/09/2016,0,9,1.35,3.6,253.9,4.711111,,18.2,18.09,57.325,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/10/2016,0,9,1.388172,4.1,231.2,6.182796,,110.0,19.864516000000002,67.33870999999999,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/11/2016,0,9,1.375556,4.6,181.1,7.455556,,174.2,19.74,73.833333,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/12/2016,0,0,1.07125,3.2,205.8,6.740741000000001,,173.1,20.046667000000006,78.85,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/01/2017,0,9,1.33125,3.1,268.7,3.71875,,1.6,20.014815,,,-16,-41.28,Mata Atlântica,1594651000.0
83393,28/02/2017,0,9,1.404762,3.6,188.0,6.690475999999999,,39.5,20.285714000000002,70.99107099999998,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/03/2017,0,9,1.068817,3.1,229.1,5.473118,,42.0,20.225806,64.814516,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/04/2017,0,14,0.8955559999999999,3.1,220.6,5.9,,73.7,19.773332999999997,74.483333,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/05/2017,0,14,0.9139780000000001,3.1,174.9,6.602150999999999,,42.3,17.896774,76.032258,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/06/2017,0,14,1.146667,4.6,225.4,4.9222220000000005,,8.7,16.546667000000006,71.833333,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/07/2017,0,9,1.373118,3.6,175.1,7.086022,,29.2,14.703226,74.225806,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/08/2017,0,14,1.004301,3.1,225.2,4.204301,,1.6,15.045160999999998,62.0,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/09/2017,0,14,1.7866669999999998,5.1,229.2,6.311111,,4.8,16.26,63.875,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/10/2017,0,9,1.5118280000000002,3.6,258.3,4.55914,,3.3,18.819354999999998,58.201613,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/11/2017,0,14,1.095556,2.1,180.2,6.888889,,126.5,19.613332999999997,67.466667,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/12/2017,0,14,0.793451,3.1,165.0,7.011765,,209.9,20.326667,77.072917,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/01/2018,0,9,1.043548,2.1,241.7,4.935484,,23.9,20.255172,,,-16,-41.28,Mata Atlântica,1594651000.0
83393,28/02/2018,0,0,0.59541,5.0,189.5,6.907738,,155.0,20.557143,73.464286,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/03/2018,0,0,0.649462,2.6,251.2,5.741935,,64.4,20.548386999999998,73.0,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/04/2018,0,14,1.082222,4.6,191.9,6.533333,,17.2,19.22,73.44166700000002,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/05/2018,0,14,1.05914,2.6,191.9,6.139785,,25.1,17.541935000000002,72.41935500000002,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/06/2018,0,14,0.883333,2.6,172.9,6.566667,,35.3,16.733333,75.841667,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/07/2018,0,14,0.892473,3.1,258.4,4.27957,,5.8,15.619354999999999,66.725806,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/08/2018,0,9,1.151087,4.1,233.3,4.532609,,9.1,17.858065,64.633333,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/09/2018,0,9,1.125556,3.6,250.5,4.033333,,0.0,18.553333,57.533333,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/10/2018,0,9,1.096774,3.1,199.6,5.7311830000000015,,60.9,19.664516,63.774193999999994,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/11/2018,0,9,1.1988889999999999,3.6,158.4,7.544444,,210.0,19.483333,73.133333,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/12/2018,0,0,0.738462,2.1,157.3,7.076923,,260.9,19.793103,76.9375,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/01/2019,0,9,1.030263,3.6,276.9,4.25,,0.3,20.041379,57.944444,,-16,-41.28,Mata Atlântica,1594651000.0
83393,28/02/2019,0,0,0.80119,2.6,227.4,5.0119050000000005,,109.5,21.671429,60.75,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/03/2019,0,14,0.922581,2.6,233.9,5.526882,,79.3,21.151613,64.540323,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/04/2019,0,0,0.698889,3.1,235.1,5.044444,,115.8,20.546667000000006,72.766667,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/05/2019,0,14,0.8096770000000001,3.1,196.3,5.11828,,1.7,19.290323,71.0,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/06/2019,0,14,0.983333,3.6,184.6,5.211111,,7.3,16.52,68.791667,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/07/2019,0,9,0.967742,3.6,220.1,4.870968,,20.1,14.393548000000001,67.19354799999999,,-16,-41.28,Mata Atlântica,1594651000.0
83393,31/08/2019,0,9,1.109677,2.6,202.8,5.860215,,61.0,16.619355,70.112903,,-16,-41.28,Mata Atlântica,1594651000.0
83393,30/09/2019,0,14,1.05,3.6,241.1,4.477778,,15.0,18.053333,62.675,,-16,-41.28,Mata Atlântica,1594651000.0
