Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMinimaMedia,UmidadeRelativaMedia,Unnamed: 13,Latitude,Longitude
83483,31/01/2016,0,,,,,,,34.0,,,,"-17.35
","-44.91
"
83483,29/02/2016,0,,1.466667,4.1,263.4,7.128571000000001,,41.2,22.253571,67.42857099999999,,"-17.35
","-44.91
"
83483,31/03/2016,0,5.0,1.614063,3.6,234.9,6.405797,,86.6,21.627585999999997,72.386364,,"-17.35
","-44.91
"
83483,30/04/2016,0,23.0,1.5057969999999998,3.6,271.4,5.386667,,25.7,20.17,64.49,,"-17.35
","-44.91
"
83483,31/05/2016,0,23.0,1.2380280000000001,3.3,255.1,5.36,,0.8,17.961289999999998,67.47619,,"-17.35
","-44.91
"
83483,30/06/2016,0,23.0,1.284615,3.6,244.4,5.518987,,0.0,15.343333,66.192308,,"-17.35
","-44.91
"
83483,31/07/2016,0,5.0,1.441667,4.3,277.7,2.7105259999999998,,0.0,14.612903,,,"-17.35
","-44.91
"
83483,31/08/2016,0,5.0,1.9014080000000002,5.0,270.4,4.740741000000001,,0.1,17.545161,55.365384999999996,,"-17.35
","-44.91
"
83483,30/09/2016,0,5.0,2.095,5.1,280.2,5.813333,,23.1,21.09,50.729167,,"-17.35
","-44.91
"
83483,31/10/2016,0,5.0,2.28871,5.0,276.2,7.222222,,57.2,22.826667,56.534091000000004,,"-17.35
","-44.91
"
83483,30/11/2016,0,5.0,1.594118,4.0,165.1,8.775862,,280.0,21.763333,75.352941,,"-17.35
","-44.91
"
83483,31/12/2016,0,5.0,1.509259,4.6,206.9,8.0625,,156.1,21.696429000000002,72.79,,"-17.35
","-44.91
"
83483,31/01/2017,0,5.0,1.6269639999999999,3.6,296.0,7.0,,69.9,21.641935,64.201923,,"-17.35
","-44.91
"
83483,28/02/2017,0,5.0,1.726531,4.0,,8.362069,,103.9,21.272727,75.98684200000001,,"-17.35
","-44.91
"
83483,31/03/2017,0,,,,,,,32.5,,,,"-17.35
","-44.91
"
83483,30/04/2017,0,5.0,1.596429,3.6,214.2,5.730159,,2.9,20.77037,66.325,,"-17.35
","-44.91
"
83483,31/05/2017,0,5.0,1.4530299999999998,4.1,231.9,5.592105,,27.4,18.803704,68.96,,"-17.35
","-44.91
"
83483,30/06/2017,0,,,,,,,0.0,,,,"-17.35
","-44.91
"
83483,31/07/2017,0,,,,,,,0.0,,,,"-17.35
","-44.91
"
83483,31/08/2017,0,,,,,,,0.0,,,,"-17.35
","-44.91
"
83483,30/09/2017,0,9.0,2.42,4.5,221.8,3.588235,,0.0,18.640741000000002,47.25,,"-17.35
","-44.91
"
83483,31/10/2017,0,9.0,2.1840580000000003,5.6,248.7,5.68,,66.6,22.106667,50.07,,"-17.35
","-44.91
"
83483,30/11/2017,0,,,,155.9,8.791667,,117.5,21.78,70.21875,,"-17.35
","-44.91
"
83483,31/12/2017,0,,,,161.3,8.315068,,214.8,21.389654999999998,79.86956500000001,,"-17.35
","-44.91
"
83483,31/01/2018,0,,,,,,,58.2,,,,"-17.35
","-44.91
"
83483,28/02/2018,0,,,,,,,114.9,,,,"-17.35
","-44.91
"
83483,30/06/2018,0,,,,,4.412698000000001,,0.0,16.152,64.714286,,"-17.35
","-44.91
"
83483,31/07/2018,0,,,,270.1,3.3766230000000004,,0.0,14.051613,57.27,,"-17.35
","-44.91
"
83483,31/08/2018,0,,,,244.1,5.0740739999999995,,9.2,16.86129,53.490741,,"-17.35
","-44.91
"
83483,30/09/2018,0,,,,232.4,5.414286,,2.4,19.75,48.0,,"-17.35
","-44.91
"
83483,31/10/2018,0,,,,193.8,8.753247,,100.9,23.383871,56.596154000000006,,"-17.35
","-44.91
"
83483,30/11/2018,0,,,,142.9,,,290.1,21.553333,,,"-17.35
","-44.91
"
83483,31/12/2018,0,,,,191.4,,,337.1,21.193333,,,"-17.35
","-44.91
"
83483,28/02/2019,0,,,,,,,125.4,22.036842,,,"-17.35
","-44.91
"
83483,31/03/2019,0,,,,218.2,8.444444,,105.8,22.027586,,,"-17.35
","-44.91
"
83483,30/04/2019,0,,,,219.1,7.297872,,52.2,21.203332999999997,,,"-17.35
","-44.91
"
83483,31/05/2019,0,,,,232.8,6.622642,,11.6,19.06129,,,"-17.35
","-44.91
"
83483,30/06/2019,0,,,,205.6,,,0.0,15.95,,,"-17.35
","-44.91
"
83483,31/07/2019,0,,,,262.8,4.245283000000001,,0.0,14.122581,,,"-17.35
","-44.91
"
83483,31/08/2019,0,,,,259.6,6.921569,,0.0,17.473333,,,"-17.35
","-44.91
"
83483,30/09/2019,0,,,,274.2,5.019608,,25.8,20.327586,,,"-17.35
","-44.91
"
