Latitude  (graus) : -17.35
Longitude (graus) : -44.91
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMinimaMedia;UmidadeRelativaMedia;
83483;31/01/2016;0000;;;;;;;34;;;
83483;29/02/2016;0000;;1.466667;4.1;263.4;7.128571;;41.2;22.253571;67.428571;
83483;31/03/2016;0000;5;1.614063;3.6;234.9;6.405797;;86.6;21.627586;72.386364;
83483;30/04/2016;0000;23;1.505797;3.6;271.4;5.386667;;25.7;20.17;64.49;
83483;31/05/2016;0000;23;1.238028;3.3;255.1;5.36;;0.8;17.96129;67.47619;
83483;30/06/2016;0000;23;1.284615;3.6;244.4;5.518987;;0;15.343333;66.192308;
83483;31/07/2016;0000;5;1.441667;4.3;277.7;2.710526;;0;14.612903;;
83483;31/08/2016;0000;5;1.901408;5;270.4;4.740741;;0.1;17.545161;55.365385;
83483;30/09/2016;0000;5;2.095;5.1;280.2;5.813333;;23.1;21.09;50.729167;
83483;31/10/2016;0000;5;2.28871;5;276.2;7.222222;;57.2;22.826667;56.534091;
83483;30/11/2016;0000;5;1.594118;4;165.1;8.775862;;280;21.763333;75.352941;
83483;31/12/2016;0000;5;1.509259;4.6;206.9;8.0625;;156.1;21.696429;72.79;
83483;31/01/2017;0000;5;1.626964;3.6;296;7;;69.9;21.641935;64.201923;
83483;28/02/2017;0000;5;1.726531;4;;8.362069;;103.9;21.272727;75.986842;
83483;31/03/2017;0000;;;;;;;32.5;;;
83483;30/04/2017;0000;5;1.596429;3.6;214.2;5.730159;;2.9;20.77037;66.325;
83483;31/05/2017;0000;5;1.45303;4.1;231.9;5.592105;;27.4;18.803704;68.96;
83483;30/06/2017;0000;;;;;;;0;;;
83483;31/07/2017;0000;;;;;;;0;;;
83483;31/08/2017;0000;;;;;;;0;;;
83483;30/09/2017;0000;9;2.42;4.5;221.8;3.588235;;0;18.640741;47.25;
83483;31/10/2017;0000;9;2.184058;5.6;248.7;5.68;;66.6;22.106667;50.07;
83483;30/11/2017;0000;;;;155.9;8.791667;;117.5;21.78;70.21875;
83483;31/12/2017;0000;;;;161.3;8.315068;;214.8;21.389655;79.869565;
83483;31/01/2018;0000;;;;;;;58.2;;;
83483;28/02/2018;0000;;;;;;;114.9;;;
83483;30/06/2018;0000;;;;;4.412698;;0;16.152;64.714286;
83483;31/07/2018;0000;;;;270.1;3.376623;;0;14.051613;57.27;
83483;31/08/2018;0000;;;;244.1;5.074074;;9.2;16.86129;53.490741;
83483;30/09/2018;0000;;;;232.4;5.414286;;2.4;19.75;48;
83483;31/10/2018;0000;;;;193.8;8.753247;;100.9;23.383871;56.596154;
83483;30/11/2018;0000;;;;142.9;;;290.1;21.553333;;
83483;31/12/2018;0000;;;;191.4;;;337.1;21.193333;;
83483;28/02/2019;0000;;;;;;;125.4;22.036842;;
83483;31/03/2019;0000;;;;218.2;8.444444;;105.8;22.027586;;
83483;30/04/2019;0000;;;;219.1;7.297872;;52.2;21.203333;;
83483;31/05/2019;0000;;;;232.8;6.622642;;11.6;19.06129;;
83483;30/06/2019;0000;;;;205.6;;;0;15.95;;
83483;31/07/2019;0000;;;;262.8;4.245283;;0;14.122581;;
83483;31/08/2019;0000;;;;259.6;6.921569;;0;17.473333;;
83483;30/09/2019;0000;;;;274.2;5.019608;;25.8;20.327586;;
