Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMinimaMedia,UmidadeRelativaMedia,Unnamed: 13,Latitude,Longitude,Bioma
83967,31/01/2016,0,14,2.17957,4.9,240.2,5.182796,,109.4,21.325806,71.379032,,-30.05,-51.16,Pampa
83967,29/02/2016,0,14,1.731034,4.6,252.3,5.218391,,138.6,21.810345,73.810345,,-30.05,-51.16,Pampa
83967,31/03/2016,0,14,2.303226,7.6,194.5,5.827957,,302.4,19.493548,78.645161,,-30.05,-51.16,Pampa
83967,30/04/2016,0,14,1.78,4.3,107.1,7.488889,,215.9,19.25,81.475,,-30.05,-51.16,Pampa
83967,31/05/2016,0,14,1.894624,4.1,89.0,7.150538,,72.5,12.251613,84.645161,,-30.05,-51.16,Pampa
83967,30/06/2016,0,27,1.741111,4.6,111.3,5.866667,,6.8,8.316667,82.4,,-30.05,-51.16,Pampa
83967,31/07/2016,0,14,1.982796,6.9,134.7,6.172043,,150.7,10.416129,80.008065,,-30.05,-51.16,Pampa
83967,31/08/2016,0,14,1.6763439999999998,3.4,140.8,5.677419,,98.8,12.067742,79.516129,,-30.05,-51.16,Pampa
83967,30/09/2016,0,14,2.4611110000000003,7.1,193.1,5.166667,,90.6,12.4,75.616667,,-30.05,-51.16,Pampa
83967,31/10/2016,0,14,2.605376,6.2,188.2,6.150538,,191.6,15.451613,76.145161,,-30.05,-51.16,Pampa
83967,30/11/2016,0,14,2.227778,7.1,246.8,4.7,,103.9,15.86,69.108333,,-30.05,-51.16,Pampa
83967,31/12/2016,0,14,2.104307,4.62996,265.7,5.63172,,128.1,19.967742,70.258065,,-30.05,-51.16,Pampa
83967,31/01/2017,0,14,2.223656,4.6,252.1,5.752688,,197.1,21.283871,74.387097,,-30.05,-51.16,Pampa
83967,28/02/2017,0,14,1.907143,5.3,211.7,6.297619,,50.5,22.367857,74.910714,,-30.05,-51.16,Pampa
83967,31/03/2017,0,14,2.095699,4.1,219.6,4.978495,,165.6,19.280645,76.040323,,-30.05,-51.16,Pampa
83967,30/04/2017,0,14,2.137778,7.3,164.7,5.844444,,114.9,16.696667,76.69166700000002,,-30.05,-51.16,Pampa
83967,31/05/2017,0,14,1.939785,8.3,109.3,6.591398,,184.5,15.422581,85.403226,,-30.05,-51.16,Pampa
