Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMinimaMedia,UmidadeRelativaMedia,Unnamed: 13,Latitude,Longitude
83064,31/01/2016,0,0,0.810473,3.6010800000000005,106.7,7.736559,,456.0,23.393548000000003,84.096774,,"-10.71
","-48.41
"
83064,29/02/2016,0,0,0.765567,3.0,261.0,3.54023,,24.8,24.437037,64.465517,,"-10.71
","-48.41
"
83064,31/03/2016,0,0,0.8098529999999999,3.2,169.6,6.978261,,189.3,24.358065,78.908333,,"-10.71
","-48.41
"
83064,30/04/2016,0,0,0.662134,3.0,218.9,4.491667,,36.8,24.524138,68.916667,,"-10.71
","-48.41
"
83064,31/05/2016,0,0,0.548457,3.0,261.5,3.8924730000000003,,14.7,23.16,62.814516000000005,,"-10.71
","-48.41
"
83064,30/06/2016,0,0,0.7530720000000001,3.2,226.4,2.677778,,6.0,22.331034,58.1,,"-10.71
","-48.41
"
83064,31/07/2016,0,0,0.856691,2.6,275.5,0.9859549999999999,,0.0,20.206452,47.465517,,"-10.71
","-48.41
"
83064,31/08/2016,0,0,0.7472260000000001,3.0,303.2,2.212366,,0.4,22.412903,42.443548,,"-10.71
","-48.41
"
83064,30/09/2016,0,0,0.724023,3.0,203.6,5.063889,,93.5,24.046667000000003,52.816667,,"-10.71
","-48.41
"
83064,31/10/2016,0,0,0.830907,4.3,234.2,5.327957,,138.5,23.054839,63.145161,,"-10.71
","-48.41
"
83064,30/11/2016,0,0,0.876554,4.0,176.3,5.905556,,178.7,23.156667000000002,70.8,,"-10.71
","-48.41
"
83064,31/12/2016,0,0,0.9603940000000001,4.5,160.3,6.706989,,283.5,22.6,74.798387,,"-10.71
","-48.41
"
83064,31/01/2017,0,18,1.0312059999999998,4.1,134.2,6.997312,,174.8,22.329032,79.790323,,"-10.71
","-48.41
"
83064,28/02/2017,0,0,1.073728,3.5,99.4,8.095238,,164.5,22.167857,81.589286,,"-10.71
","-48.41
"
83064,31/03/2017,0,0,0.840033,3.3,187.6,6.408601999999999,,153.5,22.496774,79.217742,,"-10.71
","-48.41
"
83064,30/04/2017,0,18,0.7503810000000001,3.6010800000000005,210.9,5.393258,,87.5,22.923333,77.508333,,"-10.71
","-48.41
"
83064,31/05/2017,0,0,0.688684,3.6010800000000005,260.7,2.922043,,18.2,22.303226000000002,67.258065,,"-10.71
","-48.41
"
83064,30/06/2017,0,0,0.75274,3.2,235.4,1.8055560000000002,,0.0,,57.225,,"-10.71
","-48.41
"
83064,31/07/2017,0,18,1.259951,5.0,282.3,0.819892,,0.0,,46.298387,,"-10.71
","-48.41
"
83064,31/08/2017,0,0,0.9415049999999999,4.0,319.3,1.077957,,0.0,,40.290323,,"-10.71
","-48.41
"
83064,30/09/2017,0,0,1.276928,4.0,291.1,1.241477,,0.0,,35.125,,"-10.71
","-48.41
"
83064,31/10/2017,0,0,1.092054,3.4,224.6,5.464286,,41.0,,49.427419,,"-10.71
","-48.41
"
83064,30/11/2017,0,0,0.9488,5.0,,7.7668539999999995,,191.4,,73.608333,,"-10.71
","-48.41
"
83064,31/12/2017,0,18,1.059365,3.0,131.2,7.873626,,258.8,,78.959677,,"-10.71
","-48.41
"
83064,31/01/2018,0,18,0.969872,2.05776,160.7,5.712025,,134.4,,77.798387,,"-10.71
","-48.41
"
83064,28/02/2018,0,0,0.673671,5.1444,125.0,7.089844,,332.6,,83.231481,,"-10.71
","-48.41
"
83064,31/03/2018,0,18,1.1758629999999999,3.08664,157.7,6.25,,218.3,,81.782258,,"-10.71
","-48.41
"
83064,30/04/2018,0,18,1.1089040000000001,6.68772,167.9,5.601852,,332.1,,79.041667,,"-10.71
","-48.41
"
83064,31/05/2018,0,18,0.990159,8.23104,271.6,3.355978,,3.2,,65.75,,"-10.71
","-48.41
"
83064,30/06/2018,0,0,0.8116720000000001,2.05776,288.0,1.25,,0.0,,58.916667000000004,,"-10.71
","-48.41
"
83064,31/07/2018,0,18,0.9514370000000001,2.05776,310.9,1.034946,,0.0,,50.532258,,"-10.71
","-48.41
"
83064,31/08/2018,0,0,1.222486,3.08664,269.4,2.805556,,12.0,22.736,47.225806,,"-10.71
","-48.41
"
83064,30/09/2018,0,0,0.981575,3.08664,185.3,3.796296,,3.7,23.810345,49.5,,"-10.71
","-48.41
"
83064,31/10/2018,0,0,1.084797,2.05776,182.9,5.711806,,174.4,24.241935,69.266129,,"-10.71
","-48.41
"
83064,30/11/2018,0,18,0.97172,2.5722,132.5,7.026515,,239.9,24.0,76.725,,"-10.71
","-48.41
"
83064,31/12/2018,0,0,0.89059,2.5722,153.1,6.525735,,333.3,23.322581,76.104839,,"-10.71
","-48.41
"
83064,31/01/2019,0,18,0.9505959999999999,2.5722,185.9,5.783582,,161.7,22.961289999999998,76.774194,,"-10.71
","-48.41
"
83064,28/02/2019,0,0,0.722666,2.5722,122.6,6.211538,,173.6,23.364286,80.85714300000001,,"-10.71
","-48.41
"
83064,31/03/2019,0,0,0.8723110000000001,2.5722,126.2,6.440972,,290.5,23.570968,81.612903,,"-10.71
","-48.41
"
83064,30/04/2019,0,0,0.788808,2.5722,185.8,5.432691999999999,,157.1,23.923333,80.283333,,"-10.71
","-48.41
"
83064,31/05/2019,0,0,0.724641,2.05776,255.5,3.475275,,34.9,23.922581,71.30645200000001,,"-10.71
","-48.41
"
83064,30/06/2019,0,0,0.765944,2.5722,286.9,1.6715119999999999,,0.0,21.256667,58.533333,,"-10.71
","-48.41
"
83064,31/07/2019,0,0,0.746768,2.05776,308.5,1.2096770000000001,,0.0,20.26129,52.346773999999996,,"-10.71
","-48.41
"
83064,31/08/2019,0,0,0.8131470000000001,2.5722,304.8,1.424731,,0.0,21.3,43.935484,,"-10.71
","-48.41
"
83064,30/09/2019,0,0,0.954572,2.5722,253.5,1.889535,,31.5,,43.458333,,"-10.71
","-48.41
"
