Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMinimaMedia,UmidadeRelativaMedia,Unnamed: 13,Latitude,Longitude,Bioma,area(m²)
82586,31/01/2016,0,,4.458888,8.3,,,,12.3,24.275,73.29411800000003,,-5.16,-39.28,Caatinga,3275838000.0
82586,29/02/2016,0,9.0,3.722807,6.6,238.1,6.418182,,37.7,23.937931,76.35714300000002,,-5.16,-39.28,Caatinga,3275838000.0
82586,31/03/2016,0,9.0,3.9657949999999995,8.74548,221.9,5.922130999999999,,71.8,24.56129,72.774194,,-5.16,-39.28,Caatinga,3275838000.0
82586,30/04/2016,0,9.0,2.7378669999999996,7.202160000000001,211.1,5.517241,,124.0,23.627585999999997,77.06666700000002,,-5.16,-39.28,Caatinga,3275838000.0
82586,31/05/2016,0,9.0,2.7151,6.68772,223.9,4.398148,,116.4,23.848148000000002,74.777778,,-5.16,-39.28,Caatinga,3275838000.0
82586,30/06/2016,0,9.0,3.232398,6.17328,279.2,4.4166669999999995,,21.9,23.32,72.56666700000002,,-5.16,-39.28,Caatinga,3275838000.0
82586,31/07/2016,0,,3.054488,9.25992,,,,4.7,22.5125,73.25,,-5.16,-39.28,Caatinga,3275838000.0
82586,31/08/2016,0,9.0,3.7587309999999996,5.1444,312.2,3.8911290000000003,,0.0,23.093548000000002,69.677419,,-5.16,-39.28,Caatinga,3275838000.0
82586,30/09/2016,0,9.0,4.647399,7.7166,279.0,3.09322,,0.0,23.406667000000002,71.62069,,-5.16,-39.28,Caatinga,3275838000.0
82586,31/10/2016,0,9.0,4.248279,9.77436,317.0,2.540323,,0.0,23.9,70.677419,,-5.16,-39.28,Caatinga,3275838000.0
82586,30/11/2016,0,9.0,4.36838,6.68772,267.5,3.262712,,0.0,24.036667,68.206897,,-5.16,-39.28,Caatinga,3275838000.0
82586,31/12/2016,0,9.0,3.9661660000000003,6.68772,232.6,4.455645,,27.0,24.316129,69.451613,,-5.16,-39.28,Caatinga,3275838000.0
82586,31/01/2017,0,,,,,,,0.0,,,,-5.16,-39.28,Caatinga,3275838000.0
