Latitude  (graus) : -5.16
Longitude (graus) : -39.28
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMinimaMedia;UmidadeRelativaMedia;
82586;31/01/2016;0000;;4.458888;8.3;;;;12.3;24.275;73.294118;
82586;29/02/2016;0000;9;3.722807;6.6;238.1;6.418182;;37.7;23.937931;76.357143;
82586;31/03/2016;0000;9;3.965795;8.74548;221.9;5.922131;;71.8;24.56129;72.774194;
82586;30/04/2016;0000;9;2.737867;7.20216;211.1;5.517241;;124;23.627586;77.066667;
82586;31/05/2016;0000;9;2.7151;6.68772;223.9;4.398148;;116.4;23.848148;74.777778;
82586;30/06/2016;0000;9;3.232398;6.17328;279.2;4.416667;;21.9;23.32;72.566667;
82586;31/07/2016;0000;;3.054488;9.25992;;;;4.7;22.5125;73.25;
82586;31/08/2016;0000;9;3.758731;5.1444;312.2;3.891129;;0;23.093548;69.677419;
82586;30/09/2016;0000;9;4.647399;7.7166;279;3.09322;;0;23.406667;71.62069;
82586;31/10/2016;0000;9;4.248279;9.77436;317;2.540323;;0;23.9;70.677419;
82586;30/11/2016;0000;9;4.36838;6.68772;267.5;3.262712;;0;24.036667;68.206897;
82586;31/12/2016;0000;9;3.966166;6.68772;232.6;4.455645;;27;24.316129;69.451613;
82586;31/01/2017;0000;;;;;;;0;;;
82586;28/02/2017;0000;9;2.5875;5;191.6;7.107143;;173.2;23.478571;75.678571;
82586;31/03/2017;0000;9;1.774;4.3;128.2;8.22;;144.9;22.864;82.5;
82586;30/04/2017;0000;5;2.606897;5.6;190.9;8.068966;;92.2;22.875862;;
82586;31/05/2017;0000;9;2.106452;5;231.1;6.887097;;137.7;22.56129;;
82586;30/06/2017;0000;9;3.221667;5;242.4;6.133333;;21.3;23.106667;;
82586;31/07/2017;0000;9;3.077049;5.6;198.9;6.451613;;83.3;21.851613;;
82586;31/08/2017;0000;5;3.9;6;296.1;5.645161;;40.6;21.193548;;
82586;30/09/2017;0000;5;4.19;6.6;297.5;5.266667;;2.8;21.64;;
82586;31/10/2017;0000;5;5.059677;7.3;261.2;5.451613;;0.3;22.729032;;
82586;30/11/2017;0000;5;5.311667;9;244.6;6.65;;0;23.073333;;
82586;31/12/2017;0000;5;5.501613;8.3;240.2;7.451613;;14.8;23.406452;;
82586;31/01/2018;0000;5;4.969355;8.3;;8.112903;;59.8;22.845161;;
82586;28/02/2018;0000;;;;;;;33.7;;;
82586;31/03/2018;0000;36;3.369355;6.6;210.8;8.419355;;80.1;23.619355;;
82586;30/04/2018;0000;9;2.908333;5;179.3;8.466667;;349.1;22.743333;;
82586;31/05/2018;0000;9;3.125806;5;204;7.854839;;112.6;22.077419;;
82586;30/06/2018;0000;9;2.692135;3.6;238.9;5.52809;;29.2;21.51;69.591667;
82586;31/07/2018;0000;9;2.38172;4.1;259.2;5.44086;;23;21.516129;61.145161;
82586;31/08/2018;0000;9;2.59556;5.1444;269.5;4.094828;;0;22.006667;58.419643;
82586;30/09/2018;0000;9;2.948078;5;268.9;3.352941;;0;22.410345;58.348214;
82586;31/10/2018;0000;18;3.36129;5;277.8;3.72043;;0;23.032258;61.854839;
82586;30/11/2018;0000;18;3.722222;8.3;254.5;4.677778;;2.6;23.763333;61.316667;
82586;31/12/2018;0000;18;3.103226;5;223.2;6.451613;;19.4;23.877419;63.653226;
82586;31/01/2019;0000;18;2.837634;5;227.1;7.096774;;193.4;22.993548;70.298387;
82586;28/02/2019;0000;18;2.22538;5.1444;161.6;7.724359;;73.4;23.415385;80.1;
82586;31/03/2019;0000;18;2.504362;5.1444;198;7.747253;;97.5;22.864516;83.483871;
82586;30/04/2019;0000;18;2.423584;5.1444;156.2;8.111111;;131.4;22.973333;85.316667;
82586;31/05/2019;0000;18;2.514398;5.1444;206.1;6.573034;;56.2;22.858065;75.527778;
82586;30/06/2019;0000;18;2.996912;5.1444;202.6;6.30814;;22.8;22.655172;69.1875;
82586;31/07/2019;0000;18;3.198762;5.1444;177.1;6.602564;;41;22.357143;65.739583;
82586;31/08/2019;0000;18;3.606926;5.65884;246.2;4.943182;;0;22.073333;57.043103;
82586;30/09/2019;0000;18;3.838069;5.1444;248.2;3.764045;;0;22.773333;59.181034;
