Latitude  (graus) : -8.05
Longitude (graus) : -34.95
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82900;31/01/2016;0000;14;1.56129;5;176.6;6.698925;;124;31.316129;23.687097;74.290323;
82900;29/02/2016;0000;14;1.656098;3.8;195.9;6.54878;;70;31.4;23.882143;74.019231;
82900;31/03/2016;0000;14;1.672077;3.60108;203.6;6.454301;;268.7;31.412903;24.029032;75.919355;
82900;30/04/2016;0000;14;1.537604;5.1444;192.9;6.958333;;292.4;30.63;23.756667;79.358333;
82900;31/05/2016;0000;0;1.20036;3.60108;187.6;6.774194;;478.9;29.629032;22.493548;81.935484;
82900;30/06/2016;0000;14;1.262716;5.1444;226.8;6.107955;;148.5;28.916667;21.3;81.008621;
82900;31/07/2016;0000;14;1.653952;5.1444;205.8;6.841398;;110.3;28.383871;20.893548;80.443548;
82900;31/08/2016;0000;14;1.869685;5.1444;209.4;6.182796;;57.5;28.922581;20.609677;77.193548;
82900;30/09/2016;0000;14;2.08634;5.1444;236.1;5.916667;;57.4;29.773333;21.726667;73.741667;
82900;31/10/2016;0000;14;2.361999;5.1444;251.6;5.900538;;14.1;31.16129;22.525806;70.129032;
82900;30/11/2016;0000;14;2.217808;5.1444;239.5;6.125;;17.8;31.973333;23.133333;69.783333;
82900;31/12/2016;0000;14;2.140734;3.60108;229.2;6.330645;;68;31.903226;22.76129;70.943548;
82900;31/01/2017;0000;14;2.029494;4.11552;236.7;5.549451;;28.7;31.864516;23.393548;69.145161;
82900;28/02/2017;0000;14;1.982476;5.1444;216.1;5.833333;;21.1;32.582143;23.614286;67.767857;
82900;31/03/2017;0000;14;1.754286;3.7;206.4;6.752688;;156.2;31.5;23.419355;74.322581;
82900;30/04/2017;0000;14;1.425556;3.3;208.4;6.388889;;289.9;30.846667;22.79;80.441667;
82900;31/05/2017;0000;14;1.28172;4.2;154.7;7.268817;;399.4;29.877419;22.093548;83.5;
82900;30/06/2017;0000;14;1.528889;3.7;127.6;7.611111;;489.8;28.98;21.896667;86.483333;
82900;31/07/2017;0000;18;1.954839;6.8;96;8.494624;;490.5;27.680645;20.929032;86.830645;
82900;31/08/2017;0000;14;1.550549;5;174.6;6.274725;;112.1;28.377419;20.2;82.383333;
82900;30/09/2017;0000;14;2.493333;5;182.8;7;;84.1;28.67;21.263333;78.65;
82900;31/10/2017;0000;14;2.321739;5;163.6;6.836957;;63.1;29.86129;22.154839;76.208333;
82900;30/11/2017;0000;9;2.297778;3.7;248.9;5.822222;;14.8;31.676667;22.273333;71.125;
82900;31/12/2017;0000;14;2.278495;5;256.8;5.827957;;30.3;32.154839;22.912903;72.129032;
82900;31/01/2018;0000;14;2.212903;3.7;236.7;6.354839;;153.6;31.358065;22.809677;72.66129;
82900;28/02/2018;0000;14;1.844048;4;185.4;6.583333;;146.2;31.35;23.025;77.1875;
82900;31/03/2018;0000;14;1.57033;3.3;194.7;6.131868;;120.6;31.606452;22.683333;76.691667;
82900;30/04/2018;0000;0;1.096629;5;135.8;7.88764;;484;29.68;22.57;85.637931;
82900;31/05/2018;0000;14;1.436264;3.5;203.5;6.78022;;231.6;29.929032;21.845161;82.583333;
82900;30/06/2018;0000;14;1.473333;5;203.7;6.088889;;143;29.046667;20.583333;83.258333;
82900;31/07/2018;0000;18;1.686022;4.3;173.7;6.634409;;135.3;28.080645;20.183871;82.314516;
82900;31/08/2018;0000;14;1.96129;5;207.6;6.741935;;98.4;28.548387;20.277419;80.048387;
82900;30/09/2018;0000;14;2.160674;5;206.7;6.786517;;58.5;28.9;21.113333;78.058333;
82900;31/10/2018;0000;14;2.326882;5;243.1;5.677419;;23.8;30.577419;22.296774;72.395161;
82900;30/11/2018;0000;14;2.391111;3.7;226.4;6.155556;;37.8;31.36;23.113333;71.775;
82900;31/12/2018;0000;14;2.05914;5;247.7;6.204301;;74.5;31.667742;22.687097;72.016129;
82900;31/01/2019;0000;14;1.986957;3.8;210.8;6.184783;;141.3;30.974194;22.732258;77.175;
82900;28/02/2019;0000;14;1.355332;5.1444;179.7;6.47619;;116.1;31.110714;23.164286;80.517857;
82900;31/03/2019;0000;14;1.344182;3.60108;195.7;6.465054;;159.9;31.883871;22.822581;81.903226;
82900;30/04/2019;0000;0;1.02888;3.08664;211.1;6.097222;;290.4;31.046667;22.056667;85.5;
82900;31/05/2019;0000;14;0.951437;3.08664;194.7;6.760753;;216.6;30.483871;21.658065;86.943548;
82900;30/06/2019;0000;14;1.335232;4.62996;188.1;6.390449;;463.4;29.241379;20.341379;83.784483;
82900;31/07/2019;0000;14;1.316721;4.11552;152.2;7.291667;;432;28.389286;19.644828;88.339286;
82900;31/08/2019;0000;14;1.67193;3.60108;166.4;6.970109;;183;28.23;19.326667;84.5;
82900;30/09/2019;0000;14;1.680504;3.60108;205.2;6.597222;;110.1;29.02;20.293333;82.241667;
