Latitude  (graus) : -9.63
Longitude (graus) : -42.1
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82979;31/01/2016;0000;;;;104.9;7.056452;;398.5;30.43871;23.070968;76.709677;
82979;29/02/2016;0000;;;;201;3.721264;;45;31.537931;22.855172;66.068966;
82979;31/03/2016;0000;;;;290.4;4.36828;;7.3;32.877419;24.232258;63.040323;
82979;30/04/2016;0000;;;;283.7;4.138889;;0;33.16;24.089655;57.825;
82979;31/05/2016;0000;;;;296.8;4.211957;;10;32.829032;22.677419;57.177419;
82979;30/06/2016;0000;;;;292.2;3.736111;;0;31.76;21.593333;54.766667;
82979;31/07/2016;0000;;;;278.7;2.688172;;0;31.393548;20.13871;54.967742;
82979;31/08/2016;0000;;;;314.9;2.540323;;0;32.587097;21.174194;48.733871;
82979;30/09/2016;0000;;;;273.6;3.638889;;13.5;33.426667;22.253333;48.091667;
82979;31/10/2016;0000;;;;296.5;3.763441;;12.1;34.135484;23.696774;47.919355;
82979;30/11/2016;0000;;;;259.7;4.460227;;105.9;33.906667;23.333333;55.033333;
82979;31/12/2016;0000;;;;252.7;5.215054;;9.8;33.722581;23.709677;56.467742;
82979;31/01/2017;0000;;;;316.1;4.655914;;8;35.206897;24.513333;51.120968;
82979;28/02/2017;0000;;;;193.3;6.22619;;85.7;32.714286;23.571429;64.830357;
82979;31/03/2017;0000;;;;254;4.978495;;83.6;33.535484;23.164516;62.709677;
82979;30/04/2017;0000;;;;286.9;4.555556;;74.2;32.533333;23.373333;62.858333;
82979;31/05/2017;0000;;;;288.7;4.043011;;3.7;32.729032;22.874194;56.693548;
82979;30/06/2017;0000;;;;287.6;3.755556;;4.7;31.926667;21.353333;57;
82979;31/07/2017;0000;;;;266.2;3.72043;;0;29.967742;19.46129;57.701613;
82979;31/08/2017;0000;;;;329.8;2.290323;;0;32.245161;21.193548;51.798387;
82979;30/09/2017;0000;;;;299.8;3.263889;;0;31.673333;20.89;54.075;
82979;31/10/2017;0000;;;;;2.298387;;0;34.483871;22.916129;48.548387;
82979;30/11/2017;0000;;;;;4.986111;;19;34.506667;23.98;56.325;
82979;31/12/2017;0000;;;;;5.403226;;22.1;34.335484;24.258065;57.233871;
82979;31/01/2018;0000;;;;;5.067935;;27.9;33.870968;23.8;60.233871;
82979;28/02/2018;0000;;;;;6.770833;;197.1;30.9;22.707143;75.973214;
82979;31/03/2018;0000;;;;;5.819892;;258.7;30.432258;22.554839;78.362903;
82979;30/04/2018;0000;;;;;5.458333;;23.6;29.98;21.753333;73.041667;
82979;31/05/2018;0000;;;;;4.435484;;0;31.258065;21.470968;67.266129;
82979;30/06/2018;0000;;;;;3.708333;;0;30.826667;20.736667;65.658333;
82979;31/07/2018;0000;;;;;2.836022;;0;30.903226;20.390323;60.322581;
82979;31/08/2018;0000;;;;;2.876344;;0;32.212903;21.235484;60.258065;
82979;30/09/2018;0000;;;;;2.694444;;0;33.54;22.836667;53.891667;
82979;31/10/2018;0000;;;;;3.763587;;24.3;34.63871;24.048387;53.475806;
82979;30/11/2018;0000;;;;;4.458333;;1.8;33.826667;24.246667;54.416667;
82979;31/12/2018;0000;;;;207.7;5.927419;;94.4;31.522581;22.212903;65.741935;
82979;31/01/2019;0000;;;;260.9;4.798387;;0;34.632258;24.174194;51.443548;
82979;28/02/2019;0000;;;;200.3;5.376506;;95.3;33.635714;23.607143;62.741071;
82979;31/03/2019;0000;;;;256.3;5.389785;;106.8;32.051613;23.103226;68.104839;
82979;30/04/2019;0000;;;;223.2;5;;40.9;32.02;23.453333;68.016667;
82979;31/05/2019;0000;;;;273;4.314516;;0.7;33.16129;23.758065;58.177419;
82979;30/06/2019;0000;;;;265.7;4.152778;;0;31.373333;22.326667;56.358333;
82979;31/07/2019;0000;;;;279.2;4.153226;;0;30.870968;21.580645;56.564516;
82979;31/08/2019;0000;;;;291.4;3.185484;;0;31.309677;21.13;56.282258;
82979;30/09/2019;0000;;;;311.6;2.277778;;0;33.56;22.666667;52.975;
