Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
82915,31/01/2016,0,0,0.496701,2.05776,133.9,7.960526,,96.3,32.568966,24.006897,91.172414,-9.96,-67.8,Amazônia
82915,29/02/2016,0,0,0.731046,5.1444,130.2,7.5,,220.6,32.164286,23.92069,90.357143,-9.96,-67.8,Amazônia
82915,31/03/2016,0,0,1.365927,8.23104,118.7,7.688953,,227.5,31.542857,23.625806,88.10714300000002,-9.96,-67.8,Amazônia
82915,30/04/2016,0,0,1.051744,4.11552,160.6,6.727528,,318.3,32.163333,22.766667,86.541667,-9.96,-67.8,Amazônia
82915,31/05/2016,0,18,1.040063,5.1444,180.4,6.0,,94.0,31.19,21.422581,86.758333,-9.96,-67.8,Amazônia
82915,30/06/2016,0,18,1.20036,5.1444,204.0,4.888889,,2.0,30.66,19.146667,81.55,-9.96,-67.8,Amazônia
82915,31/07/2016,0,0,0.950596,7.202160000000001,257.5,3.179348,,11.7,34.916667,18.722581,74.025,-9.96,-67.8,Amazônia
82915,31/08/2016,0,0,1.302875,8.74548,223.1,4.388889,,30.6,35.72,19.767742,68.69166700000001,-9.96,-67.8,Amazônia
82915,30/09/2016,0,0,1.291816,5.1444,178.3,5.9375,,80.2,33.666667,20.806667,76.45,-9.96,-67.8,Amazônia
82915,31/10/2016,0,0,1.156107,4.11552,175.8,6.854839,,211.3,33.83871,22.770968,81.44354799999998,-9.96,-67.8,Amazônia
82915,30/11/2016,0,0,1.15749,4.11552,160.1,6.997126,,169.9,32.71,22.665517,84.608333,-9.96,-67.8,Amazônia
82915,31/12/2016,0,0,1.207816,4.11552,132.3,7.880435,,219.3,31.536667,23.203226,87.775,-9.96,-67.8,Amazônia
82915,31/01/2017,0,0,0.52381,3.0,101.7,8.706349000000001,,405.2,30.277419,22.651613,94.467742,-9.96,-67.8,Amazônia
82915,28/02/2017,0,36,1.010323,4.11552,112.0,7.350877,,236.5,31.253571,22.982143,94.035714,-9.96,-67.8,Amazônia
82915,31/03/2017,0,0,0.946097,4.11552,149.2,8.132184,,419.8,31.567742,23.112903,89.709677,-9.96,-67.8,Amazônia
82915,30/04/2017,0,0,1.02888,4.11552,145.8,7.457386,,205.3,31.353333000000006,22.546667000000006,88.9,-9.96,-67.8,Amazônia
82915,31/05/2017,0,0,0.818679,3.08664,175.6,6.657609,,101.6,32.141935,23.0,88.44354799999998,-9.96,-67.8,Amazônia
82915,30/06/2017,0,0,0.8554729999999999,7.202160000000001,194.5,4.662921,,25.4,31.13,19.49,86.4,-9.96,-67.8,Amazônia
82915,31/07/2017,0,0,0.8278340000000001,5.1444,244.7,2.327586,,24.6,33.027586,17.334483,78.155172,-9.96,-67.8,Amazônia
