Latitude  (graus) : -17.8
Longitude (graus) : -50.91
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83470;31/01/2016;0000;32;1.767606;5.65884;90.1;7.69086;;300.1;28.932258;20.403226;84.596774;
83470;29/02/2016;0000;0;1.327943;7.6;154.2;6.537356;;185.8;31.355172;19.910345;78.577586;
83470;31/03/2016;0000;0;1.591312;8.5;160.2;6.489247;;321.2;30.809677;19.719355;77.096774;
83470;30/04/2016;0000;0;1.22306;3.7;261.1;3.055556;;10.3;31.651724;18.243333;62.591667;
83470;31/05/2016;0000;0;0.893894;3.4;218.2;3.75;;14.4;29.364516;15.919355;68.58871;
83470;30/06/2016;0000;0;0.943072;5.65884;207.2;3.538889;;27.6;27.896667;13.983333;63.208333;
83470;31/07/2016;0000;0;1.221839;7.3;273.4;1.077957;;0;30.296774;14.470968;46.201613;
83470;31/08/2016;0000;0;1.426629;5.1;218.7;3.123656;;25.2;30.987097;16.651613;48.435484;
83470;30/09/2016;0000;0;1.467517;6.8;220.8;3.316667;;13.4;32.972414;18.106667;48.791667;
83470;31/10/2016;0000;0;1.510322;5.2;199.2;5.47043;;142.4;32.119355;19.248387;61.717742;
83470;30/11/2016;0000;0;1.379499;5.65884;135.9;7.432584;;172.6;29.582759;19.875862;75.801724;
83470;31/12/2016;0000;0;1.771014;6.3;140.6;6.543011;;202.5;29.629032;19.896774;78.822581;
83470;31/01/2017;0000;0;1.094934;6.5;;7.231183;;343.7;29.1;19.809677;81.806452;
83470;28/02/2017;0000;0;1.540884;8.74548;;6.6875;;247.4;30.532143;20.171429;79.767857;
83470;31/03/2017;0000;0;1.485292;6.5;193.9;6.55914;;309.5;30.470968;20.241935;78.419355;
83470;30/04/2017;0000;0;0.985912;6.3;193.1;4.669444;;128.6;29.503333;19.226667;76.691667;
83470;31/05/2017;0000;0;0.755184;4;204.8;3.725806;;60;29.196667;18.383871;71.629032;
83470;30/06/2017;0000;0;1.262543;6.7;193.7;2.858333;;0;;15.216667;61.616667;
83470;31/07/2017;0000;14;2.232448;6.3;259.6;1.787634;;0;;12.723333;52.056452;
83470;31/08/2017;0000;0;1.61215;6.3;235.3;2.255376;;1.5;;17.056667;42.725806;
83470;30/09/2017;0000;0;2.06233;8.5;267.6;2.089888;;23.5;;17.95;33.95;
83470;31/10/2017;0000;0;1.91203;7.3;177.9;5.080645;;89.6;;20.119355;50.701613;
83470;30/11/2017;0000;0;2.025812;7;147.6;6.758333;;289.7;;19.824138;75.258621;
83470;31/12/2017;0000;0;1.658243;6.8;102.3;7.422043;;243.9;;20.335484;80.612903;
83470;31/01/2018;0000;0;1.106012;12.34656;157.4;6.693548;;266.5;;20.283871;78.104839;
83470;28/02/2018;0000;0;1.384089;5.1444;140.1;6.822289;;136.2;;20.364286;78.598214;
83470;31/03/2018;0000;0;1.521194;6.68772;197.7;6.478495;;133.1;;21;76.395161;
83470;30/04/2018;0000;0;1.091756;6.17328;188.4;5.152778;;123.1;;18.596667;76.591667;
83470;31/05/2018;0000;0;0.89059;4.62996;210.1;3.346774;;13.4;;14.26129;68.129032;
83470;30/06/2018;0000;0;0.765944;5.1444;194.2;4;;0.5;;13.703333;64.425;
83470;31/07/2018;0000;0;1.417568;4.62996;243;2.305556;;0;;14.056667;54.208333;
83470;31/08/2018;0000;0;1.139512;5.65884;196.1;4.233871;;5.7;;15.141935;54.475806;
83470;30/09/2018;0000;0;1.417568;6.68772;192.4;4.847222;;59.6;;17.906667;53.833333;
83470;31/10/2018;0000;0;1.316524;8.23104;111.9;7.271505;;200.6;;20.677419;74.814516;
83470;30/11/2018;0000;0;1.624243;5.65884;102.5;7.52809;;233.3;;19.963333;81.474138;
83470;31/12/2018;0000;0;1.216955;5.65884;194.6;5.819892;;161;;19.658065;75.112903;
83470;31/01/2019;0000;0;1.299929;9.25992;202.3;5.107527;;170.5;31.483871;19.926667;72.314516;
83470;28/02/2019;0000;0;1.322846;4.62996;131.2;6.845238;;246.8;31.025926;20.735714;78.169643;
83470;31/03/2019;0000;0;1.23355;7.20216;170.6;6.290323;;196;30.003226;20.158065;78.637097;
83470;30/04/2019;0000;0;0.680204;6.17328;167.7;5.583333;;92.4;29.703333;20.17;78.483333;
83470;31/05/2019;0000;0;0.945906;4.11552;214.8;3.346774;;17;29.774194;18.093548;71.282258;
83470;30/06/2019;0000;0;1.240372;5.1444;242.9;1.5;;0;28.94;14.923333;59.775;
83470;31/07/2019;0000;0;1.673343;5.1444;228.7;2.637363;;0;28.9;13.726667;51.558333;
83470;31/08/2019;0000;0;1.68161;6.17328;192.3;2.486559;;0;31.229032;16.687097;46.701613;
83470;30/09/2019;0000;0;2.092441;6.17328;202.9;2.55618;;30.8;35.376667;20.666667;42.958333;
