Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
82106,31/01/2016,0,0,895.935,2.5722,125.5,6.573.034,,180.0,34.555.172,22.943.333,85.0,-0.11,-67,Amazônia,109184896000.0
82106,29/02/2016,0,0,966.143,308.664,108.2,7.240.854,,157.9,34.003.448,23.151.724,88.094.828,-0.11,-67,Amazônia,109184896000.0
82106,31/03/2016,0,0,970.798,5.1444,111.2,73.588.710.000.000.000,,311.8,33.651.613,22.935.484,9.283.871,-0.11,-67,Amazônia,109184896000.0
82106,30/04/2016,0,0,1.046.319,2.5722,101.8,7.711.864,,369.3,33.151.724,22.343.333,93.965.517,-0.11,-67,Amazônia,109184896000.0
82106,31/05/2016,0,0,919.245,2.5722,120.5,807.377,,481.8,32.435.484,21.833.333,94.548.387,-0.11,-67,Amazônia,109184896000.0
82106,30/06/2016,0,0,10.736.139.999.999.900,2.5722,134.0,71.739.130.000.000.000,,301.1,32.37,21.023.333,92.808.333,-0.11,-67,Amazônia,109184896000.0
82106,31/07/2016,0,0,8.463.370.000.000.000,308.664,126.3,7.849.462,,267.3,31.767.742,20.693.548,89.975.806,-0.11,-67,Amazônia,109184896000.0
82106,31/08/2016,0,0,695.581,308.664,,68.661.970.000.000.000,,142.7,33.429.032,20.613.333,90.419.355,-0.11,-67,Amazônia,109184896000.0
82106,30/09/2016,0,0,1.075.647,411.552,177.6,69.460.229.999.999.900,,173.3,34.086.207,20.065.517,85.810.345,-0.11,-67,Amazônia,109184896000.0
82106,31/10/2016,0,0,826.477,36.010.800.000.000.000,149.4,71.721.309.999.999.900,,273.0,34.382.759,20.75,92.068.966,-0.11,-67,Amazônia,109184896000.0
82106,30/11/2016,0,36,1.120.744,308.664,144.8,6.964.286,,197.6,33.968.965.999.999.900,21.082.759,8.588.793.100.000.000,-0.11,-67,Amazônia,109184896000.0
82106,31/12/2016,0,0,777.506,308.664,106.6,7.315.341,,371.4,32.789.286,20.563.333,8.917.857.099.999.990,-0.11,-67,Amazônia,109184896000.0
