Latitude  (graus) : -0.11
Longitude (graus) : -67
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82106;31/01/2016;0000;0;0.895935;2.5722;125.5;6.573034;;180;34.555172;22.943333;85;
82106;29/02/2016;0000;0;0.966143;3.08664;108.2;7.240854;;157.9;34.003448;23.151724;88.094828;
82106;31/03/2016;0000;0;0.970798;5.1444;111.2;7.358871;;311.8;33.651613;22.935484;92.83871;
82106;30/04/2016;0000;0;1.046319;2.5722;101.8;7.711864;;369.3;33.151724;22.343333;93.965517;
82106;31/05/2016;0000;0;0.919245;2.5722;120.5;8.07377;;481.8;32.435484;21.833333;94.548387;
82106;30/06/2016;0000;0;1.073614;2.5722;134;7.173913;;301.1;32.37;21.023333;92.808333;
82106;31/07/2016;0000;0;0.846337;3.08664;126.3;7.849462;;267.3;31.767742;20.693548;89.975806;
82106;31/08/2016;0000;0;0.695581;3.08664;;6.866197;;142.7;33.429032;20.613333;90.419355;
82106;30/09/2016;0000;0;1.075647;4.11552;177.6;6.946023;;173.3;34.086207;20.065517;85.810345;
82106;31/10/2016;0000;0;0.826477;3.60108;149.4;7.172131;;273;34.382759;20.75;92.068966;
82106;30/11/2016;0000;36;1.120744;3.08664;144.8;6.964286;;197.6;33.968966;21.082759;85.887931;
82106;31/12/2016;0000;0;0.777506;3.08664;106.6;7.315341;;371.4;32.789286;20.563333;89.178571;
82106;31/01/2017;0000;0;1.058242;3;110.3;7.857143;;275.6;32.803226;20.235484;88.040323;
82106;28/02/2017;0000;0;1.0156;3.08664;111.9;7.306548;;441.2;33.892857;20.282143;86.8125;
82106;31/03/2017;0000;0;1.14011;3.08664;122.6;8.513514;;285.1;33.406452;20.122581;91.016129;
82106;30/04/2017;0000;0;0.590653;3.08664;109.6;7.098765;;450.3;33.331034;20.22963;86.301724;
82106;31/05/2017;0000;0;0.749293;3.08664;160.5;6.915761;;152.8;33.73871;20.09;88.612903;
82106;30/06/2017;0000;0;0.700831;3.08664;133.9;7.608696;;204.5;32.903448;19.631034;92.431034;
82106;31/07/2017;0000;0;0.70658;3.08664;133;7.816265;;261.7;32.781481;19.45;89.12963;
82106;31/08/2017;0000;36;0.991602;3.08664;142.4;6.376812;;182.1;34.3375;;87.854167;
82106;30/09/2017;0000;36;1.151644;4.62996;142.6;7.798295;;145;33.958621;;85.577586;
82106;31/10/2017;0000;36;1.409118;3.08664;145.2;8.233696;;146.4;33.548387;;85.733871;
82106;30/11/2017;0000;5;1.245179;3.08664;151.4;7.907303;;289;32.903704;;85.758333;
82106;31/12/2017;0000;5;1.447216;3.08664;132.7;8.035714;;224.9;;;86.41129;
82106;31/01/2018;0000;36;1.266314;2.05776;136.2;7.608696;;235.3;;;86.75;
82106;28/02/2018;0000;5;1.224857;3.08664;107.1;8.407738;;257.8;;;86.321429;
82106;31/03/2018;0000;36;1.194828;3.08664;156;7.567935;;199;34.532258;;85.862903;
82106;30/04/2018;0000;36;1.291816;4.11552;99.3;8.527778;;426.9;32.62;;87.458333;
82106;31/05/2018;0000;5;1.2861;4.11552;106.3;8.077957;;306.1;32.4;;88.314516;
82106;30/06/2018;0000;5;1.251025;3.08664;74.4;8.63764;;197.2;30.386207;;91.482759;
82106;31/07/2018;0000;36;0.8574;2.05776;129.4;8.373016;;355.2;32.006667;;93.358333;
82106;31/08/2018;0000;5;1.322846;3.08664;172.2;8.021978;;193;32.793548;;86.677419;
82106;30/09/2018;0000;5;1.274408;3.08664;180.5;7.514368;;151.3;33.97931;;85.37931;
82106;31/10/2018;0000;5;1.218999;3.08664;185;7.486413;;119.1;34.503226;;85.395161;
82106;30/11/2018;0000;5;1.188928;3.08664;138.9;7.736111;;396.8;32.993333;;87.65;
82106;31/12/2018;0000;5;1.350123;3;119.4;8.285714;;368.4;31.53871;;93.604839;
82106;31/01/2019;0000;5;1.318681;3;74.6;8.241758;;297.4;31.519355;;89.951613;
82106;28/02/2019;0000;5;1.154762;2;125;8.02381;;188;32.864286;23.8;87.446429;
82106;31/03/2019;0000;5;1.172043;3;163.8;7.548387;;109.8;33.006452;23.751613;87.217742;
82106;30/04/2019;0000;0;0.988764;3;111.8;8.168539;;234;32.051724;23.393333;88.62931;
82106;31/05/2019;0000;0;0.922222;3;129.9;7.5;;645;31.68;23.103333;89.141667;
82106;31/07/2019;0000;0;1.033898;3;108;7.508475;;225.4;31.086667;21.403333;93.266667;
82106;31/08/2019;0000;36;0.879526;2.05776;;6.298387;;214;32.196774;20.73871;91.677419;
82106;30/09/2019;0000;36;0.960288;2.05776;174.5;6.5;;171.7;33.566667;20.313333;91.833333;
