Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude
83441,31/01/2016,0,36,1.595699,4.6,129.4,8.311828,,319.9,31.441934999999997,22.232257999999998,75.032258,"-16.15
","-42.28
"
83441,29/02/2016,0,36,1.251724,4.1,290.6,4.195402,,5.1,33.365517,20.217241,66.318966,"-16.15
","-42.28
"
83441,31/03/2016,0,36,1.5494620000000001,3.5,263.1,5.387097,,4.4,34.064516,20.735484,58.024193999999994,"-16.15
","-42.28
"
83441,30/04/2016,0,36,1.718889,4.5,240.0,4.6666669999999995,,0.0,33.853333,20.18,54.025,"-16.15
","-42.28
"
83441,31/05/2016,0,36,1.5483870000000002,4.6,215.8,4.6666669999999995,,1.0,31.790322999999997,17.670968,56.5,"-16.15
","-42.28
"
83441,30/06/2016,0,36,1.612222,4.8,202.7,4.866667,,8.6,30.35,16.276667,56.683333,"-16.15
","-42.28
"
83441,31/07/2016,0,36,1.605376,4.1,226.7,3.623656,,1.2,29.774194,16.364516000000002,55.709677,"-16.15
","-42.28
"
83441,31/08/2016,0,36,1.8666669999999999,6.5,223.4,5.2258059999999995,,5.0,31.425806,18.135483999999998,51.701613,"-16.15
","-42.28
"
83441,30/09/2016,0,36,2.0055560000000003,4.8,238.7,4.533333,,58.0,32.926667,19.463333,47.525,"-16.15
","-42.28
"
83441,31/10/2016,0,36,1.9483869999999999,4.5,220.6,5.6236559999999995,,46.8,32.916129,20.887097,57.153226000000004,"-16.15
","-42.28
"
83441,30/11/2016,0,36,1.921111,5.0,170.3,7.7555559999999995,,203.2,31.723333,21.41,65.75,"-16.15
","-42.28
"
83441,31/12/2016,0,0,1.22043,4.1,183.6,6.8709679999999995,,102.5,31.235484000000003,20.725806,70.83064499999999,"-16.15
","-42.28
"
83441,31/01/2017,0,0,1.247312,3.6,288.3,4.6666669999999995,,70.9,33.829032,20.593548000000002,55.26612900000001,"-16.15
","-42.28
"
83441,28/02/2017,0,18,1.342857,4.1,170.0,7.7619050000000005,,175.1,31.335714000000003,21.332143,69.89285699999999,"-16.15
","-42.28
"
83441,31/03/2017,0,18,1.563441,3.8,244.0,5.956989,,45.9,33.045161,20.912903,58.991935,"-16.15
","-42.28
"
83441,30/04/2017,0,18,1.258889,3.8,214.9,5.277778,,46.4,31.28,20.476667000000003,65.5,"-16.15
","-42.28
"
83441,31/05/2017,0,14,1.352688,3.5,159.6,6.569891999999999,,4.4,29.567742,19.145160999999998,63.330645,"-16.15
","-42.28
"
83441,30/06/2017,0,18,1.562222,6.0,191.0,4.822222,,0.2,29.683333,17.126667,57.716667,"-16.15
","-42.28
"
83441,31/07/2017,0,18,1.673118,5.6,158.7,6.698925,,7.8,26.264515999999997,15.329032000000002,60.443548,"-16.15
","-42.28
"
83441,31/08/2017,0,0,1.376344,5.8,239.2,3.5376339999999997,,0.0,29.790322999999997,15.332258,60.580645,"-16.15
","-42.28
"
83441,30/09/2017,0,9,2.87,7.4,228.1,5.5,,0.0,30.463333000000002,18.433332999999998,63.675,"-16.15
","-42.28
"
83441,31/10/2017,0,9,2.38172,4.8,260.5,4.784946,,0.0,34.541934999999995,20.729032,63.459677,"-16.15
","-42.28
"
83441,30/11/2017,0,9,1.687356,4.6,154.1,7.766667,,141.1,31.303333000000002,20.92,78.75,"-16.15
","-42.28
"
83441,31/12/2017,0,36,1.302543,4.6,156.4,7.322581,,219.6,30.180645000000002,20.645160999999998,85.403226,"-16.15
","-42.28
"
83441,31/01/2018,0,36,1.498925,5.5,261.0,5.83871,,137.1,33.151613,20.380645,77.258065,"-16.15
","-42.28
"
83441,28/02/2018,0,36,1.2818120000000002,7.3,179.6,7.178571000000001,,311.7,30.625,21.05,86.13392900000001,"-16.15
","-42.28
"
83441,31/03/2018,0,36,1.073118,3.5,218.9,6.365591,,70.4,31.616128999999997,20.729032,86.653226,"-16.15
","-42.28
"
83441,30/04/2018,0,18,1.384444,4.1,177.7,6.844444,,7.6,30.563333,19.496667000000002,80.85,"-16.15
","-42.28
"
83441,31/05/2018,0,18,1.5299639999999999,5.0,184.2,5.55914,,21.0,29.467741999999998,17.696773999999998,78.83064499999999,"-16.15
","-42.28
"
83441,30/06/2018,0,36,1.446667,5.3,182.2,5.6666669999999995,,7.0,29.386667,16.403333,77.925,"-16.15
","-42.28
"
83441,31/07/2018,0,36,1.564516,4.6,240.7,3.150538,,0.7,29.780645,15.422581,73.217742,"-16.15
","-42.28
"
83441,31/08/2018,0,9,1.78172,5.1,222.4,5.258065,,6.5,31.570968,18.609676999999998,68.395161,"-16.15
","-42.28
"
83441,30/09/2018,0,36,2.010481,4.6,240.5,4.266667,,6.5,33.343333,19.216667,63.875,"-16.15
","-42.28
"
83441,31/10/2018,0,36,1.8698919999999999,4.1,210.9,6.215054,,104.0,33.322581,21.180645000000002,70.83870999999999,"-16.15
","-42.28
"
83441,30/11/2018,0,36,1.584444,6.3,137.2,8.455556,,159.7,30.113333,20.956667000000003,84.791667,"-16.15
","-42.28
"
83441,31/12/2018,0,36,1.329032,3.5,178.2,6.677419,,216.8,30.548386999999998,19.874194,87.774194,"-16.15
","-42.28
"
83441,31/01/2019,0,9,1.5430110000000001,4.1,301.4,4.268816999999999,,12.3,33.532258,19.335484,78.572581,"-16.15
","-42.28
"
83441,28/02/2019,0,36,1.547619,4.5,230.1,6.14881,,78.1,35.164286,21.192857,76.79464300000001,"-16.15
","-42.28
"
83441,31/03/2019,0,18,1.524731,4.8,219.5,6.677419,,124.9,33.048387,21.845160999999997,78.620968,"-16.15
","-42.28
"
83441,30/04/2019,0,36,1.095556,3.1,235.7,5.477778,,83.8,32.406667,20.513333,82.216667,"-16.15
","-42.28
"
83441,31/05/2019,0,36,1.348387,3.1,202.1,5.0,,5.4,31.977419,18.590323,79.33064499999999,"-16.15
","-42.28
"
83441,30/06/2019,0,18,1.7677779999999998,4.6,187.5,5.3333330000000005,,3.7,29.793333,16.5,72.883333,"-16.15
","-42.28
"
83441,31/07/2019,0,14,1.8838709999999999,4.6,230.8,4.150538,,3.0,29.370967999999998,14.522581,71.967742,"-16.15
","-42.28
"
83441,31/08/2019,0,14,1.7494619999999999,4.6,185.1,5.752688,,6.8,29.635484,16.767742000000002,70.508065,"-16.15
","-42.28
"
83441,30/09/2019,0,9,2.268966,5.0,232.8,4.172414,,1.0,32.986207,18.375861999999998,57.95535699999999,"-16.15
","-42.28
"
