Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
83229,31/01/2016,0,5,7.135.779.999.999.990,308.664,129.3,6.048.387,,162.5,30.345.161,24.225.806,83.225.806,-13.01,-38.53,Mata Atlântica,692818000.0
83229,29/02/2016,0,0,544.006,154.332,208.2,3.275.862,,40.5,31.264.286,24.362.069,78.663.793,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/03/2016,0,14,647.199,154.332,248.5,2.930.108,,65.5,3.166.129,2.456.129,75.927.419,-13.01,-38.53,Mata Atlântica,692818000.0
83229,30/04/2016,0,14,7.145,2.5722,213.3,4.472.222,,68.7,30.92,23.83,78.866.667,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/05/2016,0,0,723.608,411.552,152.4,5.659.341,,242.2,28.196.667,22.535.484,8.581.666.700.000.000,-13.01,-38.53,Mata Atlântica,692818000.0
83229,30/06/2016,0,18,1.188.928,56.588.400.000.000.000,147.4,50.833.330.000.000.000,,126.2,27.606.667,21.586.667,85.241.667,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/07/2016,0,14,724.641,308.664,195.9,4.395.161,,91.5,27.296.774,21.080.645,82.241.935,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/08/2016,0,14,8.408.049.999.999.990,308.664,187.3,4.865.591,,180.9,27.612.903.000.000.000,21.854.839,81.733.871,-13.01,-38.53,Mata Atlântica,692818000.0
83229,30/09/2016,0,5,754.512,308.664,159.5,5.847.222,,122.3,27.76,21.95,83.083.333,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/10/2016,0,5,1.006.754,308.664,215.6,4.354.839,,74.7,29.606.452,22.983.871,81.217.742,-13.01,-38.53,Mata Atlântica,692818000.0
83229,30/11/2016,0,5,1.148.916,308.664,176.6,4.777.778,,54.5,30.16,23.316.667,79.883.333,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/12/2016,0,5,907.185,2.5722,190.9,4.637.097,,53.3,3.103.871,23.841.935,7.830.645.200.000.000,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/01/2017,0,14,797.849,2.5,256.8,2.967.742,,23.5,32.393.548,23.783.871,7.291.129.000.000.000,-13.01,-38.53,Mata Atlântica,692818000.0
83229,28/02/2017,0,5,680.952,2.5,184.9,5.309.524,,95.8,31.896.429,24.089.286,77.160.714,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/03/2017,0,5,656.989,2.5,203.5,4.849.462,,181.1,30.8,23.641.935,81.072.581,-13.01,-38.53,Mata Atlântica,692818000.0
83229,30/04/2017,0,14,718.889,5.0,166.5,5.4,,152.0,29.133.333,23.641.379,85.45,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/05/2017,0,14,5.924.729.999.999.990,3.3,132.3,6.150.538,,324.3,27.770.968,22.558.065,87.814.516,-13.01,-38.53,Mata Atlântica,692818000.0
83229,30/06/2017,0,14,0.59,2.5,145.6,5.644.444,,105.7,27.236.667,21.553.333,86.65,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/07/2017,0,14,1.789.247,8.3,141.0,616.129,,228.4,25.574.194,19.645.161,86.814.516,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/08/2017,0,14,851.613,5.0,173.4,5.311.828,,67.0,26.154.839.000.000.000,19.977.419,8.566.129.000.000.000,-13.01,-38.53,Mata Atlântica,692818000.0
83229,30/09/2017,0,14,1.125.892,56.588.400.000.000.000,181.7,5.9,,126.1,26.963.333,20.273.333,86.758.333,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/10/2017,0,9,768.894,308.664,188.6,4.005.376,,74.0,29.151.613,21.412.903,84.774.194,-13.01,-38.53,Mata Atlântica,692818000.0
83229,30/11/2017,0,5,966.004,925.992,169.5,4.444.444,,77.3,30.176.667,22.683.333,85.991.667,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/12/2017,0,5,785.489,2.5722,185.8,47.177.419.999.999.900,,83.0,31.367.742,23.216.129,80.024.194,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/01/2018,0,5,779.957,2.5722,225.1,3.642.473,,77.5,31.764.516,23.493.548,79.370.968,-13.01,-38.53,Mata Atlântica,692818000.0
83229,28/02/2018,0,5,747.163,2.5722,180.0,4.464.286,,65.4,31.578.571.000.000.000,23.85,8.026.785.699.999.990,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/03/2018,0,5,80.024,2.5722,189.1,3.875,,188.7,322.125,24.523.077,7.878.125,-13.01,-38.53,Mata Atlântica,692818000.0
83229,30/04/2018,0,14,745.649,308.664,161.2,54.583.330.000.000.000,,240.9,,,,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/05/2018,0,18,907.185,308.664,143.4,5.793.011,,216.8,,,,-13.01,-38.53,Mata Atlântica,692818000.0
83229,30/06/2018,0,14,683.971,308.664,129.0,5.763.889,,176.2,,,,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/07/2018,0,14,591.883,2.5722,169.6,4.852.151,,63.7,,,,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/08/2018,0,14,8.518.680.000.000.000,308.664,189.2,41.440.220.000.000.000,,61.9,,,,-13.01,-38.53,Mata Atlântica,692818000.0
83229,30/09/2018,0,5,1.006.016,308.664,221.3,3.458.333,,90.1,,,,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/10/2018,0,14,967.371,411.552,205.7,4.099.462,,65.6,29.793.333,23.123.333,78.45,-13.01,-38.53,Mata Atlântica,692818000.0
83229,30/11/2018,0,5,8.802.639.999.999.990,308.664,202.3,5.166.667,,72.7,30.053.333,23.493.333,78.891.667,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/12/2018,0,0,48.089,154.332,211.9,4.287.634,,149.0,30.274.194,23.970.968,79.774.194,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/01/2019,0,0,492.073,154.332,267.8,3.172.043,,62.9,31.432.258,24.690.323,75.887.097,-13.01,-38.53,Mata Atlântica,692818000.0
83229,28/02/2019,0,5,912.519,205.776,240.8,2.827.381,,1.5,32.842.857,25.807.143,7.520.535.699.999.990,-13.01,-38.53,Mata Atlântica,692818000.0
83229,31/03/2019,0,14,8.436.819.999.999.990,205.776,,4.35,,278.9,,25.2,,-13.01,-38.53,Mata Atlântica,692818000.0
83229,30/04/2019,0,14,64.305,154.332,,4.471.154,,228.7,,25.046.667.000.000.000,,-13.01,-38.53,Mata Atlântica,692818000.0
