Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
83936,31/01/2016,0,14,2.150538,5.8,243.7,5.258065,,101.9,31.503226,20.787097,74.508065,-29.7,-53.7,Pampa,1779556000.0
83936,29/02/2016,0,14,1.8517240000000001,4.5,212.6,5.701149,,96.5,31.386207000000002,21.275862,80.836207,-29.7,-53.7,Pampa,1779556000.0
83936,31/03/2016,0,14,2.083871,8.1,167.7,6.431818,,195.7,27.083871000000002,17.883871,83.774194,-29.7,-53.7,Pampa,1779556000.0
83936,30/04/2016,0,14,2.040257,6.17328,109.9,7.852941,,137.7,26.666666999999997,18.673333,83.175,-29.7,-53.7,Pampa,1779556000.0
83936,31/05/2016,0,14,1.698205,11.317680000000001,89.2,7.367647,,68.4,18.651613,11.03871,87.741935,-29.7,-53.7,Pampa,1779556000.0
83936,30/06/2016,0,14,1.194644,3.6010800000000005,133.2,5.030864,,5.3,16.973333,6.6,84.55,-29.7,-53.7,Pampa,1779556000.0
83936,31/07/2016,0,14,2.0743549999999997,9.77436,163.7,6.321839,,95.3,19.748387,10.0,82.459677,-29.7,-53.7,Pampa,1779556000.0
83936,31/08/2016,0,14,1.792243,8.23104,182.7,5.3125,,123.2,22.806452,10.883871000000001,80.282258,-29.7,-53.7,Pampa,1779556000.0
83936,30/09/2016,0,14,2.194944,5.6588400000000005,216.5,5.0,,53.0,22.4,10.42,75.81666700000002,-29.7,-53.7,Pampa,1779556000.0
83936,31/10/2016,0,14,2.5390099999999998,6.68772,192.8,6.236413,,376.6,24.948387,14.851613,76.790323,-29.7,-53.7,Pampa,1779556000.0
83936,30/11/2016,0,14,2.052044,6.17328,240.4,5.097222,,160.8,27.966666999999998,15.606667000000002,68.758333,-29.7,-53.7,Pampa,1779556000.0
83936,31/12/2016,0,14,2.301151,7.7166,234.0,5.564516,,134.4,30.941934999999997,19.606451999999997,69.741935,-29.7,-53.7,Pampa,1779556000.0
83936,31/01/2017,0,14,1.8526880000000001,4.3,215.8,6.655914,,207.2,30.929032,20.43871,81.322581,-29.7,-53.7,Pampa,1779556000.0
83936,28/02/2017,0,14,1.6702380000000001,6.3,193.0,6.8095240000000015,,220.1,30.764286,20.957143,83.10714300000002,-29.7,-53.7,Pampa,1779556000.0
83936,31/03/2017,0,14,2.2118279999999997,8.0,215.6,5.602151,,222.8,28.8,18.122581,79.91935500000002,-29.7,-53.7,Pampa,1779556000.0
83936,30/04/2017,0,14,2.0966669999999996,7.1,174.5,5.466667,,106.3,25.086667000000002,15.06,80.216667,-29.7,-53.7,Pampa,1779556000.0
83936,31/05/2017,0,14,1.7301080000000002,6.0,97.6,7.537634,,272.5,21.864516000000002,13.916129000000002,89.991935,-29.7,-53.7,Pampa,1779556000.0
83936,30/06/2017,0,14,1.9375,8.6,135.2,6.133333,,124.2,21.193333,12.286667,82.583333,-29.7,-53.7,Pampa,1779556000.0
83936,31/07/2017,0,14,2.013978,7.1,226.6,4.0,,14.7,23.909677,10.761289999999999,75.354839,-29.7,-53.7,Pampa,1779556000.0
83936,31/08/2017,0,14,2.186022,9.3,183.3,5.2258059999999995,,246.5,23.277419000000002,12.077419,79.451613,-29.7,-53.7,Pampa,1779556000.0
83936,30/09/2017,0,14,2.45,10.0,121.0,7.255555999999999,,131.5,25.8,16.326667,81.116667,-29.7,-53.7,Pampa,1779556000.0
83936,31/10/2017,0,14,2.3311830000000002,5.8,175.2,7.204300999999999,,243.2,24.974194,15.393548000000001,76.33064499999998,-29.7,-53.7,Pampa,1779556000.0
83936,30/11/2017,0,14,2.2833330000000003,8.5,269.6,3.7111110000000003,,70.0,28.066667,14.82,66.975,-29.7,-53.7,Pampa,1779556000.0
83936,31/12/2017,0,14,2.376344,6.6,262.2,4.3333330000000005,,83.9,30.941934999999997,19.206452,70.709677,-29.7,-53.7,Pampa,1779556000.0
83936,31/01/2018,0,14,1.9870970000000001,6.6,240.7,5.419355,,122.2,30.329032,19.883871,75.217742,-29.7,-53.7,Pampa,1779556000.0
83936,28/02/2018,0,14,1.913095,4.6,238.6,5.119048,,108.9,29.871429,18.385714,78.16964300000002,-29.7,-53.7,Pampa,1779556000.0
83936,31/03/2018,0,14,1.631183,5.1,220.9,5.3763440000000005,,167.6,28.909677000000002,17.341935,78.887097,-29.7,-53.7,Pampa,1779556000.0
83936,30/04/2018,0,14,1.525556,5.5,180.6,5.888889,,167.6,28.766666999999998,18.513333,83.5,-29.7,-53.7,Pampa,1779556000.0
83936,31/05/2018,0,14,1.691398,5.0,136.3,6.0322580000000015,,59.9,22.167742,13.587097,86.241935,-29.7,-53.7,Pampa,1779556000.0
83936,30/06/2018,0,14,1.638889,8.0,112.6,6.733333,,150.6,17.673333,7.866667,88.258333,-29.7,-53.7,Pampa,1779556000.0
83936,31/07/2018,0,14,1.8752689999999999,5.0,97.0,7.236559,,147.0,18.064516,9.922581,88.064516,-29.7,-53.7,Pampa,1779556000.0
83936,31/08/2018,0,14,1.8021509999999998,5.0,146.8,5.483871,,128.1,18.767742000000002,8.625805999999999,86.225806,-29.7,-53.7,Pampa,1779556000.0
