Latitude  (graus) : -29.7
Longitude (graus) : -53.7
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83936;31/01/2016;0000;14;2.150538;5.8;243.7;5.258065;;101.9;31.503226;20.787097;74.508065;
83936;29/02/2016;0000;14;1.851724;4.5;212.6;5.701149;;96.5;31.386207;21.275862;80.836207;
83936;31/03/2016;0000;14;2.083871;8.1;167.7;6.431818;;195.7;27.083871;17.883871;83.774194;
83936;30/04/2016;0000;14;2.040257;6.17328;109.9;7.852941;;137.7;26.666667;18.673333;83.175;
83936;31/05/2016;0000;14;1.698205;11.31768;89.2;7.367647;;68.4;18.651613;11.03871;87.741935;
83936;30/06/2016;0000;14;1.194644;3.60108;133.2;5.030864;;5.3;16.973333;6.6;84.55;
83936;31/07/2016;0000;14;2.074355;9.77436;163.7;6.321839;;95.3;19.748387;10;82.459677;
83936;31/08/2016;0000;14;1.792243;8.23104;182.7;5.3125;;123.2;22.806452;10.883871;80.282258;
83936;30/09/2016;0000;14;2.194944;5.65884;216.5;5;;53;22.4;10.42;75.816667;
83936;31/10/2016;0000;14;2.53901;6.68772;192.8;6.236413;;376.6;24.948387;14.851613;76.790323;
83936;30/11/2016;0000;14;2.052044;6.17328;240.4;5.097222;;160.8;27.966667;15.606667;68.758333;
83936;31/12/2016;0000;14;2.301151;7.7166;234;5.564516;;134.4;30.941935;19.606452;69.741935;
83936;31/01/2017;0000;14;1.852688;4.3;215.8;6.655914;;207.2;30.929032;20.43871;81.322581;
83936;28/02/2017;0000;14;1.670238;6.3;193;6.809524;;220.1;30.764286;20.957143;83.107143;
83936;31/03/2017;0000;14;2.211828;8;215.6;5.602151;;222.8;28.8;18.122581;79.919355;
83936;30/04/2017;0000;14;2.096667;7.1;174.5;5.466667;;106.3;25.086667;15.06;80.216667;
83936;31/05/2017;0000;14;1.730108;6;97.6;7.537634;;272.5;21.864516;13.916129;89.991935;
83936;30/06/2017;0000;14;1.9375;8.6;135.2;6.133333;;124.2;21.193333;12.286667;82.583333;
83936;31/07/2017;0000;14;2.013978;7.1;226.6;4;;14.7;23.909677;10.76129;75.354839;
83936;31/08/2017;0000;14;2.186022;9.3;183.3;5.225806;;246.5;23.277419;12.077419;79.451613;
83936;30/09/2017;0000;14;2.45;10;121;7.255556;;131.5;25.8;16.326667;81.116667;
83936;31/10/2017;0000;14;2.331183;5.8;175.2;7.204301;;243.2;24.974194;15.393548;76.330645;
83936;30/11/2017;0000;14;2.283333;8.5;269.6;3.711111;;70;28.066667;14.82;66.975;
83936;31/12/2017;0000;14;2.376344;6.6;262.2;4.333333;;83.9;30.941935;19.206452;70.709677;
83936;31/01/2018;0000;14;1.987097;6.6;240.7;5.419355;;122.2;30.329032;19.883871;75.217742;
83936;28/02/2018;0000;14;1.913095;4.6;238.6;5.119048;;108.9;29.871429;18.385714;78.169643;
83936;31/03/2018;0000;14;1.631183;5.1;220.9;5.376344;;167.6;28.909677;17.341935;78.887097;
83936;30/04/2018;0000;14;1.525556;5.5;180.6;5.888889;;167.6;28.766667;18.513333;83.5;
83936;31/05/2018;0000;14;1.691398;5;136.3;6.032258;;59.9;22.167742;13.587097;86.241935;
83936;30/06/2018;0000;14;1.638889;8;112.6;6.733333;;150.6;17.673333;7.866667;88.258333;
83936;31/07/2018;0000;14;1.875269;5;97;7.236559;;147;18.064516;9.922581;88.064516;
83936;31/08/2018;0000;14;1.802151;5;146.8;5.483871;;128.1;18.767742;8.625806;86.225806;
83936;30/09/2018;0000;14;2.315556;6.6;138.5;6.444444;;240;23.753333;15.09;84.575;
83936;31/10/2018;0000;14;2.704301;7;205.1;6.301075;;101.5;25.393548;15.348387;75.935484;
83936;30/11/2018;0000;14;2.161111;5.3;238.3;4.866667;;245.1;28.82;17.74;71.566667;
83936;31/12/2018;0000;14;2.076136;5.3;257.8;5.225806;;176.2;30.032258;18.703226;71.733871;
83936;31/01/2019;0000;9;2.2;9;163.9;7.16129;;266.1;30.83871;21.890323;81.532258;
83936;28/02/2019;0000;14;1.875;4.1;226.1;5.095238;;83.4;29.957143;19.146429;76.955357;
83936;31/03/2019;0000;14;1.82043;5;222.7;5.16129;;136.3;28.129032;17.206452;78.733871;
83936;30/04/2019;0000;14;1.601111;5;151.9;6.744444;;210.4;26.366667;17.253333;85.516667;
83936;31/05/2019;0000;14;1.688028;6.1;110.9;7.88172;;260.2;22.529032;15.374194;90.5;
83936;30/06/2019;0000;14;2.021111;10;130.1;7.188889;;34.3;24.353333;14.153333;80.033333;
83936;31/07/2019;0000;14;1.651613;14.3;143.4;6.021505;;174;18.56129;8.825806;85.282258;
83936;31/08/2019;0000;14;2.424731;11.1;196.6;4.655914;;91.3;21.425806;9.587097;79.233871;
83936;30/09/2019;0000;14;2.215556;10;185.3;4.811111;;89.8;22.54;10.98;77.683333;
