Latitude  (graus) : -33.51
Longitude (graus) : -53.35
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83997;31/01/2016;0000;14;;;265.4;4.537634;;45.6;28.054839;19.364516;74.145161;
83997;29/02/2016;0000;9;;;246.8;4.344828;;101.4;28.741379;20.013793;75.534483;
83997;31/03/2016;0000;14;;;177.5;5.569892;;153.1;24.890323;17.532258;80.024194;
83997;30/04/2016;0000;14;;;97.9;7.333333;;406;21.796667;16.88;86.1;
83997;31/05/2016;0000;23;;;107.5;6.841398;;65.1;16.793548;10.509677;85.879032;
83997;30/06/2016;0000;23;;;115;5.397059;;30.4;14.113333;7.786667;86.541667;
83997;31/07/2016;0000;23;;;134.4;5.978261;;167.5;15.729032;9.074194;87.701613;
83997;31/08/2016;0000;0;;;152.5;5.906593;;109.5;17.522581;10.090323;83.677419;
83997;30/09/2016;0000;23;;;147.1;6.811798;;98.8;17.426667;10.303333;83.45;
83997;31/10/2016;0000;9;;;184.6;5.94086;;80.4;20.706452;13.435484;81.677419;
83997;30/11/2016;0000;14;;;241.2;4.444444;;93.6;24.25;14.586667;73.491667;
83997;31/12/2016;0000;5;;;251.7;4.045699;;107.6;27.058065;17.516129;74.056452;
83997;31/01/2017;0000;5;;;258.8;4.365591;;54;27.929032;19.229032;77.040323;
83997;28/02/2017;0000;14;;;204.2;4.97619;;117;28.853571;20.764286;81.205357;
83997;31/03/2017;0000;9;;;220.5;4.247312;;70.7;26.067742;17.358065;76.395161;
83997;30/04/2017;0000;5;;;163.8;4.733333;;84.5;23.156667;14.98;77.975;
83997;31/05/2017;0000;0;;;122.3;6.419355;;105.4;20.580645;13.041935;85.741935;
83997;30/06/2017;0000;23;;;152.1;4.377778;;47.2;19.06;9.856667;82.525;
83997;31/07/2017;0000;5;;;146.3;5.655914;;73.4;18.993548;11.416129;83.975806;
83997;31/08/2017;0000;5;;;146.9;5.623656;;164.2;18.648387;11.006452;83.33871;
83997;30/09/2017;0000;14;;;119.7;6.988889;;188;20;13.67;85.508333;
83997;31/10/2017;0000;14;;;199.6;5.860215;;155.2;21.990323;13.390323;74.951613;
83997;30/11/2017;0000;14;;;270.7;4.077778;;19.1;24.303333;13.443333;67.733333;
83997;31/12/2017;0000;5;;;263;4.311828;;12.3;27.764516;17.883871;71.41129;
83997;31/01/2018;0000;14;;;286.8;4.44086;;108.4;28.803226;18.948387;70.927419;
83997;28/02/2018;0000;5;;;244.9;4.178571;;46.2;27.825;17.903571;72.0625;
83997;31/03/2018;0000;14;;;235.5;3.55914;;49.8;26.296774;15.83871;75.491935;
83997;30/04/2018;0000;14;;;147.4;6.344444;;115.2;26.16;18.546667;82.508333;
83997;31/05/2018;0000;5;;;136.5;5.032258;;45.8;20.829032;12.922581;82.935484;
83997;30/06/2018;0000;27;;;128.1;5.111111;;68;15.333333;7.35;84.35;
83997;31/07/2018;0000;0;;;70.2;7.602151;;195.1;14.667742;8.870968;86.362903;
83997;31/08/2018;0000;23;;;139.2;5.784946;;103.4;16.445161;8.603226;83.951613;
83997;30/09/2018;0000;14;;;140.6;6.355556;;103;20.4;13.313333;82.541667;
83997;31/10/2018;0000;14;;;227;4.645161;;81.2;20.935484;12.470968;77.274194;
83997;30/11/2018;0000;14;;;220.7;5.066667;;79.8;24.79;16.093333;73.975;
83997;31/12/2018;0000;14;;;247.3;5.204301;;143.9;25.532258;16.116129;76.870968;
83997;31/01/2019;0000;14;;;206.2;6.107527;;230;27.848387;20.122581;79.685484;
83997;28/02/2019;0000;14;;;231.4;3.785714;;84.1;27.85;18.421429;72.133929;
83997;31/03/2019;0000;14;;;;4.870968;;77.1;25.612903;17.548387;77.427419;
83997;30/04/2019;0000;14;;;;4.9;;37.1;24.133333;15.3;78.408333;
83997;31/05/2019;0000;14;;;;5.806452;;114.7;20.732258;13;82.790323;
83997;30/06/2019;0000;0;;;;6.444444;;239.6;19.483333;11.606667;85.55;
83997;31/07/2019;0000;0;;;;5.182796;;103.7;15.990323;8.116129;82.483871;
83997;31/08/2019;0000;23;;;;5.322581;;190.8;16.367742;7.819355;82.629032;
83997;30/09/2019;0000;9;;;;4.333333;;86.7;18.743333;9.073333;77.291667;
