Latitude  (graus) : -21.96
Longitude (graus) : -47.86
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83726;31/01/2016;0000;5;1.222222;5;140;7.911111;;463.4;28.156667;19.356667;80.275;
83726;29/02/2016;0000;9;1.163265;3;;7.102041;;191.1;30.196;20.012;;
83726;31/03/2016;0000;;;;;;;0;;;;
83726;30/04/2016;0000;0;0.848077;3;;2.538462;;10.4;29.304;17.791667;;
83726;31/05/2016;0000;9;1.557692;5;;5.019231;;135.6;24.573077;14.757692;;
83726;30/06/2016;0000;9;1.223077;5;;4.596154;;101.7;23.211538;12.276;;
83726;31/07/2016;0000;9;1.132075;3;;2.603774;;2.5;26.3;12.95;;
83726;31/08/2016;0000;9;1.603774;5;;2.849057;;22;27.237037;13.936;;
83726;30/09/2016;0000;9;1.788462;7;;3.615385;;26.3;28.5;15.546154;;
83726;31/10/2016;0000;9;1.634615;5;;5.5;;131.6;28.911538;16.704762;;
83726;30/11/2016;0000;9;1.75;9;;6.673077;;120.1;28.511538;18.396154;;
83726;31/12/2016;0000;9;1.537037;6;;7.222222;;178.2;29.859259;18.915385;;
83726;31/01/2017;0000;9;1.019231;3;;8.846154;;173;28.534615;19.98;;
83726;28/02/2017;0000;9;1.425532;5;;5.659574;;141.3;30.552174;19.663636;;
83726;31/03/2017;0000;;2;5;;;;6.8;;;;
83726;30/04/2017;0000;9;1.764706;5;;5.235294;;160.3;27.28;17.608333;;
83726;31/05/2017;0000;9;1.037736;5;;4.415094;;93.5;25.733333;15.807407;;
83726;30/06/2017;0000;;1.08;3;;;;8.4;;;;
83726;31/07/2017;0000;9;1.44898;5;;1.959184;;0;23.916;12.088;;
83726;31/08/2017;0000;9;1.777778;7;;3.685185;;14.5;25.848148;14.422222;;
83726;30/09/2017;0000;9;2.307692;5;;1.615385;;34;30.626923;17.512;;
83726;31/10/2017;0000;9;1.884615;7;;6.192308;;105.1;30.153846;18.75;;
83726;30/11/2017;0000;9;2.076923;7;;5.846154;;158;28.792308;17.896154;;
83726;31/12/2017;0000;;1.62069;5;;;;65.8;;;;
83726;31/01/2018;0000;9;1.4;5;;7.58;;172.3;28.892308;19.38;;
83726;28/02/2018;0000;14;1.73913;5;;6.478261;;127.9;28.282609;18.741667;;
83726;31/03/2018;0000;;1.428571;3;;;;127.3;;;;
83726;30/04/2018;0000;9;1.307692;4;;4.519231;;3.6;27.726923;16.988462;;
83726;31/05/2018;0000;9;1.294118;3;;3.019608;;8.2;26.524;14.778261;;
83726;30/06/2018;0000;9;1.254902;5;;5.117647;;0.1;25.696154;14.957692;;
83726;31/07/2018;0000;0;1.288462;5;;3.134615;;3.4;26.888462;13.083333;;
83726;31/08/2018;0000;14;1.611111;5;;4.351852;;80.4;25.559259;14.085185;;
83726;30/09/2018;0000;9;1.772549;4;;4.490196;;41.3;27.588;15.545833;;
83726;31/10/2018;0000;9;1.733962;5;;6.924528;;238.7;28.692593;18.844444;;
83726;30/11/2018;0000;9;2.096154;5;;7.153846;;84.8;27.496154;18.480769;;
83726;31/12/2018;0000;;1.392857;5;;;;24.3;;;;
83726;31/01/2019;0000;9;1.314815;5;;6.402778;;125.6;31.22963;20.186957;;
83726;28/02/2019;0000;9;1.541667;5;;7.270833;;141.8;28.579167;19.386957;;
83726;31/03/2019;0000;;1.25752;3;;;;106.2;;;;
83726;30/04/2019;0000;9;1.490196;3;;4.529412;;23;28.965385;18.195652;;
83726;31/05/2019;0000;9;1.277778;5;;5.166667;;32.2;26.744444;15.896;;
83726;30/06/2019;0000;9;1.490196;7;;3.117647;;2.8;25.36;14.42;;
83726;31/07/2019;0000;9;1.716981;7;;3.943396;;34;24.722222;12.570833;;
83726;31/08/2019;0000;9;1.888889;7;;3.833333;;7.8;26.814815;14.248148;;
83726;30/09/2019;0000;9;2.08;7;;3.78;;48;29.92;18.164;;
