Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
82668,31/01/2016,0,5.0,1.241935,2.0,,8.870968,,236.0,30.835484,23.686667,,-6.63,-51.96,Amazônia,84212426000.0
82668,29/02/2016,0,5.0,1.465517,3.0,,6.982759,,60.5,33.02069,23.907692,,-6.63,-51.96,Amazônia,84212426000.0
82668,31/03/2016,0,5.0,1.274194,3.0,,8.564516000000001,,220.6,31.651613,23.148387,,-6.63,-51.96,Amazônia,84212426000.0
82668,30/04/2016,0,5.0,1.316667,3.0,,7.35,,82.4,32.855171999999996,23.356667,,-6.63,-51.96,Amazônia,84212426000.0
82668,31/05/2016,0,,1.420455,4.0,,,,26.0,33.238095,23.613332999999997,,-6.63,-51.96,Amazônia,84212426000.0
82668,30/06/2016,0,,1.363636,2.0,,,,61.3,33.609091,,,-6.63,-51.96,Amazônia,84212426000.0
82668,31/07/2016,0,,1.452381,2.0,,,,0.0,35.009524,22.728571,,-6.63,-51.96,Amazônia,84212426000.0
82668,31/08/2016,0,5.0,1.4565219999999999,2.0,,4.326087,,14.6,36.547826,22.834782999999998,,-6.63,-51.96,Amazônia,84212426000.0
82668,30/09/2016,0,5.0,1.342857,3.0,,6.777778,,70.4,33.038095,22.795238,,-6.63,-51.96,Amazônia,84212426000.0
82668,30/11/2016,0,32.0,1.2861,3.08664,,7.524038000000001,,79.9,33.6,23.163158,80.65,-6.63,-51.96,Amazônia,84212426000.0
82668,31/12/2016,0,32.0,1.149685,3.0,,8.283088000000001,,203.0,31.759090999999998,22.718182000000002,84.60714300000002,-6.63,-51.96,Amazônia,84212426000.0
82668,31/01/2017,0,5.0,1.15625,3.0,,8.203125,,162.5,31.759090999999998,22.568182,84.590909,-6.63,-51.96,Amazônia,84212426000.0
82668,28/02/2017,0,32.0,1.3,3.0,,8.983333,,340.0,30.845,22.03,85.425,-6.63,-51.96,Amazônia,84212426000.0
82668,31/03/2017,0,32.0,1.1594200000000001,2.0,,8.202899,,394.6,31.991304,22.665217000000002,85.663043,-6.63,-51.96,Amazônia,84212426000.0
82668,30/04/2017,0,5.0,1.229508,2.0,,7.6721309999999985,,181.8,31.868421,22.78,84.97619,-6.63,-51.96,Amazônia,84212426000.0
82668,31/05/2017,0,5.0,1.338235,3.0,,5.117647,,62.0,33.743478,23.317391,79.673913,-6.63,-51.96,Amazônia,84212426000.0
82668,31/07/2017,0,5.0,1.612903,3.0,,2.225806,,0.0,,,,-6.63,-51.96,Amazônia,84212426000.0
82668,31/08/2017,0,5.0,1.521739,3.0,,4.8840580000000005,,57.0,,,,-6.63,-51.96,Amazônia,84212426000.0
82668,30/09/2017,0,5.0,1.421875,3.0,,4.28125,,25.2,,,,-6.63,-51.96,Amazônia,84212426000.0
82668,31/10/2017,0,5.0,1.329231,3.0,,6.507692,,152.0,,,,-6.63,-51.96,Amazônia,84212426000.0
82668,30/11/2017,0,5.0,1.259091,3.0,,7.969697,,133.2,,,,-6.63,-51.96,Amazônia,84212426000.0
82668,31/12/2017,0,5.0,1.145313,2.1,,8.921875,,285.6,,,,-6.63,-51.96,Amazônia,84212426000.0
82668,31/01/2018,0,5.0,1.21781,2.0,,8.010869999999999,,250.8,,,,-6.63,-51.96,Amazônia,84212426000.0
82668,28/02/2018,0,32.0,1.233333,3.0,,8.616667,,490.1,,,,-6.63,-51.96,Amazônia,84212426000.0
82668,31/03/2018,0,32.0,1.203125,2.0,,7.78125,,174.0,,,,-6.63,-51.96,Amazônia,84212426000.0
82668,30/04/2018,0,5.0,1.2096770000000001,2.0,,7.7419350000000025,,273.4,31.161904999999997,21.180951999999998,85.92857099999998,-6.63,-51.96,Amazônia,84212426000.0
82668,31/05/2018,0,5.0,1.242424,2.0,,5.196969999999999,,90.2,32.409091,21.740909,84.897727,-6.63,-51.96,Amazônia,84212426000.0
82668,30/06/2018,0,5.0,1.407813,3.0,,2.328125,,0.0,34.071428999999995,20.014286,77.82142900000002,-6.63,-51.96,Amazônia,84212426000.0
82668,31/07/2018,0,5.0,1.3692309999999999,3.0,,3.230769,,14.8,35.785714,18.552381,75.261364,-6.63,-51.96,Amazônia,84212426000.0
82668,30/09/2018,0,32.0,1.380702,3.0,,7.219828,,123.8,,20.947368,77.425,-6.63,-51.96,Amazônia,84212426000.0
82668,31/10/2018,0,5.0,1.397059,3.0,,7.117647,,201.8,,21.426087,78.88043499999998,-6.63,-51.96,Amazônia,84212426000.0
82668,30/11/2018,0,5.0,1.383333,3.0,,8.516667,,308.2,,21.08,79.475,-6.63,-51.96,Amazônia,84212426000.0
82668,31/12/2018,0,5.0,1.228333,3.0,,8.516667,,230.4,,21.04,80.7125,-6.63,-51.96,Amazônia,84212426000.0
82668,31/01/2019,0,5.0,1.333333,7.0,,8.333333,,376.2,,20.881818,80.204545,-6.63,-51.96,Amazônia,84212426000.0
82668,28/02/2019,0,5.0,1.2676290000000001,2.0,,9.141667,,267.9,,20.895,80.675,-6.63,-51.96,Amazônia,84212426000.0
82668,31/03/2019,0,5.0,1.303279,2.0,,8.213115,,403.6,,20.835,81.8,-6.63,-51.96,Amazônia,84212426000.0
82668,30/04/2019,0,5.0,1.241935,2.0,,8.145161,,274.7,,22.361905,84.809524,-6.63,-51.96,Amazônia,84212426000.0
82668,31/05/2019,0,5.0,1.272727,2.0,,5.848485,,26.2,,21.890909,80.75,-6.63,-51.96,Amazônia,84212426000.0
82668,30/06/2019,0,,,,,,,40.0,,,,-6.63,-51.96,Amazônia,84212426000.0
82668,31/07/2019,0,5.0,1.4264709999999998,3.0,,3.8823529999999997,,14.6,,19.304348,75.521739,-6.63,-51.96,Amazônia,84212426000.0
82668,31/08/2019,0,5.0,1.5223879999999999,3.0,,3.80597,,44.8,,20.104545,73.511364,-6.63,-51.96,Amazônia,84212426000.0
82668,30/09/2019,0,5.0,1.532258,3.0,,4.693548000000002,,115.6,,21.747619,75.36904799999998,-6.63,-51.96,Amazônia,84212426000.0
