Latitude  (graus) : -6.63
Longitude (graus) : -51.96
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82668;31/01/2016;0000;5;1.241935;2;;8.870968;;236;30.835484;23.686667;;
82668;29/02/2016;0000;5;1.465517;3;;6.982759;;60.5;33.02069;23.907692;;
82668;31/03/2016;0000;5;1.274194;3;;8.564516;;220.6;31.651613;23.148387;;
82668;30/04/2016;0000;5;1.316667;3;;7.35;;82.4;32.855172;23.356667;;
82668;31/05/2016;0000;;1.420455;4;;;;26;33.238095;23.613333;;
82668;30/06/2016;0000;;1.363636;2;;;;61.3;33.609091;;;
82668;31/07/2016;0000;;1.452381;2;;;;0;35.009524;22.728571;;
82668;31/08/2016;0000;5;1.456522;2;;4.326087;;14.6;36.547826;22.834783;;
82668;30/09/2016;0000;5;1.342857;3;;6.777778;;70.4;33.038095;22.795238;;
82668;30/11/2016;0000;32;1.2861;3.08664;;7.524038;;79.9;33.6;23.163158;80.65;
82668;31/12/2016;0000;32;1.149685;3;;8.283088;;203;31.759091;22.718182;84.607143;
82668;31/01/2017;0000;5;1.15625;3;;8.203125;;162.5;31.759091;22.568182;84.590909;
82668;28/02/2017;0000;32;1.3;3;;8.983333;;340;30.845;22.03;85.425;
82668;31/03/2017;0000;32;1.15942;2;;8.202899;;394.6;31.991304;22.665217;85.663043;
82668;30/04/2017;0000;5;1.229508;2;;7.672131;;181.8;31.868421;22.78;84.97619;
82668;31/05/2017;0000;5;1.338235;3;;5.117647;;62;33.743478;23.317391;79.673913;
82668;31/07/2017;0000;5;1.612903;3;;2.225806;;0;;;;
82668;31/08/2017;0000;5;1.521739;3;;4.884058;;57;;;;
82668;30/09/2017;0000;5;1.421875;3;;4.28125;;25.2;;;;
82668;31/10/2017;0000;5;1.329231;3;;6.507692;;152;;;;
82668;30/11/2017;0000;5;1.259091;3;;7.969697;;133.2;;;;
82668;31/12/2017;0000;5;1.145313;2.1;;8.921875;;285.6;;;;
82668;31/01/2018;0000;5;1.21781;2;;8.01087;;250.8;;;;
82668;28/02/2018;0000;32;1.233333;3;;8.616667;;490.1;;;;
82668;31/03/2018;0000;32;1.203125;2;;7.78125;;174;;;;
82668;30/04/2018;0000;5;1.209677;2;;7.741935;;273.4;31.161905;21.180952;85.928571;
82668;31/05/2018;0000;5;1.242424;2;;5.19697;;90.2;32.409091;21.740909;84.897727;
82668;30/06/2018;0000;5;1.407813;3;;2.328125;;0;34.071429;20.014286;77.821429;
82668;31/07/2018;0000;5;1.369231;3;;3.230769;;14.8;35.785714;18.552381;75.261364;
82668;30/09/2018;0000;32;1.380702;3;;7.219828;;123.8;;20.947368;77.425;
82668;31/10/2018;0000;5;1.397059;3;;7.117647;;201.8;;21.426087;78.880435;
82668;30/11/2018;0000;5;1.383333;3;;8.516667;;308.2;;21.08;79.475;
82668;31/12/2018;0000;5;1.228333;3;;8.516667;;230.4;;21.04;80.7125;
82668;31/01/2019;0000;5;1.333333;7;;8.333333;;376.2;;20.881818;80.204545;
82668;28/02/2019;0000;5;1.267629;2;;9.141667;;267.9;;20.895;80.675;
82668;31/03/2019;0000;5;1.303279;2;;8.213115;;403.6;;20.835;81.8;
82668;30/04/2019;0000;5;1.241935;2;;8.145161;;274.7;;22.361905;84.809524;
82668;31/05/2019;0000;5;1.272727;2;;5.848485;;26.2;;21.890909;80.75;
82668;30/06/2019;0000;;;;;;;40;;;;
82668;31/07/2019;0000;5;1.426471;3;;3.882353;;14.6;;19.304348;75.521739;
82668;31/08/2019;0000;5;1.522388;3;;3.80597;;44.8;;20.104545;73.511364;
82668;30/09/2019;0000;5;1.532258;3;;4.693548;;115.6;;21.747619;75.369048;
