Latitude  (graus) : -8.35
Longitude (graus) : -42.25
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82879;31/01/2016;0000;9;1.303226;4.3;132.1;7.080645;;312.4;31.23871;23.425806;79.322581;
82879;29/02/2016;0000;14;2.062069;5;254.9;3.505747;;57.6;33.303448;22.875862;63.638889;
82879;31/03/2016;0000;9;1.939549;4.62996;267.5;4.247312;;70.7;35.654839;23.825806;59.919355;
82879;30/04/2016;0000;9;2.144819;5.1444;282.5;3.442029;;2.4;36.423333;24.22069;55.348214;
82879;31/05/2016;0000;14;2.478163;5.1444;282.2;2.620968;;0;36.393548;24.56129;46.403226;
82879;30/06/2016;0000;14;2.806556;6.17328;306.3;2.375;;0;35.18;22.78;46.191667;
82879;31/07/2016;0000;14;2.88197;6.17328;318.2;1.612903;;0;34.196667;22.625806;42.725806;
82879;31/08/2016;0000;14;3.008356;6.17328;330;1.046196;;0;35.47;23.16129;40.040323;
82879;30/09/2016;0000;14;2.907453;5.65884;298.5;2.44382;;5.8;36.406667;24.56;40.491379;
82879;31/10/2016;0000;14;2.610921;5.1444;306.3;3.145161;;13.2;37.229032;25.780645;40.991935;
82879;30/11/2016;0000;14;2.631331;5.65884;257.9;4.255618;;24.5;37.103333;25.44;45.344828;
82879;31/12/2016;0000;9;1.883963;4.62996;229.4;5.63172;;89.2;34.996774;24.48;55.46875;
82879;31/01/2017;0000;14;1.706452;5.3;258.2;4.612903;;31.7;36.187097;24.219355;58.935484;
82879;28/02/2017;0000;14;1.456098;4;145.8;6.261905;;288.8;32.282143;23.164286;65.142857;
82879;31/03/2017;0000;32;;4.11552;226.9;5.777778;;79.2;32.741935;23.03871;65.862903;
82879;30/04/2017;0000;9;2.163333;5.3;261;4.366667;;33.2;34.49;23.573333;54.966667;
82879;31/05/2017;0000;14;2.902174;5.5;249.8;4.225806;;1.2;35.36129;24.129032;52.608333;
82879;30/06/2017;0000;14;3.188889;5.4;280;2.855556;;1.8;34.273333;23.32;48.183333;
82879;31/07/2017;0000;14;4.141935;7.6;280.6;3.397849;;0;32.206452;22.193548;48.282258;
82879;31/08/2017;0000;14;3.243011;6.6;333.4;1.548387;;0;35.222581;23.43871;45.08871;
82879;30/09/2017;0000;14;4.071111;6.6;320.1;2.477778;;0;34.573333;23.386667;48.608333;
82879;31/10/2017;0000;9;2.878495;6;331.5;2.419355;;0;37.335484;25.925806;48.177419;
82879;30/11/2017;0000;5;2.207778;5;246.1;4.9;;97.8;35.85;24.626667;56.858333;
82879;31/12/2017;0000;5;2.229032;5;222.5;5.903226;;41.6;35.329032;23.858065;57.887097;
82879;31/01/2018;0000;5;1.698387;5.8;194.9;5.741935;;55.2;34.625806;23.270968;67.870968;
82879;28/02/2018;0000;23;1.729762;5;131.1;7.071429;;279.2;31.703571;23.028571;77.339286;
82879;31/03/2018;0000;23;1.315054;4;183.6;6.184783;;234.6;31.219355;23.025806;79.604839;
82879;30/04/2018;0000;14;1.69;5;225.7;5.255556;;52.7;31.196667;22.266667;72.775;
82879;31/05/2018;0000;9;2.267742;5.5;283.9;3;;4.1;34.096774;22.251613;62.8;
82879;30/06/2018;0000;9;2.517778;6;301.7;2.422222;;1.7;34.286667;22.426667;49.475;
82879;31/07/2018;0000;9;2.711828;5.5;313.9;1.741935;;0;34.216129;22.464516;46.41129;
82879;31/08/2018;0000;14;2.350538;5.4;328.2;1.473118;;0;35.777419;22.941935;43.274194;
82879;30/09/2018;0000;9;2.51;5;315.5;2.122222;;0;37.323333;25.2;45.216667;
82879;31/10/2018;0000;5;1.832258;5;285.2;3.182796;;29.5;36.977419;24.858065;54.733871;
82879;30/11/2018;0000;14;1.885393;4.8;243.7;5.066667;;32.2;36.533333;25.566667;53.791667;
82879;31/12/2018;0000;14;1.296774;4.8;216.8;5.784946;;166.3;32.916129;22.606452;65.201613;
82879;31/01/2019;0000;14;1.040323;3.4;230;4.451613;;55.2;35.56129;22.683871;62.193548;
82879;28/02/2019;0000;5;1.118191;3.60108;179.8;5.803571;;153;33.110714;22.914286;74.196429;
82879;31/03/2019;0000;14;1.277803;3.60108;239.8;5.295699;;81;32.43871;23.280645;75.58871;
82879;30/04/2019;0000;14;1.520456;4.11552;232.4;5.166667;;121.5;32.923333;22.966667;73.975;
82879;31/05/2019;0000;14;1.731395;5.1444;259;3.897849;;60.1;34.880645;22.193548;61.370968;
82879;30/06/2019;0000;14;3.641271;6.17328;234.7;3.230769;;0.4;34.576923;23.053571;50.317308;
82879;31/07/2019;0000;;;;;;;0;;;;
82879;31/08/2019;0000;14;2.505513;5.65884;266.3;1.25;;0;34.555556;22.981481;43.62963;
82879;30/09/2019;0000;14;2.595064;5.65884;;0.583333;;0;37.263636;24.026087;42.409091;
