Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
83781,31/01/2016,0,14,2.811.538,5.8,139.9,8.320.513,,175.9,27.929.032,1.916.129,77.129.032,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,29/02/2016,0,5,2.378.082,5.0,151.5,8.260.274,,275.1,29.817.241,20.555.172,76.077.586,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,31/03/2016,0,32,25.526.880.000.000.000,5.8,179.8,8.462.366.000.000.000,,256.6,28.548.387,19.2,77.467.742,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,30/04/2016,0,14,21.533.330.000.000.000,5.0,234.4,5.133.333,,2.4,29.456.667,18.966.667,66.333.333,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,31/05/2016,0,18,2.392.473,5.0,130.1,788.172,,105.7,22.887.097,14.283.871,76.362.903,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,30/06/2016,0,18,2.166.667,5.0,163.6,68.333.330.000.000.000,,206.8,20.94,10.98,77.9,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,31/07/2016,0,14,2.365.591,6.6,208.3,5.0,,6.4,2.393.871,12.554.839,64.129.032,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,31/08/2016,0,14,2.453.763,5.3,164.3,6.688.172,,82.4,24.341.935,13.035.484,68.120.968,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,30/09/2016,0,14,2.901.111,7.1,164.5,7.377.778,,22.2,24.693.103,14.272.414,72.325,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,31/10/2016,0,14,2.771.233,5.0,175.4,8.041.096.000.000.000,,104.1,26.458.065,16.174.194,77.185.484,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,30/11/2016,0,14,2.992.222,5.3,150.5,8.244.444,,166.8,26.516.667,16.4,74.95,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,31/12/2016,0,14,2.841.935,10.0,206.6,7.655.914,,165.4,29.680.645,18.270.968,68.814.516,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,31/01/2017,0,32,2.145.313,4.6,118.7,8.984.375,,454.0,28.219.355,19.093.548,81.791.667,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,28/02/2017,0,14,2.345.238,5.6,217.5,65.833.330.000.000.000,,127.3,30.475,19.614.286,6.754.464.300.000.000,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,31/03/2017,0,14,2.666.667,5.0,169.8,8.021.505,,160.4,27.341.935,17.764.516,7.541.129.000.000.000,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,30/04/2017,0,14,2.741.111,5.8,131.0,8.333.333,,143.1,24.896.667,17.036.667,78.45,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,31/05/2017,0,14,2.233.333,5.0,136.9,772.043,,153.4,23.141.935,15.609.677,79.983.871,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,30/06/2017,0,14,2.296.667,5.8,160.9,6.177.778,,102.9,22.793.333,14.163.332.999.999.900,75.508.333,-23.5,-46.61,Mata Atlântica,248222362000.0
83781,31/07/2017,0,14,2.472.043,6.1,200.5,527.957,,0.8,22.229.032,12.306.452,7.030.645.200.000.000,-23.5,-46.61,Mata Atlântica,248222362000.0
