Latitude  (graus) : -21.48
Longitude (graus) : -47.55
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83669;31/01/2016;0000;0;0.741935;3;147.1;7.419355;;423.9;30.574194;19.280645;77.66129;
83669;29/02/2016;0000;0;0.390805;2;168.4;6.091954;;224.9;32.672414;19.231034;76.051724;
83669;31/03/2016;0000;0;0.580645;3;188.6;5.817204;;165.1;31.574194;18.035484;75.604839;
83669;30/04/2016;0000;0;0.488889;2;253.3;2.4;;1.7;32.436667;15.383333;63.316667;
83669;31/05/2016;0000;0;0.655914;3;194.8;4.483871;;105.3;28.045161;12.562963;70.016129;
83669;30/06/2016;0000;0;0.533333;3;171.2;3.922222;;142.5;25.973333;;71.6;
83669;31/07/2016;0000;0;0.639785;3;267;1.860215;;0.5;29.064516;;59.209677;
83669;31/08/2016;0000;0;0.733333;3;228.1;2.774194;;43.2;29.641935;;56.935484;
83669;30/09/2016;0000;0;0.693333;3;236.4;3.377778;;9.9;32.31;;53.166667;
83669;31/10/2016;0000;0;1.139785;3;209.4;5.182796;;53.2;32.658065;;62.548387;
83669;30/11/2016;0000;0;0.788889;4;166.2;6.455556;;127.7;31.253333;;71.791667;
83669;31/12/2016;0000;0;0.718489;4.11552;192.8;6.483871;;145.9;32.558065;;73.467742;
83669;31/01/2017;0000;0;0.527957;3;138.6;7.333333;;296;30.745161;;76.774194;
83669;28/02/2017;0000;0;0.702381;3;239.3;4.214286;;143;32.675;;68.0625;
83669;31/03/2017;0000;0;0.666667;5;232.8;4.731183;;135.9;31.980645;;68.879032;
83669;30/04/2017;0000;0;0.811111;3;199.1;4.733333;;77;30.24;;71.65;
83669;31/05/2017;0000;0;0.591398;3;208.8;4.462366;;69.4;28.129032;;73.83871;
83669;30/06/2017;0000;0;0.755556;3;227.3;2.855556;;13;27.236667;;69.7;
83669;31/07/2017;0000;9;1.075269;3;266.2;1.774194;;0;26.574194;10.945161;56.669355;
83669;31/08/2017;0000;0;1.032258;3;216.3;3.322581;;19.4;29.683871;13.525806;56.258065;
83669;30/09/2017;0000;0;0.914444;3;267.7;1.511111;;9.6;33.373333;15.93;40.133333;
83669;31/10/2017;0000;0;0.827957;5;194;5.580645;;90.4;33.125806;18.419355;58.508065;
83669;30/11/2017;0000;0;0.8;3;180.2;5.922222;;175.7;31.046667;17.626667;68.883333;
83669;31/12/2017;0000;0;0.698925;2;165.4;6.182796;;151.2;31.287097;17.864516;73.427419;
83669;31/01/2018;0000;0;0.591398;2;140;7.623656;;256.4;31.370968;18.132258;76.516129;
83669;28/02/2018;0000;0;0.77381;3;151;5.952381;;133.2;31.221429;17.307143;73.919643;
83669;31/03/2018;0000;0;0.44086;3;232;4.473118;;149;32.796774;18.551613;73.395161;
83669;30/04/2018;0000;9;0.777778;3;228.4;3.555556;;17.2;30.393333;15.813333;67.95;
83669;31/05/2018;0000;0;0.655914;3;227.5;2.451613;;17.6;28.93871;11.796774;63.814516;
83669;30/06/2018;0000;0;0.566667;3;178.6;4.544444;;17.4;28.866667;12.11;66.075;
83669;31/07/2018;0000;0;0.462366;3;256.8;2.247312;;2.4;29.63871;9.109677;56.758065;
83669;31/08/2018;0000;0;0.954839;3.8;211.9;4.172043;;40.2;28.812903;11.141935;61.16129;
83669;30/09/2018;0000;14;0.944444;3;185.8;4.144444;;76.1;30.9;13.376667;59.491667;
83669;31/10/2018;0000;0;0.731183;3;169.1;6.16129;;150.2;31.206452;15.716129;71.548387;
83669;30/11/2018;0000;0;0.855556;3;133.5;6.6;;252.3;29.95;16.136667;75.233333;
83669;31/12/2018;0000;0;0.634409;3;222.5;5.107527;;134.6;32.887097;15.496774;68.403226;
83669;31/01/2019;0000;0;0.505376;3;227.1;4.827957;;67.7;33.954839;16.332258;68.556452;
83669;28/02/2019;0000;0;0.666667;3;151.4;6.583333;;309;31.978571;15.585714;74.642857;
83669;31/03/2019;0000;0;0.602151;3;204.7;5.473118;;147.1;31.712903;15.43871;75.798387;
83669;30/04/2019;0000;0;0.533333;2;221.2;4.233333;;152.3;31.303333;13.736364;74.05;
83669;31/05/2019;0000;0;0.483871;3;208.4;4.430108;;33.1;29.535484;;74.991935;
83669;30/06/2019;0000;0;0.82;3.6;244.5;2.211111;;9.6;28.333333;;66.341667;
83669;31/07/2019;0000;0;0.870968;5;240.3;3.11828;;19.5;27.8;11.312903;58.008065;
83669;31/08/2019;0000;0;1.053763;5;216;3.053763;;7.1;29.603226;13.429032;56.314516;
83669;30/09/2019;0000;0;0.895556;3.6;221.9;3.088889;;64.1;33.896667;17.513333;55.291667;
