Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
82690,31/01/2016,0,9,1.924.731,6.0,176.8,7.096.774.000.000.000,,234.9,33.980.645,23.893.548.000.000.000,72.709.677,-6.46,-37.08,Caatinga,1228583000.0
82690,29/02/2016,0,9,2.398.851,7.2,253.6,6.275.862,,128.4,34.582.759,23.134.483,67.268.519,-6.46,-37.08,Caatinga,1228583000.0
82690,31/03/2016,0,14,2.793.478,7.0,263.0,6.434.783,,74.7,36.389.655,24.258.065,66.05,-6.46,-37.08,Caatinga,1228583000.0
82690,30/04/2016,0,9,2.398.726,7.202.160.000.000.000,225.8,6.188.953,,98.7,33.886.207,23.632.143,67.284.483,-6.46,-37.08,Caatinga,1228583000.0
82690,31/05/2016,0,9,2.773.503,823.104,248.9,4.714.674,,22.7,35.545.161,23.635.484,59.395.161,-6.46,-37.08,Caatinga,1228583000.0
82690,30/06/2016,0,9,3.271.607,823.104,254.2,3.876.404,,21.9,35.051.724,22.49,58.775.862,-6.46,-37.08,Caatinga,1228583000.0
82690,31/07/2016,0,9,4.298.063,823.104,269.4,35.483.870.000.000.000,,0.0,34.687.096.999.999.900,21.854.839,5.492.741.899.999.990,-6.46,-37.08,Caatinga,1228583000.0
82690,31/08/2016,0,9,4.036.375,874.548,294.6,2.898.352,,0.0,3.550.333.300.000.000,21.84,52.95,-6.46,-37.08,Caatinga,1228583000.0
82690,30/09/2016,0,9,4.676.202,925.992,303.4,34.971.910.000.000.000,,3.4,36.563.333,22.948.276,55.966.667,-6.46,-37.08,Caatinga,1228583000.0
82690,31/10/2016,0,9,4.234.237,874.548,287.8,4.340.659,,0.0,3.722.069.000.000.000,23.43,56.181.034,-6.46,-37.08,Caatinga,1228583000.0
82690,30/11/2016,0,9,4.555.583,874.548,273.9,4.345.238,,0.0,37.282.143,23.95,50.401.786,-6.46,-37.08,Caatinga,1228583000.0
82690,31/12/2016,0,9,4.193.804,7.202.160.000.000.000,241.8,5.516.304,,7.1,37.093.548,24.403.226,50.556.452,-6.46,-37.08,Caatinga,1228583000.0
82690,31/01/2017,0,9,3.849.462,7.0,262.6,5.913.978,,17.1,37.296.774,24.706.452,55.25,-6.46,-37.08,Caatinga,1228583000.0
82690,28/02/2017,0,9,3.202.381,7.0,221.8,6.785.714,,216.7,35.960.714,23.696.429,63.633.929,-6.46,-37.08,Caatinga,1228583000.0
82690,31/03/2017,0,9,25.161.290.000.000.000,5.0,229.8,7.580.645,,172.8,3.433.871,23.458.065,76.870.968,-6.46,-37.08,Caatinga,1228583000.0
82690,30/04/2017,0,14,2.611.111,7.0,235.5,6.6,,131.0,34.466.667,23.323.333,68.925,-6.46,-37.08,Caatinga,1228583000.0
82690,31/05/2017,0,14,3.150.538,7.0,229.7,6.247.312,,49.9,3.521.612.899.999.990,23.464.516,6.197.580.600.000.000,-6.46,-37.08,Caatinga,1228583000.0
82690,30/06/2017,0,14,3.9,7.0,203.0,5.155.556,,11.0,33.97,22.403.333,61.982.759,-6.46,-37.08,Caatinga,1228583000.0
82690,31/07/2017,0,14,3.718.869,7.0,,5.514.085,,14.0,32.421.739,21.604.167,61.695.652,-6.46,-37.08,Caatinga,1228583000.0
82690,31/08/2017,0,9,3.045.977,7.0,268.3,2.931.034,,1.6,35.213.333,21.848.276,50.275.862,-6.46,-37.08,Caatinga,1228583000.0
82690,30/09/2017,0,14,3.744.444,7.0,277.1,3.766.667,,0.0,35.08,22.41,47.025,-6.46,-37.08,Caatinga,1228583000.0
82690,31/10/2017,0,9,3.505.376,7.0,300.5,4.548.387,,0.0,36.396.774,23.635.484,49.282.258,-6.46,-37.08,Caatinga,1228583000.0
82690,30/11/2017,0,9,22.555.560.000.000.000,9.0,294.4,4.455.556,,0.0,37.293.333,23.8,49.791.667,-6.46,-37.08,Caatinga,1228583000.0
82690,31/12/2017,0,9,2.205.376,7.0,258.9,5.505.376,,0.0,37.203.226,24.190.323,47.508.065,-6.46,-37.08,Caatinga,1228583000.0
