Latitude  (graus) : -11.63
Longitude (graus) : -38.96
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83190;31/01/2016;0000;;;;149.5;7.744565;;253.6;;22.287097;74.806452;
83190;29/02/2016;0000;;;;229.9;5.862069;;50.5;;21.851724;66.12931;
83190;31/03/2016;0000;;;;243.8;5.591398;;2.4;;22.367742;62.08871;
83190;30/04/2016;0000;;;;213.9;5.972222;;32.8;;21.826667;66.766667;
83190;31/05/2016;0000;;;;151.4;7.36413;;99.6;;20.867742;79.104839;
83190;30/06/2016;0000;;;;147.5;7.236111;;43.3;;19.886667;84.591667;
83190;31/07/2016;0000;;;;188.1;6.733871;;45.3;;18.822581;82.564516;
83190;31/08/2016;0000;;;;178.9;5.900538;;34.7;;19.003333;77.653226;
83190;30/09/2016;0000;;;;182.6;6.930556;;28.9;;19.933333;76.891667;
83190;31/10/2016;0000;;;;229.8;6.397849;;14.8;;21.451613;73.540323;
83190;30/11/2016;0000;;;;199.8;6.348315;;110.2;;21.723333;74.425;
83190;31/12/2016;0000;;;;208.2;6.491935;;34.9;;22.33871;75.443548;
83190;28/02/2017;0000;;;;181.1;7.457831;;2;;22.278571;71.142857;
83190;31/03/2017;0000;;;;204.4;7.344086;;46.6;;22.658065;74.580645;
83190;30/04/2017;0000;;;;165.1;7.629213;;30.2;;22.316667;82.575;
83190;31/05/2017;0000;;;;133.2;7.451613;;64.1;;21.106452;86.032258;
83190;30/06/2017;0000;;;;126.5;7.155556;;52;;20.089655;87.933333;
83190;31/07/2017;0000;;;;123.8;7.173913;;65.2;;18.129032;88.943548;
83190;31/08/2017;0000;;;;137.6;7.322581;;9.4;;18.719355;82.846774;
83190;30/09/2017;0000;;;;113.9;8.088889;;80;;19.083333;87.291667;
83190;31/10/2017;0000;;;;214.2;6.25;;25.7;;20.2;75.830645;
83190;30/11/2017;0000;;;;158.7;6.833333;;47.3;;21.696667;76.008333;
83190;31/12/2017;0000;;;;183.1;6.86828;;31.9;;22.425806;74.967742;
83190;28/02/2018;0000;;;;173.7;6.942771;;19.7;;22.960714;70.598214;
83190;31/03/2018;0000;;;;201.6;7.069892;;89.1;;23.183871;74.959677;
83190;30/04/2018;0000;;;;155.9;6.972222;;111.8;;21.79;80.066667;
83190;31/05/2018;0000;;;;142;6.827957;;90.1;;20.893548;88.717742;
83190;30/06/2018;0000;;;;118.7;7.569444;;109.9;;20.13;89.833333;
83190;31/07/2018;0000;;;;177.5;5.981183;;6.3;;19.33871;83.112903;
83190;31/08/2018;0000;;;;155.6;6.787634;;35.5;;19.157143;81.596774;
83190;30/09/2018;0000;;;;217;5.805556;;13.8;;19.936667;73.266667;
83190;31/10/2018;0000;;;;204.5;6.021505;;45.5;;21.309677;72.298387;
83190;30/11/2018;0000;;;;181.1;6.769663;;20.2;;21.84;74.325;
83190;31/12/2018;0000;;;;212.9;6.626344;;100.3;;21.829032;72.83871;
83190;31/01/2019;0000;;;;;;;2;;;;
83190;28/02/2019;0000;;;;231.5;6.490964;;34.1;;23.664286;68.294643;
83190;31/03/2019;0000;;;;220.5;6.494565;;117.6;;23.37;75.991935;
83190;30/04/2019;0000;;;;216.5;6.833333;;41.6;;22.87;82.858333;
83190;31/05/2019;0000;;;;182.2;6.586022;;52.8;;22.177419;84.653226;
83190;30/06/2019;0000;;;;122.7;7.949438;;109.6;;20.03;91.2;
83190;31/07/2019;0000;;;;131.3;7.19086;;73.1;;19.190323;90.096774;
83190;31/08/2019;0000;;;;145.6;6.344086;;57.7;;18.577419;87.217742;
83190;30/09/2019;0000;;;;167.1;6.474719;;58.9;;19.856667;83.891667;
