Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
83851,31/01/2016,0,14.0,1.095238,3.0,168.1,6.650794,,205.1,29.413793,20.37,77.44642900000002,-23.48,-47.43,Mata Atlântica,450382000.0
83851,29/02/2016,0,0.0,0.743243,3.0,172.4,7.8378380000000005,,141.1,31.272414,21.265517000000006,77.767241,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/03/2016,0,0.0,0.9462370000000001,5.0,193.0,6.1075269999999975,,208.4,30.312903000000002,20.251613,76.645161,-23.48,-47.43,Mata Atlântica,450382000.0
83851,30/04/2016,0,0.0,0.722222,3.0,240.4,2.988889,,23.4,30.896666999999997,19.263333,68.991667,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/05/2016,0,0.0,0.8526879999999999,3.0,160.1,5.354839,,126.1,24.441935,15.132257999999998,77.467742,-23.48,-47.43,Mata Atlântica,450382000.0
83851,30/06/2016,0,0.0,0.755556,3.0,174.4,4.733333,,181.3,22.876667,11.525,79.325,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/07/2016,0,,0.659091,4.0,,,,0.0,27.3125,13.0,69.734375,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/08/2016,0,0.0,0.758065,2.0,216.0,3.3225809999999996,,67.2,26.151613,13.354839000000002,77.387097,-23.48,-47.43,Mata Atlântica,450382000.0
83851,30/09/2016,0,9.0,1.2181819999999999,4.0,158.0,3.854545,,76.2,26.596,14.915999999999999,75.460526,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/10/2016,0,14.0,1.225806,4.0,230.4,5.591398000000001,,174.4,28.390323,17.493548,70.33870999999999,-23.48,-47.43,Mata Atlântica,450382000.0
83851,30/11/2016,0,9.0,1.3,3.0,186.6,6.322222,,75.4,28.51,18.07,72.55833299999998,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/12/2016,0,36.0,1.172159,3.08664,211.4,6.6102149999999975,,145.8,30.990322999999997,19.412903,72.822581,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/01/2017,0,0.0,0.65,3.0,129.1,8.953125,,255.9,29.91,20.945161,84.383333,-23.48,-47.43,Mata Atlântica,450382000.0
83851,28/02/2017,0,0.0,0.877193,3.0,,5.263158,,242.5,32.028571,20.635,71.833333,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/03/2017,0,0.0,0.755102,2.0,159.2,4.591837,,147.6,29.233333000000002,19.368,76.5,-23.48,-47.43,Mata Atlântica,450382000.0
83851,30/04/2017,0,,,,,,,92.8,,,,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/05/2017,0,0.0,0.24193499999999998,1.0,177.1,5.0322580000000015,,167.7,25.216129000000002,15.858065,85.709677,-23.48,-47.43,Mata Atlântica,450382000.0
83851,30/06/2017,0,0.0,0.47169799999999995,2.0,155.4,3.981132,,189.4,24.292593,14.47037,83.59259300000002,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/07/2017,0,0.0,0.491803,2.0,225.2,2.709677,,0.0,24.545161,11.980644999999999,75.451613,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/08/2017,0,0.0,0.6290319999999999,2.0,194.3,4.33871,,55.3,25.538710000000002,13.954839000000002,75.80645200000002,-23.48,-47.43,Mata Atlântica,450382000.0
83851,30/09/2017,0,0.0,0.75,3.0,266.7,1.633333,,15.4,30.82,16.24,63.75,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/10/2017,0,0.0,0.775806,3.0,185.8,7.548387,,111.7,28.98064500000001,18.112903,74.870968,-23.48,-47.43,Mata Atlântica,450382000.0
83851,30/11/2017,0,9.0,0.85,2.0,199.3,6.533333,,162.7,29.386667,17.58,73.8,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/12/2017,0,0.0,0.77551,2.0,167.6,6.938776,,156.8,30.975,19.283333,76.75,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/01/2018,0,0.0,0.701754,2.0,130.9,9.105263,,170.5,30.665516999999998,20.203448,80.551724,-23.48,-47.43,Mata Atlântica,450382000.0
83851,28/02/2018,0,14.0,0.8214290000000001,2.0,185.9,5.696429,,9.3,30.35,19.196429000000002,74.464286,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/03/2018,0,0.0,0.459016,2.0,204.7,6.147541,,203.1,32.678261,20.406451999999998,80.870968,-23.48,-47.43,Mata Atlântica,450382000.0
83851,30/04/2018,0,,0.517241,1.0,,,,43.5,,,,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/05/2018,0,0.0,0.561404,2.0,208.4,3.5964910000000003,,14.5,26.958621,14.848276,75.92857099999998,-23.48,-47.43,Mata Atlântica,450382000.0
83851,30/06/2018,0,0.0,0.36206900000000003,1.0,137.2,6.172414,,20.6,25.613792999999998,14.3,77.35714300000002,-23.48,-47.43,Mata Atlântica,450382000.0
83851,31/07/2018,0,0.0,0.321429,2.0,201.9,3.714286,,10.1,26.8,13.053571,73.67857099999998,-23.48,-47.43,Mata Atlântica,450382000.0
