Latitude  (graus) : -7.83
Longitude (graus) : -35.71
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82797;31/01/2016;0000;14;2.908065;3.6;191.2;6.66129;;108.1;30.4;21.390323;82.16129;
82797;29/02/2016;0000;14;3.225862;6.3;247.1;5.741379;;31.6;30.741379;21.048276;79.142857;
82797;31/03/2016;0000;9;3.390913;7.7166;236.8;5.429348;;31.8;32.045161;21.425806;75.379032;
82797;30/04/2016;0000;14;3.450794;6.68772;219.6;5.870787;;73.9;30.693333;21.331034;76.133333;
82797;31/05/2016;0000;14;2.859844;5.65884;184.4;5.739247;;99.8;28.629032;20.677419;81.491935;
82797;30/06/2016;0000;9;2.932308;5.65884;214.9;5.222222;;45.5;28.29;19.8;79.358333;
82797;31/07/2016;0000;14;3.171438;6.68772;230.2;5.230978;;12.9;29.06129;18.86129;75.306452;
82797;31/08/2016;0000;14;3.108766;6.68772;244.6;4.959677;;9.4;29.735484;19.051613;70.854839;
82797;30/09/2016;0000;14;3.040398;5.65884;262.9;4.985955;;3.7;30.57;20.241379;69.841667;
82797;31/10/2016;0000;14;3.103235;7.7166;273.8;4.462366;;0.2;31.896774;21.109677;67.153226;
82797;30/11/2016;0000;9;2.749593;5.1444;249.8;4.626437;;0.6;32.196552;21.573333;66.568966;
82797;31/12/2016;0000;14;2.773503;7.20216;242.6;5.122283;;4.6;32.754839;21.713333;66.951613;
82797;31/01/2017;0000;9;2.848387;3.3;284.2;5.919355;;7.5;32.654839;21.790323;77.1;
82797;28/02/2017;0000;9;3.698214;5;240.5;5.553571;;4.3;32.514286;22.207143;71.785714;
82797;31/03/2017;0000;9;3.047312;6.6;227.3;5.763441;;12.5;32.645161;22.56129;70.298387;
82797;30/04/2017;0000;14;2.911111;5;229;5.333333;;79.7;30.66;22.226667;75.025862;
82797;31/05/2017;0000;14;2.476344;5;175.7;5.935484;;64.2;29.148387;21.56129;78.870968;
82797;30/06/2017;0000;14;2.694444;6;176.6;6.144444;;86.1;26.62;20.573333;84.475;
82797;31/07/2017;0000;14;2.55914;5.5;103;7.483871;;138.6;25.129032;18.932258;87.483333;
82797;31/08/2017;0000;14;2.330108;4.1;219.1;5.892473;;13.9;27.354839;18.554839;80.677419;
82797;30/09/2017;0000;14;3.81;8;232.2;5.888889;;18.9;28.86;18.923333;74.841667;
82797;31/10/2017;0000;9;4.015054;7.5;246.3;5.946237;;6.6;30.406452;20.13871;71.516129;
82797;30/11/2017;0000;9;3.563333;7;250.8;5.011111;;6.1;31.73;20.916667;70.883333;
82797;31/12/2017;0000;9;3.566667;7.3;253.2;4.924731;;9.2;32.554839;21.641935;71.145161;
82797;31/01/2018;0000;9;2.877419;5.8;233.7;6.032258;;15.8;31.667742;21.790323;78.7;
82797;28/02/2018;0000;9;3.335714;5.5;219.8;6.035714;;59.6;30.703571;21.832143;81.071429;
82797;31/03/2018;0000;9;3.106452;7.5;226.8;6.075269;;124.9;30.46129;21.596774;79.370968;
82797;30/04/2018;0000;14;2.998889;5.3;167.4;6.822222;;223.1;28.406667;21.24;85.641667;
82797;31/05/2018;0000;14;3.158065;6.6;207.4;6.107527;;72.5;27.696774;20.051613;84.379032;
82797;30/06/2018;0000;14;3.403333;7.1;208.3;5.455556;;35.8;27.76;18.666667;81.086207;
82797;31/07/2018;0000;14;3.508602;7.1;203.2;5.784946;;14.9;28.287097;18.109677;79.733871;
82797;31/08/2018;0000;14;3.768817;8.3;246.8;5.16129;;9.3;29.980645;18.696774;73.209677;
82797;30/09/2018;0000;14;3.958889;6.6;241.9;5.088889;;3;30.48;19.323333;73.2;
82797;31/10/2018;0000;9;4.001075;7.8;278.5;5.247312;;0.4;32.283871;20.574194;70.080645;
82797;30/11/2018;0000;9;4.278889;7.2;253.3;5.333333;;9.6;32.31;21.243333;73.293103;
82797;31/12/2018;0000;9;4.011828;6.6;257.2;5.677419;;18.7;32.522581;21.4;75.112903;
82797;31/01/2019;0000;9;3.188333;5;238.7;5.916667;;11.8;32.563333;21.643333;81.833333;
82797;28/02/2019;0000;9;3.426519;5.65884;213.4;6.272321;;34.1;32.332143;22.635714;78.321429;
82797;31/03/2019;0000;14;3.292416;8.23104;184.6;5.944444;;82.2;31.896667;22.451613;77.275;
82797;30/04/2019;0000;9;3.069492;5.1444;213.7;5.416667;;47.2;31.27;22.196667;78.483333;
82797;31/05/2019;0000;14;3.440663;6.68772;215.2;5.349462;;35.2;30.812903;21.48;76.096774;
82797;30/06/2019;0000;14;3.427606;6.68772;167.9;5.872093;;115.6;28.621429;19.868966;79.267857;
82797;31/07/2019;0000;9;3.113716;5.65884;133.2;6.496711;;129.1;26.128;19.323077;86.66;
82797;31/08/2019;0000;14;3.254392;6.17328;174;6.902174;;65.3;25.954839;18.696667;85.201613;
82797;30/09/2019;0000;14;3.514377;6.68772;214.8;5.533708;;22.4;28.303448;19.19;79.405172;
