Latitude  (graus) : -6
Longitude (graus) : -40.41
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82683;31/01/2016;0000;9;2.032258;5;;6.451613;;273.6;31.33871;21.509677;75.2;
82683;29/02/2016;0000;14;1.948276;5;;5.241379;;26.2;33.303448;21.024138;68.928571;
82683;31/03/2016;0000;14;1.583333;6;;5.754098;;90.9;32.876667;21.709677;73.666667;
82683;30/04/2016;0000;14;1.882884;5.1444;;4.762712;;43;32.193333;21.1;73.766667;
82683;31/05/2016;0000;14;1.858622;5.1444;;4.435484;;34.8;32.622581;20.574194;69.83871;
82683;30/06/2016;0000;14;2.623644;7.20216;;3.229167;;0.4;33.476667;19.993333;59.8;
82683;31/08/2016;0000;14;2.428831;7.20216;;1.946721;;0;34.303226;20.319355;51.741935;
82683;30/09/2016;0000;14;2.194944;6.17328;;3.25;;0;35.203333;21.503333;52.533333;
82683;31/10/2016;0000;14;2.422846;7.20216;;2.883065;;0;35.57;21.954839;49.870968;
82683;30/11/2016;0000;14;2.40072;8.23104;;2.854167;;0;35.356667;22.173333;51.466667;
82683;31/12/2016;0000;9;2.115842;6.17328;;4.475806;;33.6;33.722581;22.196774;61.193548;
82683;31/01/2017;0000;9;2.080645;6;;5.548387;;42.2;33.76129;22.248387;66.066667;
82683;28/02/2017;0000;18;1.75;4;;5.982143;;78.3;32.260714;21.682143;72.142857;
82683;31/03/2017;0000;5;1.677419;4;;6.548387;;178.8;30.019355;20.687097;83.419355;
82683;30/04/2017;0000;14;1.85;6;;5.3;;31.2;32.033333;20.59;77.533333;
82683;31/05/2017;0000;14;2.306452;7;;4.548387;;19;32.719355;21.245161;70.354839;
82683;30/06/2017;0000;14;2.85;7;;3.516667;;19;32.22;20.713333;66;
82683;31/08/2017;0000;14;2.47377;7;;3.016393;;0;34.483871;21.277419;57.903226;
82683;30/09/2017;0000;14;2.966667;7;;2.583333;;0;34.523333;22.07;55.133333;
82683;31/10/2017;0000;14;2.612903;7;;3.467742;;4;35.509677;22.680645;56.870968;
82683;30/11/2017;0000;9;2.368333;7;;3.75;;0;35.05;22.64;59.766667;
82683;31/12/2017;0000;9;2.435484;6;;3.870968;;51.1;34.483871;22.819355;69.7;
82683;31/01/2018;0000;9;2.451613;8;;6.5;;11.1;33.712903;22.5;70.322581;
82683;28/02/2018;0000;9;2.053571;6;;6.857143;;227.7;31.460714;21.746429;79.357143;
82683;31/03/2018;0000;;;;;;;18.9;;;;
82683;30/04/2018;0000;18;1.694915;6;;6.135593;;110.3;29.824138;20.056667;81.62069;
82683;31/05/2018;0000;14;2.145161;6;;4.290323;;7.3;31.635484;19.093548;66.645161;
82683;30/06/2018;0000;18;2.433333;7;;2.883333;;2.8;32.463333;19.206667;55;
82683;31/07/2018;0000;14;2.437097;7;;3.177419;;3.4;32.941935;19.358065;50.7;
82683;31/08/2018;0000;14;2.322581;6;;2.596774;;1.7;34.229032;20.580645;47.387097;
82683;30/09/2018;0000;14;2.483333;7;;2.85;;0;35.153333;21.86;47.133333;
82683;31/10/2018;0000;9;2.695161;7;;3.645161;;10.7;35.216129;22.016129;50;
82683;30/11/2018;0000;14;2.366667;6;;3.683333;;18;35.043333;22.416667;49.633333;
82683;31/12/2018;0000;18;1.983871;6;;5.467742;;124.1;32.073333;20.364516;71.483871;
82683;31/01/2019;0000;9;2.080645;6;;5.83871;;58.9;32.477419;20.880645;69.966667;
82683;28/02/2019;0000;14;2.107143;5;;7.053571;;32.7;32.867857;21.171429;72.035714;
82683;31/03/2019;0000;14;2.272561;5.1444;;6.387097;;163.7;32.303226;21.048387;71.774194;
82683;30/04/2019;0000;23;1.660648;3.08664;;6.644737;;140.8;31.017857;20.737931;83.214286;
82683;31/05/2019;0000;14;2.157329;7.20216;179.5;4.677419;;23.2;32.164516;20.080645;72.612903;
82683;30/06/2019;0000;;;;;;;0;;;;
82683;31/07/2019;0000;14;2.789848;6.17328;201.3;4.615385;;3.8;32.542308;19.837037;62.461538;
82683;31/08/2019;0000;14;2.754743;7.20216;294;2.560484;;3;33.525806;19.980645;53.741935;
82683;30/09/2019;0000;14;2.31498;7.20216;290;3.4375;;0.5;35.266667;20.89;50.866667;
