Latitude  (graus) : -29.35
Longitude (graus) : -49.73
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83948;31/01/2016;0000;9;1.548387;6;192.4;6.322581;;69.1;27.593548;20.522581;84.741935;
83948;29/02/2016;0000;0;0.977011;4;186.5;6.505747;;88.3;28.6;21.268966;85.068966;
83948;31/03/2016;0000;0;1.752688;9;185.2;5.430108;;217.8;27.567742;19.56129;82.217742;
83948;30/04/2016;0000;0;1.439469;6.17328;160.9;7.35;;295.3;26.746667;20.17;84.741667;
83948;31/05/2016;0000;0;1.294397;6.17328;138;6.69837;;31.2;20.429032;12.358065;86.177419;
83948;30/06/2016;0000;0;0.983152;8.23104;155.2;4.455128;;14.5;16.89;7.56;83.158333;
83948;31/07/2016;0000;0;1.559915;7.20216;185.4;5.201149;;123.7;18.345161;9.835484;84.717742;
83948;31/08/2016;0000;0;1.515662;7.20216;164;5.353261;;80;20.277419;11.564516;86.225806;
83948;30/09/2016;0000;18;2.537904;9.25992;221.4;4.801136;;53.8;21.2;12.85;80.8;
83948;31/10/2016;0000;5;2.998134;9.25992;147.3;7.083333;;215.5;21.883871;15.822581;84.758065;
83948;30/11/2016;0000;5;3.280984;8.23104;264.3;5.097222;;72.5;25.206667;16.873333;75.616667;
83948;31/12/2016;0000;5;2.146266;7.20216;213.4;6.424731;;224;27.332258;19.667742;82.112903;
83948;31/01/2017;0000;0;1.978495;6;213.4;6.494624;;184.8;29.367742;21.909677;80.548387;
83948;28/02/2017;0000;5;1.464286;5;178.4;6.345238;;78.9;29.6;22.296429;82.285714;
83948;31/03/2017;0000;0;1.726882;6;168.2;6.193548;;209.8;27.880645;20.106452;79.193548;
83948;30/04/2017;0000;0;1.377778;5;141.7;5.855556;;66.4;24.623333;16.78;83.175;
83948;31/05/2017;0000;0;1.526882;7;130.2;7.075269;;186.9;22.493548;15.687097;88.846774;
83948;30/06/2017;0000;0;0.977778;7;173.8;5;;167.9;21.406667;12.366667;86.75;
83948;31/07/2017;0000;0;1.11828;8;230.8;3.010753;;4.1;21.477419;10.919355;84.620968;
83948;31/08/2017;0000;5;2.290323;9;193.9;4.849462;;85.8;21.803226;13.529032;81.685484;
83948;30/09/2017;0000;5;2;8;119.1;6.866667;;160.6;22.243333;16.83;87.741667;
83948;31/10/2017;0000;5;2.182796;8;164.1;7.193548;;136.9;23.506452;16.422581;81.241935;
83948;30/11/2017;0000;5;2.122222;7;208.4;5.033333;;114.2;25.133333;16.246667;77.883333;
83948;31/12/2017;0000;5;2.258065;7;187.6;6.301075;;168.1;25.732258;19.719355;84.137097;
83948;31/01/2018;0000;5;1.731183;7;173.9;6.612903;;176.2;27.63871;20.783871;82.887097;
83948;28/02/2018;0000;5;1.797619;5;230.7;4.678571;;49.7;27.853571;19.707143;79.330357;
83948;31/03/2018;0000;18;2.602151;8;186;5.956989;;135.4;27.551613;19.46129;81.75;
83948;30/04/2018;0000;0;1.522222;5;217.9;5;;56.4;27.673333;18.933333;83.008333;
83948;31/05/2018;0000;0;1.956989;6;193.3;4.989247;;89.6;23.445161;14.509677;82.524194;
83948;30/06/2018;0000;0;1.333333;8;155;6.455556;;142.1;20.503333;10.4;82.933333;
83948;31/07/2018;0000;0;1.870968;8;145.1;6.333333;;209.6;18.693548;11.748387;88.548387;
83948;31/08/2018;0000;0;1.526882;5;190.3;5.107527;;75.1;18.677419;10.383871;83.758065;
83948;30/09/2018;0000;0;1.877778;8;115;7.144444;;160.9;22.15;15.876667;90.141667;
83948;31/10/2018;0000;18;2.967742;8;164.9;7.032258;;189.3;23.522581;16.509677;80.701613;
83948;30/11/2018;0000;5;2.833333;7;222.8;5.588889;;63.8;25.043333;17.693333;81.283333;
83948;31/12/2018;0000;18;2.354839;6;263.7;5.172043;;40.4;27.945161;19.516129;79.451613;
83948;31/01/2019;0000;0;1.774194;6;174.8;7.268817;;104.8;29.870968;22.76129;85.306452;
83948;28/02/2019;0000;18;1.785714;8;187.3;5.952381;;168.6;29.089286;20.689286;81.705357;
83948;31/03/2019;0000;18;2.032258;8;163.5;6.301075;;226;27.516129;19.548387;81.354839;
83948;30/04/2019;0000;0;1.488889;6;141.4;6.322222;;199.1;25.906667;19.09;86.041667;
83948;31/05/2019;0000;0;1.311828;5;106.1;7.209677;;274.7;23.564516;17;88.314516;
83948;30/06/2019;0000;0;0.977778;7;145;6.8;;87.9;23.693333;14.446667;86.841667;
83948;31/07/2019;0000;0;1.376344;5;151.8;5.494624;;59.4;18.806452;10.703226;84.822581;
83948;31/08/2019;0000;0;2.322581;6;206.6;4.064516;;19.1;20.53871;10.809677;83.104839;
83948;30/09/2019;0000;0;2;8;143;6.566667;;86.5;20.546667;13.3;83.766667;
