Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude
82198,31/01/2016,0,5,2.833333,5.3,185.3,7.258064999999999,,264.4,31.741934999999998,24.1,79.524194,"-1.56
","-45.36
"
82198,29/02/2016,0,9,2.5402299999999998,8.4,138.4,7.988506,,210.7,31.372414000000003,24.3,83.74137900000001,"-1.56
","-45.36
"
82198,31/03/2016,0,5,2.264516,5.0,119.3,8.344086,,513.1,30.83871,24.541935000000002,86.395161,"-1.56
","-45.36
"
82198,30/04/2016,0,9,2.423333,4.8,145.2,7.888889,,328.1,32.146667,24.996667000000002,83.966667,"-1.56
","-45.36
"
82198,31/05/2016,0,9,2.654839,5.1,214.9,6.107526999999999,,122.3,32.732258,25.035484,81.645161,"-1.56
","-45.36
"
82198,30/06/2016,0,9,2.457778,5.3,200.9,5.588889,,94.4,32.323333,24.11,82.15,"-1.56
","-45.36
"
82198,31/07/2016,0,9,2.4967740000000003,5.3,224.3,5.182796,,59.7,32.141935,24.051613,81.508065,"-1.56
","-45.36
"
82198,31/08/2016,0,5,2.777419,5.5,241.3,4.139785,,22.1,33.193548,23.990323,77.120968,"-1.56
","-45.36
"
82198,30/09/2016,0,9,3.315556,8.6,270.3,4.866667,,0.0,33.824138,24.273332999999997,74.24137900000001,"-1.56
","-45.36
"
82198,31/10/2016,0,9,3.235484,6.1,237.4,5.580645,,26.2,34.348387,24.293548,73.475806,"-1.56
","-45.36
"
82198,30/11/2016,0,5,3.085556,6.6,237.9,4.9222220000000005,,0.0,34.16,24.936667,73.20535699999999,"-1.56
","-45.36
"
82198,31/12/2016,0,5,2.622594,5.6588400000000005,206.2,6.142473000000001,,58.0,32.941935,24.887097,75.927419,"-1.56
","-45.36
"
82198,31/01/2017,0,5,2.234409,5.5,141.0,8.236559,,332.2,31.016129,23.464516,84.16129000000001,"-1.56
","-45.36
"
82198,28/02/2017,0,5,2.127711,5.0,124.9,8.404762,,212.9,30.625,23.371429,85.44642900000001,"-1.56
","-45.36
"
82198,31/03/2017,0,5,1.588172,4.1,69.3,8.387097,,507.7,29.561290000000003,22.73871,88.548387,"-1.56
","-45.36
"
82198,30/04/2017,0,5,1.905556,6.0,125.8,8.066667,,330.2,31.166666999999997,23.016667,87.241667,"-1.56
","-45.36
"
82198,31/05/2017,0,9,2.051613,5.0,179.6,7.236559,,210.5,32.054839,23.335484,84.935484,"-1.56
","-45.36
"
82198,30/06/2017,0,9,2.1566669999999997,5.1,153.5,6.5777779999999995,,190.3,31.473333,23.076667,84.95,"-1.56
","-45.36
"
82198,31/07/2017,0,9,2.103226,5.0,214.9,5.086022,,55.2,31.767742,22.551613,81.427419,"-1.56
","-45.36
"
82198,31/08/2017,0,9,2.729032,5.3,231.3,4.946237,,33.7,32.937931,23.422581,77.782258,"-1.56
","-45.36
"
82198,30/09/2017,0,9,3.344444,5.8,247.3,5.6,,7.2,33.633333,23.476667000000003,74.641667,"-1.56
","-45.36
"
82198,31/10/2017,0,9,3.467742,7.8,243.1,4.935484,,10.8,33.845161,24.251613,73.274194,"-1.56
","-45.36
"
82198,30/11/2017,0,5,3.023333,5.5,228.6,4.944444,,0.2,33.6,24.0,72.283333,"-1.56
","-45.36
"
82198,31/12/2017,0,5,2.810753,6.3,192.3,6.193548000000001,,19.4,32.896774,24.145160999999998,74.814516,"-1.56
","-45.36
"
82198,31/01/2018,0,5,2.3149740000000003,5.1444,155.8,7.61413,,281.0,30.938709999999997,22.954839,81.596774,"-1.56
","-45.36
"
82198,28/02/2018,0,5,1.848307,4.6,91.0,8.407738,,339.8,30.096428999999997,22.757143,85.88392900000001,"-1.56
","-45.36
"
82198,31/03/2018,0,5,2.113978,5.1,159.9,7.408602,,282.1,31.019354999999997,23.390323000000002,84.58870999999999,"-1.56
","-45.36
"
82198,30/04/2018,0,9,1.656667,5.0,83.7,8.544444,,478.6,30.323333,22.843332999999998,88.733333,"-1.56
","-45.36
"
82198,31/05/2018,0,9,1.8666669999999999,5.3,112.3,8.053763,,391.6,30.635484,23.267742000000002,87.44354799999999,"-1.56
","-45.36
"
82198,30/06/2018,0,9,2.336667,6.5,205.4,5.844444,,153.9,31.53,23.763333,83.358333,"-1.56
","-45.36
"
82198,31/07/2018,0,9,2.64086,6.8,199.6,6.193548000000001,,248.4,31.2,23.493548,84.016129,"-1.56
","-45.36
"
82198,31/08/2018,0,9,2.674194,4.8,231.9,5.107526999999999,,24.8,32.512903,23.964516,79.854839,"-1.56
","-45.36
"
82198,30/09/2018,0,9,2.725556,6.8,231.2,5.288889,,0.5,33.51,23.76,74.483333,"-1.56
","-45.36
"
82198,31/10/2018,0,9,2.756989,5.6,242.9,4.806451999999999,,5.5,33.803226,23.993548,73.798387,"-1.56
","-45.36
"
82198,30/11/2018,0,5,2.771111,5.0,231.1,4.944444,,5.3,33.866667,24.053333,73.958333,"-1.56
","-45.36
"
82198,31/12/2018,0,5,1.913978,6.5,119.6,8.430108,,132.8,30.796774,23.332258,83.846774,"-1.56
","-45.36
"
82198,31/01/2019,0,5,1.9666669999999997,5.5,151.9,7.591398,,218.2,31.209677000000003,23.229032,83.137097,"-1.56
","-45.36
"
82198,28/02/2019,0,5,1.467857,4.6,70.9,8.988095,,578.8,29.882143,22.575,88.526786,"-1.56
","-45.36
"
82198,31/03/2019,0,5,1.568817,8.3,77.4,9.043011,,652.8,30.022581,22.703226,88.75,"-1.56
","-45.36
"
82198,30/04/2019,0,5,1.298889,3.1,88.2,8.655555999999999,,599.9,30.29,22.89,88.725,"-1.56
","-45.36
"
82198,31/05/2019,0,9,1.566667,5.6,137.3,7.956989,,267.0,31.019354999999997,23.693548,87.016129,"-1.56
","-45.36
"
82198,30/06/2019,0,9,1.9966669999999997,4.6,176.2,7.011111,,229.0,31.556666999999997,23.6,84.016667,"-1.56
","-45.36
"
82198,31/07/2019,0,9,1.9580650000000002,4.6,209.8,5.516129,,213.0,31.454839,23.86129,83.483871,"-1.56
","-45.36
"
82198,31/08/2019,0,9,2.361957,5.0,225.4,6.247312,,69.4,32.387097,23.822581,79.69354799999999,"-1.56
","-45.36
"
82198,30/09/2019,0,9,2.621111,8.7,230.7,5.211111,,14.9,32.65,23.666667,76.708333,"-1.56
","-45.36
"
