Latitude  (graus) : -16.36
Longitude (graus) : -46.88
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83428;31/01/2016;0000;5;1.956989;6;;7.774194;;461;30.709677;21.674194;80.048387;
83428;29/02/2016;0000;5;1.356322;4;;4.770115;;51.2;34.989655;22.368966;60.62069;
83428;31/03/2016;0000;14;1.462676;4;;5.610215;;137.8;33.158065;21.66129;67.379032;
83428;30/04/2016;0000;14;1.455556;4;;3.1;;37;34;19.95;56.741667;
83428;31/05/2016;0000;14;1.311828;4;;3.505376;;0.6;32.222581;18.370968;61.475806;
83428;30/06/2016;0000;18;1.344444;3;;3.511111;;0;31.433333;15.946667;53.325;
83428;31/07/2016;0000;9;1.483871;5;;2.204301;;0;31.990323;15.919355;47.024194;
83428;31/08/2016;0000;5;1.817204;6;;3.946237;;0.7;33.022581;17.66129;46.5;
83428;30/09/2016;0000;5;1.577778;6;;3.988889;;69.2;36.026667;20.553333;42.85;
83428;31/10/2016;0000;5;1.924731;6;;5.301075;;69.5;35.254839;22.674194;49.919355;
83428;30/11/2016;0000;5;1.788889;7;;7.555556;;245.2;31.993333;21.92;68.975;
83428;31/12/2016;0000;9;1.849462;4;;6.483871;;171.4;32.732258;21.170968;64.951613;
83428;31/01/2017;0000;14;2.097085;5;;5.053763;;55.2;34.048387;21.506452;61.129032;
83428;28/02/2017;0000;5;1.52381;4;;6.619048;;225.4;31.635714;21.221429;71.482143;
83428;31/03/2017;0000;14;1.408602;4;;5.677419;;123.1;32.625806;21.46129;65.41129;
83428;30/04/2017;0000;14;1.422222;4;;4.588889;;16;33.033333;21.3;61.716667;
83428;31/05/2017;0000;14;1.225806;3;;4.236559;;31.8;31.635484;19.06129;65.306452;
83428;30/06/2017;0000;14;1.577778;4;;3.011111;;0;30.853333;16.726667;57.166667;
83428;31/07/2017;0000;18;1.763441;4;;3.505376;;0;28.532258;14.33871;49.556452;
83428;31/08/2017;0000;9;1.483871;4;;1.731183;;0;33.648387;16.13871;42.443548;
83428;30/09/2017;0000;5;1.955556;6;;2.855556;;3.8;33.116667;18.1;50.875;
83428;31/10/2017;0000;5;2.11828;5;;4.688172;;80.9;;;;
83428;30/11/2017;0000;5;1.533654;5;;7.238889;;287.4;;;71.925;
83428;31/12/2017;0000;36;1.086643;3;;7.672043;;268.8;;;74.048387;
83428;31/01/2018;0000;9;1.827957;6;;5.634409;;128.5;33.048387;21.593548;67.959677;
83428;28/02/2018;0000;9;1.465317;5;;6.369048;;179.2;31.710714;21.228571;73.196429;
83428;31/03/2018;0000;9;1.505376;5;;5.397849;;64.2;32.896774;21.303226;69.104839;
83428;30/04/2018;0000;14;1.6;4;;5.833333;;151.7;30.666667;18.7;70.641667;
83428;31/05/2018;0000;14;1.473118;5;;3.397849;;13;30.4;15.264516;62.072581;
83428;30/06/2018;0000;14;1.377778;4;;2.866667;;0;30.926667;13.54;58.491667;
83428;31/07/2018;0000;9;1.419355;4;;1.946237;;0;31.135484;11.890323;52.080645;
83428;31/08/2018;0000;18;1.516129;5;;3.817204;;8.6;33.470968;15.567742;46.572581;
83428;30/09/2018;0000;9;1.77842;4;;3.708333;;33.3;35.36;16.533333;43.283333;
83428;31/10/2018;0000;5;1.670968;6;;6.591398;;138.8;35.109677;20.045161;58.298387;
83428;30/11/2018;0000;9;1.666667;4;;7.977778;;439.7;29.98;18.106667;77.825;
83428;31/12/2018;0000;9;1.225806;4;;6.602151;;313.2;32.648387;17.316129;69;
83428;31/01/2019;0000;14;1.804301;6;;4.451613;;54.6;33.974194;18.174194;61.120968;
83428;28/02/2019;0000;5;1.488439;6;;6.473214;;110.4;33.107143;18.45;70.241071;
83428;31/03/2019;0000;14;1.483871;4;;6.473118;;228.8;31.593548;17.651613;75.822581;
83428;30/04/2019;0000;14;1.333333;4;;5.266667;;107.8;31.753333;17.653333;74.791667;
83428;31/05/2019;0000;18;1.215054;4;;3.860215;;29.3;31.419355;15.283871;70.879032;
83428;30/06/2019;0000;18;1.422222;4;;3.333333;;0.2;30.18;11.3;63.441667;
83428;31/07/2019;0000;9;1.494624;4;;2.580645;;0;30.264516;9.451613;55.475806;
83428;31/08/2019;0000;9;1.602151;5;;3.612903;;0;32.716129;11.980645;48.483871;
83428;30/09/2019;0000;9;1.766667;6;;2.422222;;1.7;36.66;13.993333;41.941667;
