Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma,area(m²)
82870,31/01/2016,0,5,14.516.129.999.999.900,7,112.2,8.397.849,,348.4,31.070.968,22.522.581,,-8.41,-43.71,Caatinga,1848690000.0
82870,29/02/2016,0,5,2.011.494,7,267.3,5.046.512,,32.7,34.572.414,21.227.586,,-8.41,-43.71,Caatinga,1848690000.0
82870,31/01/2017,0,5,17.741.939.999.999.900,7,212.1,6.752.688,,111.6,3.443.871,21.490.323,6.666.935.500.000.000,-8.41,-43.71,Caatinga,1848690000.0
82870,28/02/2017,0,5,12.619.049.999.999.900,5,87.4,8.678.571,,408.1,30.407.143,21.35,82.324.074,-8.41,-43.71,Caatinga,1848690000.0
82870,31/03/2017,0,5,127.957,5,192.9,6.763.441,,104.2,3.243.871,21.296.774,77.467.742,-8.41,-43.71,Caatinga,1848690000.0
82870,30/04/2017,0,5,1.422.222,3,243.3,5.077.778,,100.3,33.306.667,21.406.667,72.310.345,-8.41,-43.71,Caatinga,1848690000.0
82870,31/05/2017,0,5,1.623.656,7,256.3,5.064.516,,37.6,34.883.871,20.670.968,58.862.903,-8.41,-43.71,Caatinga,1848690000.0
82870,30/06/2017,0,14,3.066.667,7,284.9,3.655.556,,0.0,35.026.667,19.773.333,46.641.667,-8.41,-43.71,Caatinga,1848690000.0
82870,31/07/2017,0,14,355.914,7,292.8,4.064.516,,3.0,33.503.226,18.319.355,45.040.323,-8.41,-43.71,Caatinga,1848690000.0
82870,31/08/2017,0,14,2.806.452,7,312.7,311.828,,0.0,36.993.548,20.412.903,37.925,-8.41,-43.71,Caatinga,1848690000.0
82870,30/09/2017,0,14,4.2,7,321.1,3.066.667,,0.0,36.64,22.106.667,38.425,-8.41,-43.71,Caatinga,1848690000.0
82870,31/10/2017,0,5,3.376.344,12,302.4,4.451.613,,0.0,38.554.839,23.483.871,37.466.667,-8.41,-43.71,Caatinga,1848690000.0
82870,30/11/2017,0,5,2.244.444,7,216.1,6.455.556,,101.0,34.72,21.473.333,60.425,-8.41,-43.71,Caatinga,1848690000.0
82870,31/12/2017,0,5,1.666.667,7,202.5,6.956.989,,100.6,33.664.516,21.464.516,68.879.032,-8.41,-43.71,Caatinga,1848690000.0
82870,31/01/2018,0,5,1.731.183,5,199.0,7.086.022,,83.6,33.483.871,20.380.645,70.416.667,-8.41,-43.71,Caatinga,1848690000.0
82870,28/02/2018,0,5,1.309.524,5,135.1,7.976.189.999.999.990,,210.7,31.3,20.842.857,80.285.714,-8.41,-43.71,Caatinga,1848690000.0
82870,31/03/2018,0,5,1.365.591,5,169.5,6.677.419,,189.7,31.361.290.000.000.000,20.2,80.346.774,-8.41,-43.71,Caatinga,1848690000.0
82870,30/04/2018,0,5,1.577.778,5,209.3,6.111.111,,85.2,31.993.333.000.000.000,19.196.667,74.083.333,-8.41,-43.71,Caatinga,1848690000.0
82870,31/05/2018,0,5,2.741.935,7,285.4,4.365.591,,3.0,3.423.871,18.335.484,54.816.667,-8.41,-43.71,Caatinga,1848690000.0
82870,30/06/2018,0,14,3.266.667,7,298.2,2.955.556,,0.0,34.82,17.93,46.991.379,-8.41,-43.71,Caatinga,1848690000.0
