Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude
83642,31/01/2016,0,,,,141.0,7.1290320000000005,,348.2,28.729032,19.587097,82.620968,"-20.76
","-42.86
"
83642,29/02/2016,0,,,,230.7,4.873563,,74.5,31.351724,19.324138,77.405172,"-20.76
","-42.86
"
83642,31/03/2016,0,,,,180.5,6.569891999999999,,73.5,29.612903000000003,19.151613,81.370968,"-20.76
","-42.86
"
83642,30/04/2016,0,,,,229.1,3.5333330000000003,,33.9,30.25,17.013333,76.425,"-20.76
","-42.86
"
83642,31/05/2016,0,,,,146.7,4.935484,,15.5,26.561538,14.948387,81.266129,"-20.76
","-42.86
"
83642,30/06/2016,0,,,,131.0,5.6,,61.8,23.803333,12.953333,84.033333,"-20.76
","-42.86
"
83642,31/07/2016,0,,,,206.2,3.268817,,0.0,25.73871,12.312903,79.790323,"-20.76
","-42.86
"
83642,31/08/2016,0,,,,217.9,3.247312,,11.0,27.506452000000003,12.606452,69.612903,"-20.76
","-42.86
"
83642,30/09/2016,0,,,,178.7,4.211111,,28.2,29.286666999999998,15.5,69.99137900000001,"-20.76
","-42.86
"
83642,31/10/2016,0,,,,153.8,6.228261,,65.7,27.856666999999998,17.545161,74.658333,"-20.76
","-42.86
"
83642,30/11/2016,0,,,,125.5,6.977778,,216.6,28.333333000000003,18.336667000000002,77.80833299999999,"-20.76
","-42.86
"
83642,31/12/2016,0,,,,161.8,6.3763440000000005,,263.1,29.832258000000003,18.409677,78.91935500000001,"-20.76
","-42.86
"
83642,31/01/2017,0,,,,196.4,5.892473000000001,,65.7,31.293547999999998,19.119355,74.153226,"-20.76
","-42.86
"
83642,28/02/2017,0,,,,166.3,6.5833330000000005,,78.1,30.103571000000002,19.05,78.60714300000001,"-20.76
","-42.86
"
83642,31/03/2017,0,,,,209.7,5.150538,,83.1,29.251613,17.725806,77.854839,"-20.76
","-42.86
"
83642,30/04/2017,0,,,,146.3,6.1666669999999995,,43.0,28.143333000000002,16.78,79.908333,"-20.76
","-42.86
"
83642,31/05/2017,0,,,,139.6,5.241935,,47.5,24.809677,14.287097,82.040323,"-20.76
","-42.86
"
83642,30/06/2017,0,,,,199.6,3.5333330000000003,,15.6,25.313333,13.67,81.55833299999999,"-20.76
","-42.86
"
83642,31/07/2017,0,,,,197.1,3.645161,,0.0,23.883871,10.841935000000001,76.491935,"-20.76
","-42.86
"
83642,31/08/2017,0,,,,206.4,3.9782610000000003,,0.0,25.867742,11.545161,68.217742,"-20.76
","-42.86
"
83642,30/09/2017,0,,,,269.5,2.988889,,5.0,28.613333,12.393333,57.858332999999995,"-20.76
","-42.86
"
83642,31/10/2017,0,,,,230.7,5.195652,,49.6,30.654839000000003,17.032258,63.201613,"-20.76
","-42.86
"
83642,30/11/2017,0,,,,112.3,7.822222,,105.4,27.86,18.433332999999998,76.958333,"-20.76
","-42.86
"
83642,31/12/2017,0,,,,156.4,7.139785000000001,,359.0,29.367742,19.232257999999998,76.032258,"-20.76
","-42.86
"
83642,31/01/2018,0,,,,,7.448276,,128.2,32.3625,18.782759,,"-20.76
","-42.86
"
83642,28/02/2018,0,,,,,,,139.8,,18.825,,"-20.76
","-42.86
"
83642,31/03/2018,0,,,,,,,58.4,,,,"-20.76
","-42.86
"
