Latitude  (graus) : -20.31
Longitude (graus) : -40.31
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83648;31/01/2016;0000;36;1.793651;5;164.2;6.619048;;186;31.274194;24.425806;;
83648;29/02/2016;0000;36;1.988506;5;259.3;3.08046;;12.3;34.262069;25.744828;70.112069;
83648;31/03/2016;0000;36;1.494624;4;249.4;5.086022;;90;32.806452;25.103226;75.290323;
83648;30/04/2016;0000;36;0.971667;2;228.1;3.944444;;25;32.466667;24.493333;72.95;
83648;31/05/2016;0000;18;;;187.9;5.39726;;12.9;29.606452;21.641935;;
83648;30/06/2016;0000;18;;;122.4;6.044444;;72.7;26.69;19.853333;79.291667;
83648;31/07/2016;0000;36;;;190.2;4.989247;;78.9;27.474194;20.06129;76.416667;
83648;31/08/2016;0000;36;;;204.1;5.215054;;7.1;28.183871;20.325806;75.193548;
83648;30/09/2016;0000;36;;;163.9;5.369186;;33.1;28.582143;21.267857;73.732143;
83648;31/10/2016;0000;36;;;143.8;6.648352;;107.7;27.874194;21.674074;78.241935;
83648;30/11/2016;0000;36;;;114.6;7.44382;;227.1;28.588462;22.406667;79.787037;
83648;31/12/2016;0000;36;;;155.9;6.222222;;95.7;31.05;24.089655;77.766667;
83648;31/01/2017;0000;36;;;250.5;4.031746;;24;32.851613;25.229032;;
83648;28/02/2017;0000;36;;;195.6;5.440476;;96;32.339286;24.564286;74.714286;
83648;31/03/2017;0000;36;;;219.4;4.645161;;38.1;31.845161;24.170968;72.645161;
83648;30/04/2017;0000;18;;;157.8;6.088889;;64.6;29.803333;22.846667;76.366667;
83648;31/05/2017;0000;36;;;145.3;6.219178;;180.4;27.490323;20.919355;;
83648;30/06/2017;0000;36;;;209;4.644444;;133.6;28.2;20.87;78.091667;
83648;31/07/2017;0000;18;;;140.8;6.483871;;195.8;25.345161;18.393548;82.330645;
83648;31/08/2017;0000;36;;;180.7;5.419355;;27;25.93871;18.577419;74.782258;
83648;30/09/2017;0000;36;;;152.2;6.555556;;81.3;26.433333;19.813333;77.658333;
83648;31/10/2017;0000;36;;;203.4;5.731183;;84.9;29.33871;22.251613;75.620968;
83648;30/11/2017;0000;36;;;121.8;7.355556;;128;28.273333;22.006667;78.55;
83648;31/12/2017;0000;36;;;155.4;6.827957;;209.1;30.048387;23.364516;78.467742;
83648;31/01/2018;0000;36;;;245.1;4.730159;;55.1;32.248387;24.735484;;
83648;28/02/2018;0000;36;;;157.5;6.583333;;201.5;30.910714;23.9;80.116071;
83648;31/03/2018;0000;36;;;213.5;5.581081;;174.6;31.993548;24.629032;;
83648;30/04/2018;0000;18;;;165.1;6.122222;;371.6;29.49;22.233333;81.075;
83648;31/05/2018;0000;18;;;177.6;5.516129;;200.8;27.790323;20.890323;80.435484;
83648;30/06/2018;0000;36;;;167.6;5.355556;;148.3;27.69;20.713333;79.766667;
83648;31/07/2018;0000;36;;;225.9;3.322581;;9.4;28.316129;20.090323;75.758065;
83648;31/08/2018;0000;18;;;138.4;7.075269;;92.1;26.383871;20.019355;80.685484;
83648;30/09/2018;0000;36;;;163.7;6.255556;;39.7;28.163333;21.37;74.991667;
83648;31/10/2018;0000;36;;;128.2;7.387097;;179.8;28.56129;22.154839;78.241935;
83648;30/11/2018;0000;36;;;147.3;6.666667;;144.9;29.146667;22.576667;80.891667;
83648;31/12/2018;0000;36;;;177.9;5.795699;;169.4;30.93871;23.554839;77;
83648;31/01/2019;0000;36;;;291.5;3.634921;;8.2;33.309677;25.422581;;
83648;28/02/2019;0000;36;;;193.5;5.22619;;141.4;34.021429;25.214286;75.517857;
83648;31/03/2019;0000;36;;;206;5.666667;;75.3;32.680645;25.264516;74.862903;
83648;30/04/2019;0000;36;;;203.4;4.938889;;194.2;31.69;24.436667;77.775;
83648;31/05/2019;0000;36;;;198.3;5.109589;;257.9;30.129032;23.096774;;
83648;30/06/2019;0000;36;;;159.8;5.222222;;29.2;28.776667;21.33;78.391667;
83648;31/07/2019;0000;36;;;191;4.634409;;66.1;27.596774;18.948387;74.524194;
83648;31/08/2019;0000;18;;;150.5;6.258065;;58.5;26.551613;19.280645;78.008065;
83648;30/09/2019;0000;36;;;174.8;5.6;;92.2;28.406667;21.393333;75.733333;
