Latitude  (graus) : -14.88
Longitude (graus) : -40.79
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83344;31/01/2016;0000;36;1.506574;4.11552;142.1;7.903226;;215.2;27.596552;19.025806;78.233871;
83344;29/02/2016;0000;9;1.549372;4.11552;240;4.529412;;1.9;29.460714;17.037931;68.1875;
83344;31/03/2016;0000;9;2.124861;5.1444;248.5;4.904891;;18.4;29.967742;17.458065;68.193548;
83344;30/04/2016;0000;9;1.846268;5.1444;218.7;5.263889;;7.8;28.64;16.736667;68.475;
83344;31/05/2016;0000;14;1.739031;5.1444;207.4;5.611413;;4.2;27.070968;15.658065;70.435484;
83344;30/06/2016;0000;14;2.017298;5.1444;178.5;5.994318;;18.3;25.568966;15.066667;73.137931;
83344;31/07/2016;0000;9;2.456036;5.1444;200.1;6.236559;;30.8;24.264516;14.087097;76.991935;
83344;31/08/2016;0000;14;2.787933;5.1444;205.6;6.25;;28.7;25.403226;14.196774;75.330645;
83344;30/09/2016;0000;9;3.08664;5.1444;233.5;5.555556;;58.3;26.806667;14.606667;71.041667;
83344;31/10/2016;0000;9;2.893034;5.65884;214.5;6.841398;;22.1;27.267742;16.464516;74.733871;
83344;30/11/2016;0000;9;2.706656;5.1444;165.6;7.386364;;114.8;27.107143;16.793333;79.25;
83344;31/12/2016;0000;9;2.223327;4.62996;160.2;7.212644;;112.5;27.652;17.064516;78.29;
83344;31/01/2017;0000;9;2.302151;4.8;278.9;5.032258;;3.3;29.954839;15.846667;64.822581;
83344;28/02/2017;0000;9;2.285714;4;148.5;7.285714;;75.8;28.107143;16.957143;77.821429;
83344;31/03/2017;0000;9;2.573118;5;220.2;6.16129;;116.9;28.690323;16.490323;74;
83344;30/04/2017;0000;9;2.311111;5;192.9;6.58427;;83.1;25.934483;16.476667;82.525;
83344;31/05/2017;0000;14;2.354348;5;173.2;6.806452;;27.2;24.664516;15.277419;89.830645;
83344;30/06/2017;0000;14;2.584286;4.5;199.9;5.716418;;39.5;23.993103;13.833333;90.658333;
83344;31/07/2017;0000;14;;;135.9;7.60241;;86.8;20.312903;12.251613;91.403226;
83344;31/08/2017;0000;14;;;224.6;5.354839;;15;23.158065;11.933333;86.967742;
83344;30/09/2017;0000;14;;;199.6;6.597222;;36.3;23.14;;86.975;
83344;31/10/2017;0000;9;;;263.2;5.282258;;2.1;28.296774;;82.556452;
83344;30/11/2017;0000;9;;;175;7.291667;;113.8;26.936667;;88.041667;
83344;31/12/2017;0000;14;;;173.7;7.204301;;112.9;27.832258;;86.306452;
83344;31/01/2018;0000;9;;;208.4;5.138889;;119.9;28.493548;;;
83344;28/02/2018;0000;14;;;154.9;6.919643;;79.2;27.553571;;85.366071;
83344;31/03/2018;0000;9;;;189.6;6.787634;;57.7;28.26129;;83.790323;
83344;30/04/2018;0000;14;;;183.6;6.980769;;52.1;25.53;;88.15;
83344;31/05/2018;0000;14;;;162.6;6.661932;;40.7;24.416129;;88.663462;
83344;30/06/2018;0000;14;;;153.6;7.041667;;31.1;23.35;;;
83344;31/07/2018;0000;14;;;209.5;5.745968;;19.1;23.783871;;;
83344;31/08/2018;0000;9;;;212.3;6.034946;;8.4;26.035484;;79.193548;
83344;30/09/2018;0000;9;;;249.4;5.11236;;3.1;28.07;;73.466667;
83344;31/10/2018;0000;9;;;199.7;6.276882;;43.4;28.396774;;74.5;
83344;30/11/2018;0000;14;;;131.5;7.625;;158.3;26.423333;;89.025;
83344;31/12/2018;0000;9;;;168.1;6.935484;;140.7;27.329032;;86.91129;
83344;31/01/2019;0000;9;;;255.5;4.904891;;8.3;29.441935;;79.758065;
83344;28/02/2019;0000;9;;;220.2;5.61747;;100.1;31.567857;;78.642857;
83344;31/03/2019;0000;9;;;220.1;5.873656;;66.2;29.483871;18.164516;81.032258;
83344;30/04/2019;0000;14;;;203.4;5.463483;;99.2;27.816667;18.016667;87.698276;
83344;31/05/2019;0000;14;;;175.7;5.698925;;11.5;26.716129;17.480645;86.774194;
83344;30/06/2019;0000;14;;;163.9;6.305556;;39;24.086207;15.3;86.466667;
83344;31/07/2019;0000;14;;;198.9;5.497312;;24.9;23.816129;13.909677;83.967742;
83344;31/08/2019;0000;14;;;189.6;6.277778;;30.2;23.635484;14.286667;85.475806;
83344;30/09/2019;0000;9;;;234.4;4.833333;;10.9;27.043333;15.38;79.533333;
