Latitude  (graus) : -20.41
Longitude (graus) : -49.98
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83623;31/01/2016;0000;;;;;9.320755;;425.7;31.592308;19.169231;;
83623;29/02/2016;0000;;;;;9.102041;;184.4;33.312;19.192;;
83623;31/03/2016;0000;;;;;8.555556;;206.7;32.274074;18.844444;;
83623;30/04/2016;0000;;;;;4.057692;;61.2;33.392308;17.576923;;
83623;31/05/2016;0000;;;;;6.114286;;88;28.528571;13.092857;;
83623;30/06/2016;0000;;;;;6.366667;;77;27.153333;12.246667;73.058333;
83623;31/07/2016;0000;;;;;4.612903;;0;30.36129;11.790323;59.5;
83623;31/08/2016;0000;;;;;4.268817;;41.6;31.006452;12.283871;58.072581;
83623;30/09/2016;0000;;;;;5.666667;;13.9;32.473333;12.7;55.466667;
83623;31/10/2016;0000;;;;;7.053763;;93.3;33.386667;15.896774;63.705357;
83623;30/11/2016;0000;;;;;8.365385;;117.9;32.288889;17.208;;
83623;31/12/2016;0000;;;;;8.62069;;228.2;32.329032;17.541935;74.98;
83623;31/01/2017;0000;;;;;8.683333;;325.7;31.274074;17.303704;;
83623;28/02/2017;0000;;;;;7.619048;;82.9;33.742857;18.05;68.410714;
83623;31/03/2017;0000;;;;;7.645161;;96;32.716129;17.041935;72.403226;
83623;30/04/2017;0000;;;;;7.15873;;82.2;30.540741;15.032;;
83623;31/05/2017;0000;;;;;7.032609;;108.6;30.193548;14.567742;73.193548;
83623;30/06/2017;0000;;;;;5.722222;;4.6;28.93;11.923333;65.383333;
83623;31/07/2017;0000;;;;;3.88172;;0;28.425806;10.387097;56.58871;
83623;31/08/2017;0000;;;;;5.365591;;25.1;31.24;12.890323;57.83871;
83623;30/09/2017;0000;;;;;3.822222;;1;35.613793;15.916667;42.925;
83623;31/10/2017;0000;;;;;7.677419;;124.7;34.748387;15.954839;59.298387;
83623;30/11/2017;0000;;;;;7.877778;;213;32.25;15.686667;70.316667;
83623;31/12/2017;0000;;;;;8.313953;;287.8;32.213333;17.073333;72.9;
83623;31/01/2018;0000;;;;;8.225806;;214.6;32.364286;17.088889;;
83623;28/02/2018;0000;;;;;7.952381;;158;32.092857;15.721429;77.464286;
83623;31/03/2018;0000;;;;;7.483871;;61.4;33.716129;17.651613;72.84375;
83623;30/04/2018;0000;;;;;7.066667;;39.4;31.606667;16.78;66.241667;
83623;31/05/2018;0000;;;;;5.333333;;15;30.645161;14.516129;62.008065;
83623;30/06/2018;0000;;;;;6.3;;1;30.133333;13.466667;63.133333;
83623;31/07/2018;0000;;;;;4.064516;;2;30.967742;13.283871;52.862903;
83623;31/08/2018;0000;;;;;5.215054;;17;30.393548;12.645161;76.083333;
83623;30/09/2018;0000;;;;;6.022222;;66.6;32.666667;15.233333;73.857143;
83623;31/10/2018;0000;;;;;8.172043;;120.3;33.096774;17.63871;76.758333;
83623;30/11/2018;0000;;;;;8.68254;;179.4;31.077778;17.04;;
83623;31/12/2018;0000;;;;;7.858824;;99.4;33.62;17.94;81.67;
83623;31/01/2019;0000;;;;;7.293103;;133.4;35.392593;18.940741;;
83623;28/02/2019;0000;;;;;8.202381;;195.6;32.857143;17.128571;85.258929;
83623;31/03/2019;0000;;;;;7.467391;;117.9;32.232258;16.670968;83.266667;
83623;30/04/2019;0000;;;;;6.577778;;91.6;31.913333;16.35;79.391667;
83623;31/05/2019;0000;;;;;5.8;;46.8;31.503704;15.177778;;
83623;30/06/2019;0000;;;;;3.666667;;4.8;30.708333;13.782609;;
83623;31/07/2019;0000;;;;;4.169811;;13.2;30.444444;14.746154;;
83623;31/08/2019;0000;;;;;4.944444;;49;32.291667;16.540741;;
83623;30/09/2019;0000;;;;;4.98;;50.8;35.132;18.608333;;
