datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2018/05/01 17:00:00,AQUA_M-T,Brasil,SAO PAULO,MATAO,Cerrado,0,0,1,-21.548,-48.52,8
2018/05/01 17:00:00,AQUA_M-T,Brasil,GOIAS,MORRINHOS,Cerrado,0,0,0.41,-17.766,-49.134,11
2018/05/01 17:00:00,AQUA_M-T,Brasil,GOIAS,CHAPADAO DO CEU,Cerrado,0,0,1,-18.347,-52.674,10.1
2018/05/01 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,BANDEIRANTES,Cerrado,0,0,0.48,-19.592,-54.414,17.2
2018/05/01 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,SIDROLANDIA,Cerrado,0,0,1,-21.175,-54.615,25.5
2018/05/01 17:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,SIDROLANDIA,Cerrado,0,0,1,-21.173,-54.623,28.6
2018/02/18 16:10:00,AQUA_M-T,Brasil,BAHIA,PALMAS DE MONTE ALTO,Cerrado,0,0,0.11,-14.054,-43.462,25.7
2018/02/18 16:10:00,AQUA_M-T,Brasil,MINAS GERAIS,BURITIZEIRO,Cerrado,0,2.7,0.27,-17.689,-45.376,38.1
2018/02/19 16:55:00,AQUA_M-T,Brasil,GOIAS,MONTES CLAROS DE GOIAS,Cerrado,0,28.98,0,-15.885,-51.798,11.3
2018/02/19 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,CABECEIRA GRANDE,Cerrado,0,2.42,0.04,-15.981,-46.976,10.4
2018/05/01 17:00:00,AQUA_M-T,Brasil,TOCANTINS,SANTA RITA DO TOCANTINS,Cerrado,0,0,0.22,-10.949,-48.886,12
2018/05/01 17:00:00,AQUA_M-T,Brasil,TOCANTINS,SANTA RITA DO TOCANTINS,Cerrado,0,0,0.22,-10.948,-48.876,14
2018/05/01 17:00:00,AQUA_M-T,Brasil,TOCANTINS,TALISMA,Cerrado,0,0,0.18,-12.683,-49.223,12.7
2018/05/01 17:00:00,AQUA_M-T,Brasil,TOCANTINS,TALISMA,Cerrado,0,0,0.18,-12.682,-49.213,7.8
2018/05/01 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,0,0,0.18,-12.199,-49.444,6.5
2018/05/01 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,0,0,0.18,-11.858,-49.745,14.1
2018/05/01 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,0,0,0.18,-11.856,-49.735,20
2018/05/01 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,0,0,0.18,-11.811,-49.742,11.1
2018/05/01 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,0,0,0.18,-11.804,-49.753,6.6
2018/05/01 17:00:00,AQUA_M-T,Brasil,TOCANTINS,DUERE,Cerrado,0,0,0.18,-11.723,-49.394,42.2
2018/05/01 17:00:00,AQUA_M-T,Brasil,TOCANTINS,DUERE,Cerrado,0,0,0.18,-11.722,-49.385,15.8
2018/05/01 17:00:00,AQUA_M-T,Brasil,TOCANTINS,DUERE,Cerrado,0,0,0.18,-11.715,-49.402,6.1
2018/05/01 17:00:00,AQUA_M-T,Brasil,TOCANTINS,DUERE,Cerrado,0,0,0.18,-11.714,-49.392,18.7
2018/05/01 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SAO FELIX DO ARAGUAIA,Cerrado,0,0,0.2,-11.412,-50.867,5.5
2018/05/01 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,AGUA BOA,Cerrado,0,0,0.95,-13.683,-52.556,4.7
2018/05/01 17:05:00,AQUA_M-T,Brasil,MARANHAO,BALSAS,Cerrado,0,0,0.6,-8.579,-46.477,33.3
2018/05/01 17:05:00,AQUA_M-T,Brasil,TOCANTINS,RECURSOLANDIA,Cerrado,0,0,0.13,-8.553,-47.055,14.9
2018/05/01 17:05:00,AQUA_M-T,Brasil,TOCANTINS,RIO SONO,Cerrado,0,0,0.27,-9.971,-47.294,15.3
2018/05/01 17:05:00,AQUA_M-T,Brasil,TOCANTINS,LIZARDA,Cerrado,0,0,0.31,-9.718,-46.922,27.5
2018/05/01 17:05:00,AQUA_M-T,Brasil,TOCANTINS,LIZARDA,Cerrado,0,0,0.08,-9.716,-46.909,16.9
2018/05/01 17:05:00,AQUA_M-T,Brasil,TOCANTINS,LIZARDA,Cerrado,0,0,0.21,-9.633,-46.902,11.5
2018/05/01 17:05:00,AQUA_M-T,Brasil,TOCANTINS,RIO SONO,Cerrado,0,0,0.34,-9.605,-47.097,24.7
2018/05/01 17:05:00,AQUA_M-T,Brasil,TOCANTINS,NOVO ACORDO,Cerrado,0,0.9,0.38,-10.168,-47.034,14.5
2018/05/01 17:05:00,AQUA_M-T,Brasil,TOCANTINS,NOVO ACORDO,Cerrado,0,0.9,0.39,-10.162,-47.029,12.9
