datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2017/12/27 16:32:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO JERONIMO,Pampa,0,0,0.03,-30.14244,-51.84909,
2017/12/28 16:13:00,NPP-375,Brasil,RIO GRANDE DO SUL,ARROIO DO SAL,Pampa,0,0.4,0.01,-29.57322,-49.92523,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.86511,-51.76245,
2017/12/18 16:05:36,GOES-13,Brasil,RIO GRANDE DO SUL,BARRA DO QUARAI,Pampa,0,0.05,0.12,-30.13,-57.27,
2018/03/08 17:36:00,NPP-375,Brasil,RIO GRANDE DO SUL,PINHEIRO MACHADO,Pampa,0,0,1,-31.15537,-53.37438,
2017/12/08 17:28:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,0,0.05,0.2,-31.52245,-53.10088,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,,,,-31.81164,-53.28354,
2017/12/12 17:53:00,NPP-375,Brasil,RIO GRANDE DO SUL,CAPAO DO LEAO,Pampa,0,0.03,0.07,-31.73207,-52.47171,
2017/12/29 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,ROSARIO DO SUL,Pampa,0,0,0.63,-30.36472,-55.29153,
2017/12/13 05:11:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,6.85,0.05,-31.77581,-53.88717,
2017/12/27 18:12:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO LOURENCO DO SUL,Pampa,0,0.1,0.03,-31.29063,-52.26848,
2018/02/14 17:48:00,NPP-375,Brasil,RIO GRANDE DO SUL,HERVAL,Pampa,0,0,0.51,-31.84365,-53.4224,
2017/12/10 04:26:00,NPP-375,Brasil,RIO GRANDE DO SUL,ALEGRETE,Pampa,0,0,0.73,-29.55137,-56.17019,
2017/12/16 16:38:00,NPP-375,Brasil,RIO GRANDE DO SUL,PINHEIRO MACHADO,Pampa,0,4.8,0.04,-31.02922,-53.21688,
2017/12/30 22:02:13,GOES-16,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.84,-51.76,
2018/03/22 04:12:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,0,0,0.01,-31.29698,-53.05094,
2018/02/06 04:36:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,0,0,0.12,-31.91695,-51.98713,
2018/01/04 17:18:00,NPP-375,Brasil,RIO GRANDE DO SUL,CRISTAL,Pampa,0,0,0.05,-31.12452,-52.07408,
2017/12/13 17:34:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANGUCU,Pampa,0,12.77,0,-31.09262,-52.57299,
2017/12/30 22:32:14,GOES-16,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.88,-51.77,
2017/12/16 16:38:00,NPP-375,Brasil,RIO GRANDE DO SUL,PELOTAS,Pampa,0,17.8,0,-31.70419,-52.39025,
2017/12/13 17:34:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,6.85,0.05,-31.78231,-53.88301,
2017/12/28 17:53:00,NPP-375,Brasil,RIO GRANDE DO SUL,CACAPAVA DO SUL,Pampa,0,0.22,0.17,-30.75614,-53.37151,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,HERVAL,Pampa,,,,-32.08355,-53.60606,
