datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2017/12/14 23:37:37,NOAA-18,Brasil,MATO GROSSO,CACERES,Pantanal,0,0.9,0.63,-15.9127,-57.9229,
2017/12/12 17:57:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.03,-19.56565,-57.64612,
2017/12/13 05:07:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.1,-18.3413,-55.81237,
2017/12/13 17:38:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.4,-18.84052,-55.82506,
2017/12/18 17:44:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.02,-18.64926,-57.12124,
2017/12/29 17:39:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,0,8.13,0.02,-16.02601,-57.85183,
2017/12/16 04:12:00,NPP-375,Brasil,MATO GROSSO DO SUL,PORTO MURTINHO,Pantanal,0,0,0.03,-20.97594,-57.37483,
2018/03/08 17:42:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,8.6,0.03,-17.77662,-55.3773,
2017/12/12 17:57:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.11,-17.6138,-55.27276,
2017/12/15 19:03:35,GOES-13,Brasil,MATO GROSSO DO SUL,PORTO MURTINHO,Pantanal,0,0,0.03,-20.96,-57.35,
2017/12/16 16:41:00,NPP-375,Brasil,MATO GROSSO DO SUL,RIO VERDE DE MATO GROSSO,Pantanal,0,0.83,1,-18.90788,-55.41694,
2017/12/15 04:29:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,0,0,0.98,-16.04755,-58.30251,
2017/12/14 04:48:00,NPP-375,Brasil,MATO GROSSO DO SUL,RIO VERDE DE MATO GROSSO,Pantanal,0,0,0.47,-18.34646,-55.1909,
2017/12/25 20:03:13,GOES-13,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,0,13.38,0,-19.57,-56.28,
2017/12/13 17:39:00,NPP-375,Brasil,MATO GROSSO,PORTO ESPERIDIAO,Pantanal,0,0,0.33,-15.99782,-58.96273,
